Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Котовская городская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757					
1	"Число избирателей, внесенных в список"	27781	2762	2525	2021	1814	1396	1571	2067	2424	2388	2655	2789	2714	473	182					
2	Число полученных избирательных бюллетеней	27192	2700	2500	2000	1800	1400	1500	1900	2400	2350	2600	2750	2650	440	202					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15121	1524	1291	1091	954	793	922	1070	1397	1265	1492	1553	1509	226	34					
5	"Число избирательных бюллетеней, выданных вне помещения"	987	42	79	81	66	33	74	51	81	97	90	50	69	26	148					
6	Число погашенных избирательных бюллетеней	11084	1134	1130	828	780	574	504	779	922	988	1018	1147	1072	188	20					
7	Число избирательных бюллетеней в переносных ящиках	987	42	79	81	66	33	74	51	81	97	90	50	69	26	148					
8	Число бюллетеней в стационарных ящиках для голосования	15109	1521	1286	1090	953	793	922	1070	1397	1265	1490	1553	1509	226	34					
9	Число недействительных избирательных бюллетеней	142	13	13	8	12	2	10	14	22	12	11	12	12	0	1					
10	Число действительных избирательных бюллетеней	15954	1550	1352	1163	1007	824	986	1107	1456	1350	1569	1591	1566	252	181					
11	Число полученных открепительных  удостоверений	299	27	25	25	20	20	20	25	25	25	25	27	25	10	0					
12	Число выданных открепительных удостоверений	70	5	7	4	5	8	4	7	7	11	4	6	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	4	2	6	0	1	1	0	7	4	2	5	7	2	1					
14	Число неиспользованных открепительных удостоверений	229	22	18	21	15	12	16	18	18	14	21	21	23	10	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	652	63	56	44	23	42	49	37	58	43	90	63	63	17	4					
		4.05%	4.03%	4.10%	3.76%	2.26%	5.08%	4.92%	3.30%	3.92%	3.16%	5.70%	3.93%	3.99%	6.75%	2.20%					
19	. Малышкин Олег Александрович	336	31	20	30	30	20	18	29	22	21	26	31	45	10	3					
		2.09%	1.98%	1.47%	2.56%	2.94%	2.42%	1.81%	2.59%	1.49%	1.54%	1.65%	1.93%	2.85%	3.97%	1.65%					
20	. Миронов Сергей Михайлович	80	10	4	4	4	5	1	6	10	5	10	7	11	0	3					
		0.50%	0.64%	0.29%	0.34%	0.39%	0.61%	0.10%	0.54%	0.68%	0.37%	0.63%	0.44%	0.70%	0.00%	1.65%					
21	. Путин Владимир Владимирович	9551	884	822	685	652	517	663	661	872	831	869	888	927	163	117					
		59.34%	56.56%	60.22%	58.50%	63.98%	62.59%	66.57%	58.97%	59.00%	61.01%	55.00%	55.40%	58.75%	64.68%	64.29%					
22	. Хакамада Ирина Муцуовна	386	43	32	34	15	14	23	34	38	29	34	42	38	9	1					
		2.40%	2.75%	2.34%	2.90%	1.47%	1.69%	2.31%	3.03%	2.57%	2.13%	2.15%	2.62%	2.41%	3.57%	0.55%					
23	. Харитонов Николай Михайлович	4183	438	357	296	245	190	182	282	380	364	480	481	399	48	41					
		25.99%	28.02%	26.15%	25.28%	24.04%	23.00%	18.27%	25.16%	25.71%	26.73%	30.38%	30.01%	25.29%	19.05%	22.53%					
																					
24	Против всех	766	81	61	70	38	36	50	58	76	57	60	79	83	5	12					
		4.76%	5.18%	4.47%	5.98%	3.73%	4.36%	5.02%	5.17%	5.14%	4.19%	3.80%	4.93%	5.26%	1.98%	6.59%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
