Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Уваровская городская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611					
1	"Число избирателей, внесенных в список"	22826	1368	1741	1588	2005	1067	1306	851	1690	2136	2268	2060	1605	1543	1381	162	55					
2	Число полученных избирательных бюллетеней	25300	1790	1940	1830	2020	1170	1520	965	1850	2450	2370	2360	1740	1620	1420	200	55					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11655	611	939	886	1021	645	595	407	751	1205	1066	1195	818	776	523	162	55					
5	"Число избирательных бюллетеней, выданных вне помещения"	1651	66	83	47	48	57	147	96	196	88	108	94	165	113	343	0	0					
6	Число погашенных избирательных бюллетеней	11994	1113	918	897	951	468	778	462	903	1157	1196	1071	757	731	554	38	0					
7	Число избирательных бюллетеней в переносных ящиках	1651	66	83	47	48	57	147	96	196	88	108	94	165	113	343	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11655	611	939	886	1021	645	595	407	751	1205	1066	1195	818	776	523	162	55					
9	Число недействительных избирательных бюллетеней	114	9	8	4	7	4	23	2	8	7	15	13	3	6	5	0	0					
10	Число действительных избирательных бюллетеней	13192	668	1014	929	1062	698	719	501	939	1286	1159	1276	980	883	861	162	55					
11	Число полученных открепительных  удостоверений	248	20	30	32	20	15	8	15	5	20	19	29	10	20	5	0	0					
12	Число выданных открепительных удостоверений	178	16	30	25	19	12	5	0	5	15	11	26	5	4	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	4	3	7	6	0	7	1	4	7	8	3	6	0	3	3	5					
14	Число неиспользованных открепительных удостоверений	70	4	0	7	1	3	3	15	0	5	8	3	5	16	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	465	28	28	26	62	25	25	18	24	60	36	49	26	24	26	7	1					
		3.49%	4.14%	2.74%	2.79%	5.80%	3.56%	3.37%	3.58%	2.53%	4.64%	3.07%	3.80%	2.64%	2.70%	3.00%	4.32%	1.82%					
19	. Малышкин Олег Александрович	270	19	16	18	27	13	10	22	13	27	16	18	22	25	21	2	1					
		2.03%	2.81%	1.57%	1.93%	2.53%	1.85%	1.35%	4.37%	1.37%	2.09%	1.36%	1.40%	2.24%	2.81%	2.42%	1.23%	1.82%					
20	. Миронов Сергей Михайлович	53	1	6	4	8	2	2	1	3	8	2	3	2	2	6	2	1					
		0.40%	0.15%	0.59%	0.43%	0.75%	0.28%	0.27%	0.20%	0.32%	0.62%	0.17%	0.23%	0.20%	0.22%	0.69%	1.23%	1.82%					
21	. Путин Владимир Владимирович	7793	409	539	521	570	395	447	270	590	790	659	777	571	558	575	98	24					
		58.57%	60.41%	52.74%	55.84%	53.32%	56.27%	60.24%	53.68%	62.30%	61.10%	56.13%	60.28%	58.09%	62.77%	66.40%	60.49%	43.64%					
22	. Хакамада Ирина Муцуовна	204	14	13	11	15	11	12	12	14	14	17	19	26	10	10	3	3					
		1.53%	2.07%	1.27%	1.18%	1.40%	1.57%	1.62%	2.39%	1.48%	1.08%	1.45%	1.47%	2.64%	1.12%	1.15%	1.85%	5.45%					
23	. Харитонов Николай Михайлович	4091	180	391	329	343	238	202	167	266	343	396	381	316	256	215	47	21					
		30.75%	26.59%	38.26%	35.26%	32.09%	33.90%	27.22%	33.20%	28.09%	26.53%	33.73%	29.56%	32.15%	28.80%	24.83%	29.01%	38.18%					
																							
24	Против всех	316	17	21	20	37	14	21	11	29	44	33	29	17	8	8	3	4					
		2.37%	2.51%	2.05%	2.14%	3.46%	1.99%	2.83%	2.19%	3.06%	3.40%	2.81%	2.25%	1.73%	0.90%	0.92%	1.85%	7.27%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
