Выборы Президента Российской Федерации																																																						
Дата голосования: 18.03.2018																																																						
																																																						
Наименование Избирательной комиссии:    Нелидовская																																																						
																																																						
Сводная таблица итогов голосования																																																						
																																																						
	Число участковых избирательных комиссий	43																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	43																																																				
																																																						
		Сумма	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658									
1	"Число избирателей, включенных в список избирателей"	23102	368	899	816	103	1436	985	104	256	1135	1323	835	1290	753	1085	670	769	313	828	683	1166	1108	1341	239	206	599	512	325	152	74	81	120	238	233	107	183	268	126	250	135	190	392	220	186									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23510	370	910	840	100	1480	1010	100	250	1160	1340	850	1320	770	1110	615	760	300	850	700	1200	1110	1350	230	190	600	520	340	150	85	95	115	280	235	100	200	295	150	265	145	200	410	210	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11660	152	484	462	49	771	539	48	99	629	672	471	713	388	612	265	450	160	417	338	584	522	389	94	106	306	222	179	79	34	43	69	145	96	45	95	189	78	132	62	79	188	101	104									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1221	43	35	21	3	59	28	4	1	33	53	38	44	25	27	91	41	16	25	22	34	39	31	40	8	44	53	0	10	16	4	11	39	60	16	12	20	16	16	16	21	38	49	19									
6	Число погашенных избирательных бюллетеней	10629	175	391	357	48	650	443	48	150	498	615	341	563	357	471	259	269	124	408	340	582	549	930	96	76	250	245	161	61	35	48	35	96	79	39	93	86	56	117	67	100	184	60	77									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1221	43	35	21	3	59	28	4	1	33	53	38	44	25	27	91	41	16	25	22	34	39	31	40	8	44	53	0	10	16	4	11	39	60	16	12	20	16	16	16	21	38	49	19									
8	Число бюллетеней в стационарных ящиках для голосования	11659	152	484	462	49	771	539	47	99	629	672	471	713	388	612	265	450	160	417	338	584	522	389	94	106	306	222	179	79	34	43	69	145	96	45	95	189	78	132	62	79	188	101	104									
9	Число недействительных избирательных бюллетеней	140	2	11	3	0	11	4	1	3	6	5	6	9	3	8	6	5	1	10	4	6	7	2	3	0	5	4	0	0	0	1	3	2	2	0	0	1	0	0	0	0	3	3	0									
10	Число действительных избирательных бюллетеней	12740	193	508	480	52	819	563	50	97	656	720	503	748	410	631	350	486	175	432	356	612	554	418	131	114	345	271	179	89	50	46	77	182	154	61	107	208	94	148	78	100	223	147	123									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
13	Бабурин Сергей Николаевич	107	0	4	5	0	2	8	0	1	16	6	9	3	4	6	2	1	2	0	2	6	3	3	0	1	0	4	1	0	2	0	0	2	1	0	0	1	3	1	1	2	3	1	1									
		0.83%	0.00%	0.77%	1.04%	0.00%	0.24%	1.41%	0.00%	1.00%	2.42%	0.83%	1.77%	0.40%	0.97%	0.94%	0.56%	0.20%	1.14%	0.00%	0.56%	0.97%	0.53%	0.71%	0.00%	0.88%	0.00%	1.45%	0.56%	0.00%	4.00%	0.00%	0.00%	1.09%	0.64%	0.00%	0.00%	0.48%	3.19%	0.68%	1.28%	2.00%	1.33%	0.67%	0.81%									
14	Грудинин Павел Николаевич	2135	35	92	78	9	137	110	4	11	124	118	109	152	65	114	66	89	38	73	62	124	95	59	14	11	51	36	39	9	7	5	6	44	20	8	12	20	11	25	4	14	18	11	6									
		16.58%	17.95%	17.73%	16.15%	17.31%	16.51%	19.40%	7.84%	11.00%	18.73%	16.28%	21.41%	20.08%	15.74%	17.84%	18.54%	18.13%	21.59%	16.52%	17.22%	20.06%	16.93%	14.05%	10.45%	9.65%	14.57%	13.09%	21.79%	10.11%	14.00%	10.64%	7.50%	23.91%	12.82%	13.11%	11.21%	9.57%	11.70%	16.89%	5.13%	14.00%	7.96%	7.33%	4.88%									
15	Жириновский Владимир Вольфович	1136	20	43	37	9	78	42	6	13	47	49	32	51	29	68	32	40	11	42	37	53	44	44	29	14	40	43	17	7	1	5	10	16	8	4	12	15	8	12	3	14	23	13	15									
		8.82%	10.26%	8.29%	7.66%	17.31%	9.40%	7.41%	11.76%	13.00%	7.10%	6.76%	6.29%	6.74%	7.02%	10.64%	8.99%	8.15%	6.25%	9.50%	10.28%	8.58%	7.84%	10.48%	21.64%	12.28%	11.43%	15.64%	9.50%	7.87%	2.00%	10.64%	12.50%	8.70%	5.13%	6.56%	11.21%	7.18%	8.51%	8.11%	3.85%	14.00%	10.18%	8.67%	12.20%									
16	Путин Владимир Владимирович	8943	133	348	340	34	575	389	39	69	447	519	339	518	298	417	239	339	120	301	243	406	396	303	84	85	242	177	118	70	38	35	53	113	123	48	80	162	72	108	67	67	172	117	100									
		69.43%	68.21%	67.05%	70.39%	65.38%	69.28%	68.61%	76.47%	69.00%	67.52%	71.59%	66.60%	68.43%	72.15%	65.26%	67.13%	69.04%	68.18%	68.10%	67.50%	65.70%	70.59%	72.14%	62.69%	74.56%	69.14%	64.36%	65.92%	78.65%	76.00%	74.47%	66.25%	61.41%	78.85%	78.69%	74.77%	77.51%	76.60%	72.97%	85.90%	67.00%	76.11%	78.00%	81.30%									
17	Собчак Ксения Анатольевна	122	1	5	1	0	10	6	1	2	4	7	3	7	4	12	3	7	3	6	2	5	4	2	1	1	4	5	3	0	0	0	1	3	1	0	1	2	0	0	1	2	0	2	0									
		0.95%	0.51%	0.96%	0.21%	0.00%	1.20%	1.06%	1.96%	2.00%	0.60%	0.97%	0.59%	0.92%	0.97%	1.88%	0.84%	1.43%	1.70%	1.36%	0.56%	0.81%	0.71%	0.48%	0.75%	0.88%	1.14%	1.82%	1.68%	0.00%	0.00%	0.00%	1.25%	1.63%	0.64%	0.00%	0.93%	0.96%	0.00%	0.00%	1.28%	2.00%	0.00%	1.33%	0.00%									
18	Сурайкин Максим Александрович	134	2	10	7	0	9	3	0	1	6	13	7	10	5	5	4	4	0	6	8	5	5	2	2	0	2	3	1	1	2	0	2	2	1	1	0	2	0	2	0	0	0	1	0									
