Выборы Президента Российской Федерации																																			
Дата голосования: 18.03.2018																																			
																																			
Наименование Избирательной комиссии:    Селижаровская																																			
																																			
Сводная таблица итогов голосования																																			
																																			
	Число участковых избирательных комиссий	24																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	24																																	
																																			
		Сумма	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836									
1	"Число избирателей, включенных в список избирателей"	10105	1108	967	696	1365	662	572	319	403	128	144	242	256	291	108	102	414	371	119	103	750	206	205	326	248									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8520	800	800	500	1000	500	500	300	400	140	150	200	250	250	100	100	400	350	130	100	600	200	200	300	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5085	581	524	331	642	345	326	96	138	59	66	145	143	174	88	75	181	191	66	59	385	114	62	104	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1104	28	19	41	49	9	12	134	111	35	39	26	45	43	0	11	74	69	32	24	57	38	85	100	23									
6	Число погашенных избирательных бюллетеней	2331	191	257	128	309	146	162	70	151	46	45	29	62	33	12	14	145	90	32	17	158	48	53	96	37									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1104	28	19	41	49	9	12	134	111	35	39	26	45	43	0	11	74	69	32	24	57	38	85	100	23									
8	Число бюллетеней в стационарных ящиках для голосования	5084	581	524	330	642	345	326	96	138	59	66	145	143	174	88	75	181	191	66	59	385	114	62	104	190									
9	Число недействительных избирательных бюллетеней	60	8	4	5	6	4	5	0	2	0	0	2	0	10	0	1	2	4	0	1	2	1	1	1	1									
10	Число действительных избирательных бюллетеней	6128	601	539	366	685	350	333	230	247	94	105	169	188	207	88	85	253	256	98	82	440	151	146	203	212									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
13	Бабурин Сергей Николаевич	51	8	9	2	7	4	0	1	0	1	0	3	2	0	3	0	2	2	0	1	3	0	2	1	0									
		0.82%	1.31%	1.66%	0.54%	1.01%	1.13%	0.00%	0.43%	0.00%	1.06%	0.00%	1.75%	1.06%	0.00%	3.41%	0.00%	0.78%	0.77%	0.00%	1.20%	0.68%	0.00%	1.36%	0.49%	0.00%									
14	Грудинин Павел Николаевич	842	120	80	72	115	57	66	12	21	16	6	18	15	26	4	6	39	32	3	8	52	18	15	26	15									
		13.61%	19.70%	14.73%	19.41%	16.64%	16.10%	19.53%	5.22%	8.43%	17.02%	5.71%	10.53%	7.98%	11.98%	4.55%	6.98%	15.29%	12.31%	3.06%	9.64%	11.76%	11.84%	10.20%	12.75%	7.04%									
15	Жириновский Владимир Вольфович	487	46	56	26	44	27	29	12	12	11	12	12	10	19	5	5	16	17	13	3	33	18	20	22	19									
		7.87%	7.55%	10.31%	7.01%	6.37%	7.63%	8.58%	5.22%	4.82%	11.70%	11.43%	7.02%	5.32%	8.76%	5.68%	5.81%	6.27%	6.54%	13.27%	3.61%	7.47%	11.84%	13.61%	10.78%	8.92%									
16	Путин Владимир Владимирович	4571	408	379	256	496	245	224	198	208	64	85	133	160	160	76	74	188	200	81	67	334	113	102	146	174									
		73.87%	66.99%	69.80%	69.00%	71.78%	69.21%	66.27%	86.09%	83.53%	68.09%	80.95%	77.78%	85.11%	73.73%	86.36%	86.05%	73.73%	76.92%	82.65%	80.72%	75.57%	74.34%	69.39%	71.57%	81.69%									
17	Собчак Ксения Анатольевна	57	8	3	2	4	6	5	2	1	2	2	1	1	2	0	0	1	0	0	0	6	1	3	6	1									
		0.92%	1.31%	0.55%	0.54%	0.58%	1.69%	1.48%	0.87%	0.40%	2.13%	1.90%	0.58%	0.53%	0.92%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	1.36%	0.66%	2.04%	2.94%	0.47%									
18	Сурайкин Максим Александрович	63	7	4	2	11	7	4	5	3	0	0	1	0	0	0	0	3	5	0	2	5	1	2	1	0									
		1.02%	1.15%	0.74%	0.54%	1.59%	1.98%	1.18%	2.17%	1.20%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	1.18%	1.92%	0.00%	2.41%	1.13%	0.66%	1.36%	0.49%	0.00%									
19	Титов Борис Юрьевич	23	0	1	5	3	3	2	0	1	0	0	0	0	0	0	0	1	0	1	1	3	0	0	0	2									
		0.37%	0.00%	0.18%	1.35%	0.43%	0.85%	0.59%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	1.02%	1.20%	0.68%	0.00%	0.00%	0.00%	0.94%									
20	Явлинский Григорий Алексеевич	34	4	7	1	5	1	3	0	1	0	0	1	0	0	0	0	3	0	0	0	4	0	2	1	1									
		0.55%	0.66%	1.29%	0.27%	0.72%	0.28%	0.89%	0.00%	0.40%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.90%	0.00%	1.36%	0.49%	0.47%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
