Выборы Президента Российской Федерации																																												
Дата голосования: 18.03.2018																																												
																																												
Наименование Избирательной комиссии:    Удомельская																																												
																																												
Сводная таблица итогов голосования																																												
																																												
	Число участковых избирательных комиссий	33																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	33																																										
																																												
		Сумма	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1218									
1	"Число избирателей, включенных в список избирателей"	30728	1876	1708	2135	1292	1375	2133	2199	2145	1266	1548	1594	2193	2279	612	497	261	322	421	238	104	179	469	199	509	104	263	308	487	523	567	230	500	192									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27266	1700	1600	1900	1100	1100	1800	1900	1900	1100	1400	1400	1900	1900	600	450	250	300	400	200	90	150	450	190	450	90	250	270	450	550	550	200	470	206									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18403	927	1177	1375	866	931	1255	1255	1339	797	1005	1072	1419	1589	295	217	135	139	192	100	61	91	215	104	259	50	129	152	205	305	229	107	278	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	924	42	14	34	18	14	25	36	33	12	17	15	25	12	28	56	26	25	45	22	13	10	51	33	39	11	26	29	48	38	45	16	14	52									
6	Число погашенных избирательных бюллетеней	7939	731	409	491	216	155	520	609	528	291	378	313	456	299	277	177	89	136	163	78	16	49	184	53	152	29	95	89	197	207	276	77	178	21									
7	Число избирательных бюллетеней в переносных ящиках для голосования	924	42	14	34	18	14	25	36	33	12	17	15	25	12	28	56	26	25	45	22	13	10	51	33	39	11	26	29	48	38	45	16	14	52									
8	Число бюллетеней в стационарных ящиках для голосования	18396	926	1177	1374	866	931	1255	1254	1338	797	1005	1072	1418	1588	295	217	135	139	192	100	61	91	215	104	259	50	129	152	205	305	229	107	277	133									
9	Число недействительных избирательных бюллетеней	218	15	12	23	13	7	18	11	17	21	6	13	18	13	5	0	0	1	0	1	1	1	4	1	3	0	1	0	1	4	5	1	1	1									
10	Число действительных избирательных бюллетеней	19102	953	1179	1385	871	938	1262	1279	1354	788	1016	1074	1425	1587	318	273	161	163	237	121	73	100	262	136	295	61	154	181	252	339	269	122	290	184									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
13	Бабурин Сергей Николаевич	130	6	11	5	5	4	9	10	13	6	9	8	11	8	3	3	2	1	0	0	1	0	1	1	2	2	1	0	3	1	0	1	3	0									
		0.67%	0.62%	0.92%	0.36%	0.57%	0.42%	0.70%	0.78%	0.95%	0.74%	0.88%	0.74%	0.76%	0.50%	0.93%	1.10%	1.24%	0.61%	0.00%	0.00%	1.35%	0.00%	0.38%	0.73%	0.67%	3.28%	0.65%	0.00%	1.19%	0.29%	0.00%	0.81%	1.03%	0.00%									
14	Грудинин Павел Николаевич	2627	154	196	201	129	164	159	160	197	104	142	146	184	236	61	30	18	5	29	12	9	3	30	12	19	5	23	25	16	42	44	16	38	18									
