Ошибка генерации печатной версии отчета																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030	УИК №5031	УИК №5032	УИК №5033	УИК №5034	УИК №5035	УИК №5036	УИК №5037	УИК №5038	УИК №5039	УИК №5040	УИК №5041	УИК №5042	УИК №5043	УИК №5044	УИК №5045	УИК №5046	УИК №5047	УИК №5049	УИК №5050	УИК №5051	УИК №5052	УИК №5053	УИК №5054	УИК №5055	УИК №5056	УИК №5057	УИК №5058	УИК №5059	УИК №5060	УИК №5061	УИК №5062	УИК №5063	УИК №5064	УИК №5075	УИК №5076	УИК №5077	УИК №5078	УИК №5079	УИК №5080	УИК №5081	УИК №5082	УИК №5083	УИК №5084	УИК №5085	УИК №5086	УИК №5088	УИК №5089	УИК №5090	УИК №5091	УИК №5092	УИК №5093	УИК №5094	УИК №5095	УИК №5096	УИК №5097	УИК №5098	УИК №5099	УИК №5100	УИК №5101	УИК №5102	УИК №5104	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5143	УИК №5144	УИК №5145	УИК №5146	УИК №5147	УИК №5148	УИК №5150	УИК №5151	УИК №5152	УИК №5153	УИК №5154	УИК №5155	УИК №5156	УИК №5157	УИК №5158	УИК №5159	УИК №5160	УИК №5162	УИК №5163	УИК №5164	УИК №5165	УИК №5166	УИК №5167	УИК №5168	УИК №5169	УИК №5170	УИК №5171	УИК №5172	УИК №5173	УИК №5174	УИК №5175	УИК №5176	УИК №5177	УИК №5178	УИК №5179	УИК №5180	УИК №5181	УИК №5182	УИК №5183	УИК №5184	УИК №5185	УИК №5186	УИК №5187	УИК №5188	УИК №5190	УИК №5191	УИК №5192	УИК №5193	УИК №5194	УИК №5195	УИК №5196	УИК №5197	УИК №5198	УИК №5199	УИК №5200	УИК №5201	УИК №5203	УИК №5204	УИК №5205	УИК №5206	УИК №5207	УИК №5208	УИК №5209	УИК №5210	УИК №5211	УИК №5212	УИК №5213	УИК №5214	УИК №5215	УИК №5217	УИК №5218	УИК №5219	УИК №5220	УИК №5221	УИК №5222	УИК №5223	УИК №5224	УИК №5225	УИК №5226	УИК №5227	УИК №5228	УИК №5229	УИК №5231	УИК №5233	УИК №5235	УИК №5238	УИК №5240	УИК №5242	УИК №5243	УИК №5244	УИК №5245	УИК №5246	УИК №5248	УИК №5249	УИК №5250	УИК №5252	УИК №5253	УИК №5254	УИК №5255	УИК №5256	УИК №5257	УИК №5260	УИК №5261	УИК №5262	УИК №5263	УИК №5264	УИК №5265	УИК №5266	УИК №5268	УИК №5269	УИК №5272	УИК №5273	УИК №5274	УИК №5275	УИК №5277	УИК №5279	УИК №5281	УИК №5282	УИК №5283	УИК №5285	УИК №5286	УИК №5288	УИК №5289	УИК №5290	УИК №5291	УИК №5292	УИК №5293	УИК №5294	УИК №5295	УИК №5296	УИК №5297	УИК №5299	УИК №5300	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329	УИК №5330	УИК №5335	УИК №5336	УИК №5338	УИК №5339	УИК №5341	УИК №5342	УИК №5343	УИК №5344	УИК №5345	УИК №5346	УИК №5347	УИК №5356	УИК №5358	УИК №5359	УИК №5364	УИК №5365	УИК №5367	УИК №5369	УИК №5370	УИК №5376	УИК №5377	УИК №5378	УИК №5379	УИК №5380	УИК №5381	УИК №5382	УИК №5383	УИК №5384	УИК №5385	УИК №5386	УИК №5388	УИК №5389	УИК №5391	УИК №5394	УИК №5398	УИК №5402	УИК №5405	УИК №5408	УИК №5409	УИК №5411	УИК №5413	УИК №5414	УИК №5415	УИК №5416	УИК №5417	УИК №5418	УИК №5419	УИК №5420	УИК №5422	УИК №5423	УИК №5426	УИК №5427	УИК №5430	УИК №5431	УИК №5432	УИК №5433	УИК №5434	УИК №5435	УИК №5437	УИК №5438	УИК №5441	УИК №5442	УИК №5443	УИК №5446	УИК №5448	УИК №5450	УИК №5453	УИК №5454	УИК №5457	УИК №5460	УИК №5463	УИК №5466	УИК №5467	УИК №5468	УИК №5472	УИК №5473	УИК №5475	УИК №5478	УИК №5480	УИК №5481	УИК №5482	УИК №5484	УИК №5485	УИК №5486	УИК №5487	УИК №5488	УИК №5489	УИК №5493	УИК №5498	УИК №5499
1	Число избирателей, включенных в список избирателей	459661	97	489	871	2660	197	1469	766	336	440	107	614	321	350	38	3593	451	387	416	213	1147	1000	2018	1000	314	118	7	144	1278	471	76	1457	964	5303	1356	1672	928	798	2568	1831	612	138	150	47	125	143	1136	32	671	349	1096	105	597	404	570	31	882	45	66	185	2409	24	378	6258	587	538	1246	80	68	145	1563	642	602	787	2210	753	997	1010	869	461	212	569	463	72	304	635	925	75	299	28	635	499	158	913	1403	1755	363	181	208	89	857	2708	1159	561	580	630	828	158	647	1522	389	610	188	64	35	103	134	163	3627	8131	2301	113	246	1491	727	111	314	177	125	233	599	327	125	2295	319	3330	1598	4399	4154	1293	57	1984	817	1384	133	507	90	77	70	541	233	109	333	257	169	486	215	1963	4672	3111	2704	1524	2345	4824	1502	3889	1947	2356	2754	2697	1075	399	87	107	160	66	96	881	711	116	130	571	968	107	339	1956	75	137	86	303	246	770	208	178	87	1188	377	60	101	69	93	75	875	536	588	337	325	262	4222	2490	4542	2520	1453	3322	1693	75	361	108	269	297	677	2990	19711	527	40	856	1046	280	2971	685	2382	1891	1997	2839	1144	495	1873	657	1685	553	916	1023	660	2322	80	106	578	31	100	706	598	3209	3006	2219	1705	1497	259	31	378	3577	1379	184	760	1954	1234	333	137	118	21	2509	2568	3621	1493	2989	2804	4351	5068	201	1300	127	1338	431	52	702	187	264	111	1815	496	488	1071	957	2284	687	1825	1544	2961	1623	1938	1054	113	462	226	654	305	1174	1002	591	14540	13570	1552	21	700	26	1206	105	784	4210	16011	558	6126	682	428	988	603	506	593	366	2602	2531	930	2771	748	871	1710	952	1305	487	23	467	232	3069	107	1151	2042	2055	1824	75	91	3830	46	206	1754	2337	343	124	1536	185	23	476	2615	1386	259	1171	38	3017	3847	2159	25	83	2293	2949	88	2886	1592	1233	1093	113	250
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	1485627	300	500	3500	4500	1000	5000	1500	400	1000	200	600	500	350	50	7000	2000	2500	2000	500	1200	1000	2000	1000	500	150	20	200	2000	3000	150	10000	6000	16000	7000	6000	7000	2000	16000	5000	3500	200	400	70	249	300	500	50	1000	1500	4000	400	597	400	600	50	1500	50	100	160	7000	40	350	9500	750	600	3000	500	150	200	13000	12000	12000	11000	27000	10000	9000	9000	11000	9000	3000	1000	500	200	400	700	800	300	500	50	800	2000	300	1300	1420	2000	500	300	500	150	14000	10000	2000	1000	1500	1500	3500	1000	3000	3000	2000	2500	250	100	50	100	300	170	3800	12000	2400	150	350	3500	1200	600	500	400	250	330	698	330	130	2000	700	6000	4000	6000	6000	1000	200	5000	2000	3000	180	550	140	140	140	500	350	170	620	351	600	1500	200	7000	7000	7000	7000	7000	7000	9000	7000	7000	7000	7000	7000	7000	2000	500	150	180	150	120	301	1000	900	200	1200	1000	1500	150	650	2000	1000	300	150	300	400	1400	208	178	87	5000	500	90	300	100	93	120	800	2800	2400	896	850	800	6000	7000	39000	16000	5000	4500	2200	150	650	3500	4000	4000	3500	10000	20000	597	199	2000	1400	400	9000	8000	27000	20000	2500	4500	1500	1000	3000	800	2000	1500	1200	1500	1500	9000	160	122	2000	60	150	3000	1000	3209	68000	2219	37000	36000	600	50	1000	4000	1500	600	1200	2100	2800	648	180	500	40	14000	14000	13000	13670	13000	13000	13000	12000	300	1300	400	1400	500	60	1200	300	1500	250	10000	650	1000	1500	1500	2800	6000	18000	17000	6000	1623	1938	1054	400	1298	300	2600	4000	13000	4000	4000	19000	19000	3000	50	11000	70	1300	200	1000	5000	18000	2000	13000	1200	3000	1600	1500	10000	6000	550	17000	7000	7000	7000	7000	7000	7000	7000	7000	1300	40	800	600	2500	230	7000	7000	7000	7000	80	140	4100	60	300	13000	8000	600	160	2000	300	50	2000	14000	2500	280	1000	100	7000	4000	3500	150	80	2282	38000	300	7500	3000	2500	1000	150	6000
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	83606	0	0	0	0	0	0	0	6	74	0	131	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	18	0	0	0	0	0	0	0	885	936	262	0	0	0	0	0	0	0	0	0	0	0	313	9	390	0	112	7	31	76	0	0	59	137	75	514	889	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	34	183	466	0	0	17	0	0	64	0	102	360	0	0	102	0	0	0	49	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1511	1598	0	0	0	85	0	0	0	49	103	0	0	0	161	0	0	241	1224	598	0	0	0	0	0	0	0	0	0	0	0	0	15	0	39	26	136	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	1032	0	1195	401	0	0	0	0	0	0	0	0	0	0	12377	121	0	94	290	159	0	0	0	0	15	0	0	0	148	0	536	0	0	70	0	0	0	27	0	0	0	0	0	190	703	881	362	0	0	0	0	0	0	0	0	0	65	0	23	0	0	0	0	2159	0	0	0	2590	3188	0	113	0	17	0	0	0	0	102	0	301	0	0	0	0	0	0	815	0	0	0	0	493	0	0	0	0	0	305	0	49	12202	10202	0	0	0	0	0	28	0	69	13978	263	2961	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	184	0	0	0	0	0	0	21	57	605	0	440	241	629	0	0	0
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	338722	97	489	847	1799	197	1429	739	118	366	107	228	321	209	32	3580	451	382	403	174	1061	1000	2000	1000	240	103	7	141	1252	451	51	1326	870	5028	1342	1362	923	798	1572	803	350	135	75	36	125	143	112	29	671	349	1084	105	157	349	174	31	677	37	35	80	2230	24	186	2467	479	24	357	80	68	64	1390	548	511	787	1709	701	827	771	703	461	71	569	425	38	99	165	428	75	267	20	584	435	145	811	1043	1105	301	79	135	64	857	2601	1159	561	573	627	811	156	647	1352	379	610	170	39	27	80	134	95	3626	6588	703	103	10	1471	639	111	314	177	72	75	599	327	110	601	319	3260	1308	2913	3503	659	57	1943	806	917	133	505	90	77	70	149	233	94	332	217	141	350	125	1664	4642	3089	2665	1505	2318	4132	1376	3823	1905	2337	2735	2646	937	399	87	90	100	66	96	706	710	88	129	571	772	107	339	1708	75	137	84	153	246	742	208	178	87	863	363	41	101	69	93	75	519	535	588	300	236	262	3093	1597	1917	1116	1443	2711	385	65	263	108	251	297	677	2958	7334	406	40	762	756	116	2497	676	939	918	1974	2827	1141	446	1725	647	1133	553	885	949	660	2287	80	79	501	31	100	704	593	3019	2303	1338	1343	1497	216	31	339	3572	1378	184	750	1953	1148	232	114	118	21	2493	2568	1399	1479	2985	2801	1761	1880	201	179	118	783	431	33	665	96	120	98	1499	489	480	1071	955	2284	668	1009	1484	1744	1623	1938	561	113	459	226	498	300	696	989	537	2338	3244	781	21	634	26	1206	68	622	3972	2033	293	3115	682	420	988	510	474	593	58	2577	2488	911	2725	743	839	1667	933	1305	487	23	467	132	2229	52	1144	2017	1106	1784	59	91	3830	46	206	1754	2279	343	82	1018	185	23	475	2383	1363	75	779	38	3017	3758	2159	25	39	2225	2329	88	2303	1351	370	471	113	229
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	19958	0	0	1	2	0	40	4	0	0	0	0	0	26	4	13	0	0	0	30	2	0	0	0	0	0	0	0	11	0	0	131	94	267	14	310	5	0	111	5	0	3	74	11	0	0	4	0	0	0	8	0	127	0	0	0	0	0	0	0	106	0	0	7	31	0	0	0	0	0	173	94	91	0	501	52	170	239	166	0	141	0	20	0	0	0	0	0	0	0	0	0	13	0	0	650	62	0	0	0	0	22	0	0	7	3	17	2	0	108	10	0	0	0	0	0	0	0	1	32	0	0	183	0	0	0	0	0	4	0	0	0	12	158	0	70	49	262	35	0	0	41	11	465	0	2	0	0	0	58	0	0	0	0	1	0	0	299	30	22	39	19	27	692	126	66	42	19	19	51	19	0	0	0	0	0	0	174	1	0	1	0	3	0	0	248	0	0	0	0	0	27	0	0	0	325	10	13	0	0	0	0	0	1	0	4	89	0	97	746	1392	1003	10	611	1218	10	98	0	18	0	0	32	0	0	0	0	0	0	474	9	1443	973	0	12	0	49	0	10	16	0	31	4	0	35	0	0	77	0	0	0	3	0	0	0	0	0	43	0	39	5	1	0	0	1	3	101	0	0	0	16	0	63	14	4	3	0	0	0	1	9	1	0	0	24	91	42	13	15	7	1	0	0	0	19	1	54	31	0	0	0	0	0	0	156	5	173	13	5	0	124	147	0	66	0	0	0	24	169	0	2	50	0	8	0	0	32	0	0	25	43	19	46	5	32	43	19	0	0	0	0	0	19	40	7	25	949	40	0	0	0	0	0	0	58	0	8	507	0	0	1	232	23	0	0	0	0	89	0	0	0	0	15	0	13	0	0	0	0	21
6	Число погашенных избирательных бюллетеней	1043335	203	11	2652	2699	803	3531	757	276	560	93	241	179	115	14	3407	1549	2118	1597	296	137	0	0	0	186	47	13	59	737	2549	81	8543	5036	10705	5644	4328	6072	1202	13432	3256	2888	62	251	23	124	157	384	21	329	1151	2908	295	0	42	36	19	711	6	34	4	4664	16	105	6889	165	62	1754	420	82	106	11437	11358	11398	10213	24790	9247	8003	7990	10131	8539	2788	431	55	128	118	69	372	225	216	30	216	1501	142	387	17	245	137	119	365	86	13143	7328	841	439	920	870	2672	842	2353	1540	1611	1890	62	61	23	20	166	75	173	3869	99	47	157	2029	476	489	186	223	125	152	99	3	8	1079	381	2670	2402	1601	1864	341	143	3016	1183	1618	47	43	50	63	70	293	117	61	288	95	432	1014	67	5037	2328	3889	4296	5476	4655	4176	5498	3111	5053	4644	4246	4303	1044	101	63	76	44	54	205	120	189	112	1070	429	532	43	311	44	925	163	66	147	154	631	0	0	0	3812	127	36	199	31	0	45	281	2264	1812	559	525	538	1778	4657	34496	13480	3547	1178	597	75	289	3392	3731	3703	2823	7010	289	70	159	1144	354	125	6029	7315	24617	18109	511	1661	359	505	1127	143	315	947	284	477	840	6678	80	16	1422	29	50	2292	404	0	64994	0	35295	34503	341	19	622	423	121	416	450	146	1584	315	43	382	19	11491	11432	9379	12177	10011	10196	8649	6932	99	1007	273	599	69	27	511	113	1236	139	8185	154	519	429	545	516	5313	16175	15462	4225	0	0	0	287	839	74	1946	3695	11826	2998	3409	4460	5430	2072	29	10300	44	94	104	354	790	1989	1442	6874	518	2572	612	990	9494	5407	184	14398	4469	6070	4229	6252	6129	5290	6048	5695	813	17	333	368	252	138	5849	4958	4945	5176	21	49	270	14	94	11246	5663	257	36	475	115	27	1524	11385	1114	21	221	62	3983	153	1341	125	20	0	35051	212	4744	1408	1501	529	37	5750
7	Число избирательных бюллетеней в переносных ящиках для голосования	103461	0	0	1	2	0	40	4	6	74	0	131	0	26	4	13	0	0	0	30	2	0	0	0	74	0	0	0	11	0	18	131	94	267	14	310	5	0	996	941	262	3	74	11	0	0	4	0	0	0	8	0	440	9	390	0	112	7	31	76	106	0	59	144	106	514	889	0	0	30	172	94	91	0	501	52	170	239	166	0	141	0	20	34	183	465	0	0	17	0	0	64	13	102	360	650	62	102	0	0	0	71	0	0	7	3	17	2	0	108	10	0	18	0	0	0	0	0	1	1543	1598	0	183	0	83	0	0	0	53	103	0	0	12	319	0	70	290	1486	633	0	0	41	11	465	0	2	0	0	0	58	0	15	0	39	27	136	8	299	30	22	39	19	27	692	126	66	42	19	19	51	19	0	0	14	6	0	0	174	1	0	1	0	196	0	0	248	0	0	0	0	0	27	0	0	0	325	10	13	0	0	0	0	0	1	0	37	89	0	1127	744	2584	1402	10	611	1215	10	98	0	18	0	0	32	12377	121	0	94	290	159	474	9	1442	971	15	12	0	49	148	10	552	0	31	74	0	35	0	27	77	0	0	0	3	190	703	881	362	0	43	0	39	5	1	0	0	1	68	101	23	0	0	16	0	2222	14	4	3	2590	3188	0	114	9	18	0	0	24	90	144	13	316	7	1	0	0	0	19	816	54	31	0	0	493	0	0	0	156	5	478	13	54	12123	10322	147	0	66	0	0	28	24	238	13978	265	3011	0	8	0	0	32	0	308	25	43	19	46	5	32	43	19	0	0	0	0	100	19	40	7	25	949	40	0	0	0	0	0	0	58	0	42	507	0	0	1	232	23	184	0	0	0	89	0	0	21	57	620	0	453	241	629	0	0	21
8	Число бюллетеней в стационарных ящиках для голосования	338470	97	489	846	1793	197	1429	739	118	366	107	228	321	209	32	3579	451	382	403	174	1061	1000	2000	1000	240	103	7	140	1252	451	51	1324	870	5021	1342	1362	923	798	1572	803	350	135	75	36	125	143	112	29	671	349	1084	105	157	349	174	31	677	37	35	80	2230	24	186	2465	479	24	357	80	68	64	1389	548	511	786	1701	701	827	771	703	461	71	568	423	38	99	165	428	75	267	20	584	435	145	811	1043	1104	301	79	135	64	856	2601	1159	560	573	627	811	156	647	1349	378	610	170	39	27	80	134	95	3623	6588	703	103	10	1467	639	111	314	176	72	75	599	327	110	601	319	3259	1308	2913	3503	659	57	1943	806	915	133	505	90	77	70	149	233	94	332	217	141	350	125	1664	4642	3089	2665	1505	2318	4118	1376	3823	1905	2337	2735	2644	937	399	87	90	100	66	96	705	710	88	129	571	770	107	339	1708	75	137	84	153	246	742	208	178	87	863	363	41	101	69	93	75	519	535	588	300	236	262	3093	1593	1911	1113	1443	2711	385	65	263	108	251	297	677	2958	7334	406	40	762	756	116	2497	676	939	915	1973	2823	1141	446	1723	647	1133	552	885	947	660	2287	80	79	501	31	100	703	593	3013	2271	1336	1340	1495	216	31	338	3570	1377	184	750	1950	1146	232	114	118	21	2487	2567	1399	1479	2985	2801	1761	1880	201	179	118	783	431	33	665	96	120	98	1495	489	480	1071	955	2281	668	1002	1480	1741	1619	1934	560	113	457	226	498	300	696	989	537	2324	3236	781	21	634	26	1206	68	622	3971	2033	291	3105	682	420	987	510	474	593	58	2577	2488	911	2725	743	839	1667	933	1305	487	23	465	132	2228	52	1144	2017	1106	1784	59	91	3826	46	205	1754	2279	343	82	1018	185	23	475	2381	1363	75	779	37	3017	3748	2159	25	39	2223	2328	88	2302	1351	370	471	113	228
9	Число недействительных избирательных бюллетеней	5838	1	10	17	48	7	12	11	1	3	1	1	9	4	0	45	1	0	3	0	6	8	5	1	3	2	0	2	26	8	0	12	4	41	14	7	7	6	15	13	1	5	1	0	2	2	4	0	16	8	10	0	4	4	12	0	11	1	1	1	37	0	4	17	21	10	15	0	1	1	16	12	11	5	37	11	7	8	14	1	3	11	11	0	4	15	3	2	3	0	8	16	6	20	25	37	3	2	0	0	7	23	8	2	3	1	5	1	0	14	8	9	4	1	1	0	1	2	54	58	16	0	0	16	5	4	9	0	1	0	8	7	3	12	2	22	6	28	23	6	0	23	9	7	1	10	0	0	0	3	4	1	2	9	3	7	3	12	34	16	12	6	12	21	2	33	19	11	25	9	12	7	0	3	0	0	2	25	26	0	0	11	13	0	4	21	1	3	3	2	1	12	6	2	0	14	3	0	1	1	2	4	12	3	0	3	5	3	10	38	82	46	45	0	10	1	2	0	5	1	4	55	702	3	0	3	7	6	32	3	19	14	13	22	16	6	21	1	7	4	5	7	2	10	0	2	11	0	0	10	16	45	37	19	24	24	4	0	5	56	12	3	19	36	25	9	3	4	0	23	16	13	11	21	12	22	31	2	8	2	9	5	0	20	7	0	1	29	6	10	11	3	30	0	18	22	28	27	33	17	1	3	9	13	5	13	7	6	149	221	7	1	20	2	9	2	15	18	308	3	50	4	1	6	10	3	26	4	110	18	0	26	5	4	11	6	14	12	0	19	2	32	0	2	4	12	13	1	0	82	0	5	85	154	5	0	25	4	0	0	50	3	2	13	1	50	85	145	0	0	19	22	1	56	103	5	8	1	1
10	Число действительных избирательных бюллетеней	436093	96	479	830	1747	190	1457	732	123	437	106	358	312	231	36	3547	450	382	400	204	1057	992	1995	999	311	101	7	138	1237	443	69	1443	960	5247	1342	1665	921	792	2553	1731	611	133	148	47	123	141	112	29	655	341	1082	105	593	354	552	31	778	43	65	155	2299	24	241	2592	564	528	1231	80	67	93	1545	630	591	781	2165	742	990	1002	855	460	209	557	432	72	278	615	425	73	281	20	576	483	152	893	1378	1717	360	179	135	64	849	2649	1151	558	577	629	823	157	647	1443	380	601	184	38	26	80	133	93	3570	8073	2285	103	193	1451	717	107	305	176	124	178	591	320	119	908	317	3307	1592	4371	4113	653	57	1961	808	1373	132	497	90	77	70	204	229	108	330	247	165	479	130	1951	4638	3095	2692	1518	2333	4789	1500	3856	1928	2345	2729	2686	944	392	87	101	106	66	94	854	685	88	130	560	953	107	335	1935	74	134	81	151	245	757	202	176	87	1174	370	54	100	68	91	71	507	533	588	334	320	259	4210	2299	4413	2469	1408	3322	1590	74	359	108	264	296	673	2935	19009	524	40	853	1039	269	2939	682	2362	1872	1975	2813	1125	489	1850	656	1678	548	911	1014	658	2312	80	104	567	31	100	693	580	3158	2937	2198	1678	1471	255	31	372	3519	1366	181	731	1915	1189	324	134	114	21	2480	2551	3608	1482	2968	2792	4329	5037	199	285	125	792	426	33	669	179	264	110	1782	490	471	1060	952	2251	687	1800	1512	1744	1592	1901	1036	112	454	217	641	300	1161	995	585	14298	13337	921	20	680	24	1197	94	631	4191	15703	553	6066	678	427	981	500	503	567	362	2492	2513	930	2745	743	867	1699	946	1291	475	23	446	230	2215	92	1149	2038	2043	1811	58	91	3744	46	200	1669	2183	338	124	1500	181	23	476	2563	1383	257	766	36	2967	3752	2014	25	60	2261	2926	87	2699	1489	994	463	112	248
