Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Александровский район																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341					
1	"Число избирателей, внесенных в список"	7138	696	379	1102	1002	1561	1340	107	136	218	241	356					
2	Число полученных избирательных бюллетеней	6944	700	360	1000	1000	1500	1300	108	156	220	250	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	47	0	0	0	0	0	47	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4667	474	231	636	603	980	895	86	114	173	194	281					
5	"Число избирательных бюллетеней, выданных вне помещения"	327	24	37	79	19	55	52	6	11	13	13	18					
6	Число погашенных избирательных бюллетеней	1903	202	92	285	378	465	306	16	31	34	43	51					
7	Число избирательных бюллетеней в переносных ящиках	374	24	37	79	19	55	99	6	11	13	13	18					
8	Число бюллетеней в стационарных ящиках для голосования	4666	474	231	636	603	979	895	86	114	173	194	281					
9	Число недействительных избирательных бюллетеней	51	2	4	6	11	4	19	1	0	3	0	1					
10	Число действительных избирательных бюллетеней	4989	496	264	709	611	1030	975	91	125	183	207	298					
11	Число полученных открепительных  удостоверений	450	50	30	70	50	50	70	20	30	30	20	30					
12	Число выданных открепительных удостоверений	370	30	30	62	32	34	70	17	22	30	15	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	6	2	10	13	36	31	4	4	25	1	2					
14	Число неиспользованных открепительных удостоверений	80	20	0	8	18	16	0	3	8	0	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	166	15	12	26	22	39	37	0	2	10	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	150	19	7	20	19	32	34	2	6	5	1	5					
		2.98%	3.82%	2.61%	2.80%	3.05%	3.09%	3.42%	2.17%	4.80%	2.69%	0.48%	1.67%					
19	. Малышкин Олег Александрович	182	17	18	31	27	39	21	4	6	8	4	7					
		3.61%	3.41%	6.72%	4.34%	4.34%	3.77%	2.11%	4.35%	4.80%	4.30%	1.93%	2.34%					
20	. Миронов Сергей Михайлович	56	5	6	5	7	12	11	0	4	2	1	3					
		1.11%	1.00%	2.24%	0.70%	1.13%	1.16%	1.11%	0.00%	3.20%	1.08%	0.48%	1.00%					
21	. Путин Владимир Владимирович	3534	326	187	482	412	721	694	72	95	141	164	240					
		70.12%	65.46%	69.78%	67.41%	66.24%	69.73%	69.82%	78.26%	76.00%	75.81%	79.23%	80.27%					
22	. Хакамада Ирина Муцуовна	303	35	4	40	60	77	55	2	6	5	4	15					
		6.01%	7.03%	1.49%	5.59%	9.65%	7.45%	5.53%	2.17%	4.80%	2.69%	1.93%	5.02%					
23	. Харитонов Николай Михайлович	500	60	31	100	49	97	93	3	5	16	26	20					
		9.92%	12.05%	11.57%	13.99%	7.88%	9.38%	9.36%	3.26%	4.00%	8.60%	12.56%	6.69%					
																		
24	Против всех	264	34	11	31	37	52	67	8	3	6	7	8					
		5.24%	6.83%	4.10%	4.34%	5.95%	5.03%	6.74%	8.70%	2.40%	3.23%	3.38%	2.68%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
