Выборы Президента Российской Федерации																																																			
Дата голосования: 02.03.2008																																																			
																																																			
Наименование Избирательной комиссии:    Асиновская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
	Число участковых избирательных комиссий	44																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																	
																																																			
		Сумма	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293					
1	"Число избирателей, включенных в списки избирателей"	29150	301	2131	1696	1418	345	757	943	1503	604	898	1457	1433	1220	2025	1462	749	669	644	116	664	698	138	70	170	591	246	280	842	298	898	343	313	442	318	173	132	122	207	133	437	121	599	337	207					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27480	270	1800	1600	1400	300	700	900	1500	550	900	1400	1400	1200	1900	1400	700	600	600	100	600	650	140	80	150	550	220	250	800	300	900	350	250	450	300	150	120	110	200	120	400	120	550	300	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	15659	157	1035	854	800	196	457	498	813	216	385	868	676	550	854	711	289	334	259	85	442	426	102	56	100	373	129	212	449	200	540	238	198	268	215	101	97	71	135	96	293	78	391	234	178					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2081	52	181	85	75	26	35	54	50	90	96	40	90	76	76	86	81	38	45	15	50	73	23	7	25	39	21	15	120	11	37	23	32	43	18	10	15	30	19	6	63	13	62	29	6					
6	Число погашенных избирательных бюллетеней	9740	61	584	661	525	78	208	348	637	244	419	492	634	574	970	603	330	228	296	0	108	151	15	17	25	138	70	23	231	89	323	89	20	139	67	39	8	9	46	18	44	29	97	37	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2080	52	181	85	75	26	35	54	50	89	96	40	90	76	76	86	81	38	45	15	50	73	23	7	25	39	21	15	120	11	37	23	32	43	18	10	15	30	19	6	63	13	62	29	6					
8	Число бюллетеней в стационарных ящиках для голосования	15659	157	1035	854	800	196	457	498	813	216	385	868	676	550	854	711	289	334	259	85	442	426	102	56	100	373	129	212	449	200	540	238	198	268	215	101	97	71	135	96	293	78	391	234	178					
9	Число недействительных избирательных бюллетеней	133	1	10	8	10	1	5	3	7	2	5	8	5	8	6	5	1	3	2	0	0	5	1	0	1	2	2	1	5	1	5	0	0	2	7	1	0	1	1	0	0	1	3	4	0					
10	Число действительных избирательных бюллетеней	17606	208	1206	931	865	221	487	549	856	303	476	900	761	618	924	792	369	369	302	100	492	494	124	63	124	410	148	226	564	210	572	261	230	309	226	110	112	100	153	102	356	90	450	259	184					
11	Число полученных открепительных  удостоверений	700	20	30	30	30	10	20	20	20	20	20	20	20	20	20	20	20	20	20	10	15	15	10	10	10	15	15	10	15	15	15	15	10	15	15	10	10	10	10	10	15	10	15	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	269	3	20	21	20	4	9	4	10	0	4	12	9	10	14	10	2	1	3	0	3	0	0	8	0	5	11	8	7	1	6	1	2	13	15	1	1	0	2	0	9	6	9	5	0					
