Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Зырянский район																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413					
1	"Число избирателей, внесенных в список"	11884	284	49	856	818	739	841	743	941	496	564	665	74	505	238	332	368	246	511	402	499	177	220	232	67	364	214	439					
2	Число полученных избирательных бюллетеней	11807	295	54	830	810	730	850	700	940	470	580	670	78	490	238	338	390	242	500	400	510	186	210	230	76	350	210	430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7781	206	41	550	463	371	566	480	529	321	360	458	52	316	139	201	271	165	355	299	391	98	134	174	56	251	187	347					
5	"Число избирательных бюллетеней, выданных вне помещения"	1030	39	3	48	71	115	47	44	83	74	37	50	0	69	26	55	21	36	33	38	33	11	14	22	7	32	6	16					
6	Число погашенных избирательных бюллетеней	2996	50	10	232	276	244	237	176	328	75	183	162	26	105	73	82	98	41	112	63	86	77	62	34	13	67	17	67					
7	Число избирательных бюллетеней в переносных ящиках	1030	39	3	48	71	115	47	44	83	74	37	50	0	69	26	55	21	36	33	38	33	11	14	22	7	32	6	16					
8	Число бюллетеней в стационарных ящиках для голосования	7780	206	41	549	463	371	566	480	529	321	360	458	52	316	139	201	271	165	355	299	391	98	134	174	56	251	187	347					
9	Число недействительных избирательных бюллетеней	84	4	0	1	4	0	2	4	4	2	4	10	0	10	3	1	2	1	4	5	4	1	0	1	0	4	1	12					
10	Число действительных избирательных бюллетеней	8726	241	44	596	530	486	611	520	608	393	393	498	52	375	162	255	290	200	384	332	420	108	148	195	63	279	192	351					
11	Число полученных открепительных  удостоверений	361	19	5	10	20	10	20	10	20	10	10	10	5	10	20	20	32	10	10	10	30	5	10	20	5	10	10	10					
12	Число выданных открепительных удостоверений	213	19	1	6	11	2	13	4	6	2	5	10	1	6	11	20	32	1	9	2	29	4	3	14	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	2	1	7	6	3	4	1	0	13	0	2	0	2	4	2	2	1	2	6	2	3	2	3	1	1	5	1					
14	Число неиспользованных открепительных удостоверений	148	0	4	4	9	8	7	6	14	8	5	0	4	4	9	0	0	9	1	8	1	1	7	6	5	10	9	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	170	4	3	7	15	10	21	14	20	3	8	4	1	6	0	2	9	4	7	0	6	1	3	4	0	9	5	4					
		1.93%	1.63%	6.82%	1.17%	2.81%	2.06%	3.43%	2.67%	3.27%	0.76%	2.02%	0.79%	1.92%	1.56%	0.00%	0.78%	3.08%	1.99%	1.80%	0.00%	1.42%	0.92%	2.03%	2.04%	0.00%	3.18%	2.59%	1.10%					
19	. Малышкин Олег Александрович	459	15	2	31	22	23	26	18	18	15	22	19	2	27	6	38	28	14	19	13	15	9	6	9	4	22	11	25					
		5.21%	6.12%	4.55%	5.19%	4.12%	4.73%	4.24%	3.44%	2.94%	3.80%	5.54%	3.74%	3.85%	7.01%	3.64%	14.84%	9.59%	6.97%	4.90%	3.86%	3.54%	8.26%	4.05%	4.59%	6.35%	7.77%	5.70%	6.89%					
20	. Миронов Сергей Михайлович	89	1	0	2	8	2	10	9	4	10	5	7	0	4	3	1	1	1	4	5	0	1	3	2	1	1	0	4					
		1.01%	0.41%	0.00%	0.34%	1.50%	0.41%	1.63%	1.72%	0.65%	2.53%	1.26%	1.38%	0.00%	1.04%	1.82%	0.39%	0.34%	0.50%	1.03%	1.48%	0.00%	0.92%	2.03%	1.02%	1.59%	0.35%	0.00%	1.10%					
21	. Путин Владимир Владимирович	5974	152	39	382	342	333	413	332	433	309	231	337	39	251	125	163	185	122	227	266	319	73	110	145	51	197	148	250					
		67.81%	62.04%	88.64%	63.99%	64.04%	68.52%	67.37%	63.36%	70.75%	78.23%	58.19%	66.34%	75.00%	65.19%	75.76%	63.67%	63.36%	60.70%	58.51%	78.93%	75.24%	66.97%	74.32%	73.98%	80.95%	69.61%	76.68%	68.87%					
22	. Хакамада Ирина Муцуовна	189	5	0	14	12	19	18	7	10	6	4	8	2	3	5	6	4	3	4	10	13	4	2	9	0	4	0	17					
		2.15%	2.04%	0.00%	2.35%	2.25%	3.91%	2.94%	1.34%	1.63%	1.52%	1.01%	1.57%	3.85%	0.78%	3.03%	2.34%	1.37%	1.49%	1.03%	2.97%	3.07%	3.67%	1.35%	4.59%	0.00%	1.41%	0.00%	4.68%					
23	. Харитонов Николай Михайлович	1589	54	0	133	108	90	95	126	113	47	105	103	7	77	19	28	47	54	115	36	53	17	18	22	7	45	24	46					
		18.04%	22.04%	0.00%	22.28%	20.22%	18.52%	15.50%	24.05%	18.46%	11.90%	26.45%	20.28%	13.46%	20.00%	11.52%	10.94%	16.10%	26.87%	29.64%	10.68%	12.50%	15.60%	12.16%	11.22%	11.11%	15.90%	12.44%	12.67%					
																																		
