Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Алексинская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45					
1	"Число избирателей, внесенных в список"	66487	2159	1472	2803	2806	2627	2391	2250	2189	2368	2647	2800	2782	2758	2020	1263	1241	837	2334	1975	2384	1349	1768	309	500	2646	2163	1256	2473	642	274	460	350	319	580	363	526	217	807	366	514	185	388	318	589	3019					
2	Число полученных избирательных бюллетеней	66985	2180	1525	2850	2810	2670	2430	2300	2180	2350	2570	2820	2770	2840	2025	1275	1220	840	2315	2000	2450	1375	1760	303	495	2660	2210	1275	2480	660	355	457	347	321	592	279	524	216	810	381	525	182	407	321	620	3010					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33740	997	730	1292	1406	1195	1300	1162	1017	1238	1201	1418	1486	1474	906	576	516	430	1190	1015	1143	656	809	177	235	1399	1048	648	1435	376	185	226	207	193	316	222	286	120	464	246	291	110	270	117	286	1726					
5	"Число избирательных бюллетеней, выданных вне помещения"	2880	137	22	22	53	20	31	40	117	56	121	55	77	50	42	43	23	21	82	33	64	26	50	32	52	22	27	36	28	74	89	98	78	67	84	43	135	61	170	36	59	14	69	132	162	127					
6	Число погашенных избирательных бюллетеней	30365	1046	773	1536	1351	1455	1099	1098	1046	1056	1248	1347	1207	1316	1077	656	681	389	1043	952	1243	693	901	94	208	1239	1135	591	1017	210	81	133	62	61	192	14	103	35	176	99	175	58	68	72	172	1157					
7	Число избирательных бюллетеней в переносных ящиках	2880	137	22	22	53	20	31	40	117	56	121	55	77	50	42	43	23	21	82	33	64	26	50	32	52	22	27	36	28	74	89	98	78	67	84	43	135	61	170	36	59	14	69	132	162	127					
8	Число бюллетеней в стационарных ящиках для голосования	33733	997	730	1292	1406	1195	1300	1161	1017	1238	1201	1418	1486	1474	906	576	516	430	1188	1015	1143	656	809	177	235	1399	1048	648	1431	376	185	226	207	193	316	222	286	120	464	246	291	110	270	117	286	1726					
9	Число недействительных избирательных бюллетеней	253	9	4	7	11	4	6	7	7	12	6	12	7	6	14	6	3	3	9	12	6	11	4	1	0	11	8	7	13	6	0	0	3	1	2	2	5	0	5	2	8	2	1	0	3	7					
10	Число действительных избирательных бюллетеней	36360	1125	748	1307	1448	1211	1325	1194	1127	1282	1316	1461	1556	1518	934	613	536	448	1261	1036	1201	671	855	208	287	1410	1067	677	1446	444	274	324	282	259	398	263	416	181	629	280	342	122	338	249	445	1846					
11	Число полученных открепительных  удостоверений	513	15	15	20	20	10	15	15	15	15	20	18	20	20	16	5	8	6	7	15	15	10	10	2	3	10	15	5	15	23	5	8	2	8	11	5	5	2	5	16	10	5	3	3	12	30					
12	Число выданных открепительных удостоверений	402	11	15	15	13	10	10	13	11	11	19	18	20	13	13	4	7	6	5	11	14	5	6	0	1	5	9	5	8	23	2	6	0	8	11	1	4	0	2	16	10	3	3	1	11	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	392	4	1	17	7	4	9	12	28	18	9	6	14	4	17	4	8	3	9	4	7	4	6	3	4	9	8	3	13	7	4	2	5	3	3	84	7	4	10	3	3	3	0	6	2	11					
14	Число неиспользованных открепительных удостоверений	111	4	0	5	7	0	5	2	4	4	1	0	0	7	3	1	1	0	2	4	1	5	4	2	2	5	6	0	7	0	3	2	2	0	0	4	1	2	3	0	0	2	0	2	1	7					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	1	1	4	2	2	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	2017	37	69	93	93	60	99	69	77	99	79	95	75	95	57	31	32	27	51	63	85	51	45	6	12	81	48	29	106	4	6	18	11	5	14	21	16	5	15	8	14	11	19	10	17	59					
		5.51%	3.26%	9.18%	7.08%	6.37%	4.94%	7.44%	5.75%	6.79%	7.65%	5.98%	6.45%	4.80%	6.23%	6.01%	5.01%	5.94%	5.99%	4.02%	6.01%	7.04%	7.48%	5.24%	2.87%	4.18%	5.70%	4.47%	4.24%	7.27%	0.89%	2.19%	5.56%	3.86%	1.92%	3.50%	7.92%	3.80%	2.76%	2.37%	2.84%	4.00%	8.87%	5.60%	4.02%	3.79%	3.18%					
19	. Малышкин Олег Александрович	892	37	19	42	52	45	24	31	28	21	39	30	35	36	28	24	13	27	32	22	23	15	21	5	4	36	19	14	50	14	4	8	3	2	8	4	7	3	8	3	10	3	3	0	14	26					
		2.44%	3.26%	2.53%	3.20%	3.56%	3.70%	1.80%	2.58%	2.47%	1.62%	2.95%	2.04%	2.24%	2.36%	2.95%	3.88%	2.41%	5.99%	2.52%	2.10%	1.91%	2.20%	2.44%	2.39%	1.39%	2.53%	1.77%	2.05%	3.43%	3.11%	1.46%	2.47%	1.05%	0.77%	2.00%	1.51%	1.66%	1.66%	1.26%	1.06%	2.86%	2.42%	0.88%	0.00%	3.12%	1.40%					
20	. Миронов Сергей Михайлович	249	7	5	9	5	5	6	10	8	9	11	10	12	13	1	5	5	4	10	8	9	5	7	1	5	21	6	2	10	2	3	3	1	1	4	5	0	0	3	1	3	2	3	1	3	5					
		0.68%	0.62%	0.66%	0.68%	0.34%	0.41%	0.45%	0.83%	0.71%	0.70%	0.83%	0.68%	0.77%	0.85%	0.11%	0.81%	0.93%	0.89%	0.79%	0.76%	0.75%	0.73%	0.81%	0.48%	1.74%	1.48%	0.56%	0.29%	0.69%	0.44%	1.09%	0.93%	0.35%	0.38%	1.00%	1.89%	0.00%	0.00%	0.47%	0.35%	0.86%	1.61%	0.88%	0.40%	0.67%	0.27%					
21	. Путин Владимир Владимирович	22302	802	480	775	905	748	772	662	649	709	800	812	922	840	586	358	362	278	825	574	658	373	565	105	172	827	659	388	818	303	200	234	174	206	280	162	274	125	434	209	167	81	222	189	307	1311					
		60.91%	70.72%	63.83%	58.98%	62.03%	61.56%	58.00%	55.12%	57.23%	54.79%	60.51%	55.13%	58.99%	55.12%	61.81%	57.84%	67.16%	61.64%	64.96%	54.77%	54.52%	54.69%	65.77%	50.24%	59.93%	58.20%	61.30%	56.73%	56.07%	67.33%	72.99%	72.22%	61.05%	79.23%	70.00%	61.13%	65.08%	69.06%	68.45%	74.11%	47.71%	65.32%	65.49%	75.90%	68.53%	70.75%					
22	. Хакамада Ирина Муцуовна	953	24	34	56	46	26	35	43	31	29	32	39	33	43	29	19	19	14	32	32	51	21	21	2	4	42	21	17	37	9	2	7	6	3	7	6	4	1	3	7	7	3	7	0	10	39					
		2.60%	2.12%	4.52%	4.26%	3.15%	2.14%	2.63%	3.58%	2.73%	2.24%	2.42%	2.65%	2.11%	2.82%	3.06%	3.07%	3.53%	3.10%	2.52%	3.05%	4.23%	3.08%	2.44%	0.96%	1.39%	2.96%	1.95%	2.49%	2.54%	2.00%	0.73%	2.16%	2.11%	1.15%	1.75%	2.26%	0.95%	0.55%	0.47%	2.48%	2.00%	2.42%	2.06%	0.00%	2.23%	2.10%					
23	. Харитонов Николай Михайлович	8095	189	92	228	233	230	327	314	282	363	303	394	403	411	180	139	83	69	251	282	307	178	152	84	78	313	243	195	347	86	49	42	81	33	64	52	102	40	151	50	132	14	75	39	69	346					
