Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Арсеньевская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759					
1	"Число избирателей, внесенных в список"	10509	2137	213	316	337	156	266	204	341	332	285	166	195	131	276	215	226	263	520	294	63	1531	2042					
2	Число полученных избирательных бюллетеней	10389	2000	215	315	340	175	260	210	350	330	290	165	200	144	290	220	230	270	530	290	65	1500	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6107	1134	99	149	201	100	182	134	183	167	163	97	115	88	192	128	116	145	362	168	31	990	1163					
5	"Число избирательных бюллетеней, выданных вне помещения"	1265	85	74	62	75	28	42	41	97	110	66	12	32	19	40	44	71	64	65	58	14	17	149					
6	Число погашенных избирательных бюллетеней	3017	781	42	104	64	47	36	35	70	53	61	56	53	37	58	48	43	61	103	64	20	493	688					
7	Число избирательных бюллетеней в переносных ящиках	1265	85	74	62	75	28	42	41	97	110	66	12	32	19	40	44	71	64	65	58	14	17	149					
8	Число бюллетеней в стационарных ящиках для голосования	6105	1134	99	149	201	98	182	134	183	167	163	97	115	88	192	128	116	145	362	168	31	990	1163					
9	Число недействительных избирательных бюллетеней	46	13	1	0	1	1	2	0	2	1	2	0	0	0	4	0	0	3	2	3	0	2	9					
10	Число действительных избирательных бюллетеней	7324	1206	172	211	275	125	222	175	278	276	227	109	147	107	228	172	187	206	425	223	45	1005	1303					
11	Число полученных открепительных  удостоверений	249	35	5	5	10	10	5	5	5	5	5	5	10	12	15	6	12	3	8	6	3	44	35					
12	Число выданных открепительных удостоверений	202	25	1	3	8	8	0	2	4	2	2	0	10	12	15	4	9	2	8	6	3	44	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	6	1	1	1	4	3	4	2	5	0	4	1	2	2	7	7	0	1	3	4	5	13					
14	Число неиспользованных открепительных удостоверений	47	10	4	2	2	2	5	3	1	3	3	5	0	0	0	2	3	1	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	199	54	2	1	3	4	4	6	3	6	3	1	1	3	6	6	2	2	11	2	0	23	56					
		2.70%	4.43%	1.16%	0.47%	1.09%	3.17%	1.79%	3.43%	1.07%	2.17%	1.31%	0.92%	0.68%	2.80%	2.59%	3.49%	1.07%	0.96%	2.58%	0.88%	0.00%	2.28%	4.27%					
19	. Малышкин Олег Александрович	153	37	3	6	2	1	1	3	3	7	4	0	3	3	2	0	2	3	11	5	3	23	31					
		2.08%	3.04%	1.73%	2.84%	0.72%	0.79%	0.45%	1.71%	1.07%	2.53%	1.75%	0.00%	2.04%	2.80%	0.86%	0.00%	1.07%	1.44%	2.58%	2.21%	6.67%	2.28%	2.36%					
20	. Миронов Сергей Михайлович	31	6	0	1	4	1	3	0	2	2	0	0	0	0	0	1	0	0	2	0	0	3	6					
		0.42%	0.49%	0.00%	0.47%	1.45%	0.79%	1.34%	0.00%	0.71%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.47%	0.00%	0.00%	0.30%	0.46%					
21	. Путин Владимир Владимирович	4936	709	126	133	205	105	175	129	191	181	125	48	91	65	142	124	147	151	303	152	34	790	810					
		66.97%	58.16%	72.83%	63.03%	74.28%	83.33%	78.12%	73.71%	68.21%	65.34%	54.59%	44.04%	61.90%	60.75%	61.21%	72.09%	78.61%	72.25%	70.96%	67.26%	75.56%	78.45%	61.74%					
22	. Хакамада Ирина Муцуовна	131	17	6	4	5	0	4	1	2	3	3	6	2	0	6	4	0	2	7	12	2	20	25					
		1.78%	1.39%	3.47%	1.90%	1.81%	0.00%	1.79%	0.57%	0.71%	1.08%	1.31%	5.50%	1.36%	0.00%	2.59%	2.33%	0.00%	0.96%	1.64%	5.31%	4.44%	1.99%	1.91%					
23	. Харитонов Николай Михайлович	1618	330	33	56	48	14	31	35	73	71	86	53	49	30	67	35	34	45	77	27	5	98	321					
		21.95%	27.07%	19.08%	26.54%	17.39%	11.11%	13.84%	20.00%	26.07%	25.63%	37.55%	48.62%	33.33%	28.04%	28.88%	20.35%	18.18%	21.53%	18.03%	11.95%	11.11%	9.73%	24.47%					
																													
24	Против всех	256	53	2	10	8	0	4	1	4	6	6	1	1	6	5	2	2	3	14	25	1	48	54					
		3.47%	4.35%	1.16%	4.74%	2.90%	0.00%	1.79%	0.57%	1.43%	2.17%	2.62%	0.92%	0.68%	5.61%	2.16%	1.16%	1.07%	1.44%	3.28%	11.06%	2.22%	4.77%	4.12%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
