Выборы Президента Российской Федерации																																																								
Дата голосования: 04.03.2012																																																								
																																																								
Наименование Избирательной комиссии:    Богородицкая																																																								
																																																								
Сводная таблица итогов голосования																																																								
																																																								
	Число участковых избирательных комиссий	45																																																						
	Число участковых избирательных комиссий, приступивших к передаче сведений	45																																																						
																																																								
		Сумма	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153									
1	Число избирателей, включенных в список избирателей	42002	1828	996	1077	1560	2385	1839	783	1483	1335	1009	1687	1008	833	272	583	1107	1441	2529	1347	1318	1646	1546	1544	1480	344	446	149	260	222	1628	242	228	462	152	387	187	335	753	272	764	328	737	395	622	453									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	39500	1700	950	950	1450	2200	1700	750	1400	1300	950	1700	1000	800	250	550	1000	1300	2300	1250	1200	1550	1450	1400	1350	350	450	150	250	210	1500	220	220	450	150	350	180	350	750	270	750	300	750	350	600	450									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	19213	990	458	660	893	1174	1106	359	688	725	565	1000	465	273	126	262	634	1042	1186	551	509	810	512	549	529	173	152	46	77	123	663	59	46	184	59	173	49	122	275	81	179	120	142	90	205	129									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	6993	139	95	146	160	150	218	182	227	136	175	131	142	277	57	85	115	78	179	169	183	247	220	225	180	86	121	50	151	50	220	82	105	97	44	81	118	84	208	119	282	91	396	194	233	265									
6	Число погашенных избирательных бюллетеней	13294	571	397	144	397	876	376	209	485	439	210	569	393	250	67	203	251	180	935	530	508	493	718	626	641	91	177	54	22	37	617	79	69	169	47	96	13	144	267	70	289	89	212	66	162	56									
7	Число избирательных бюллетеней в переносных ящиках для голосования	6992	139	95	146	160	150	218	182	227	136	175	131	142	277	57	85	115	78	179	169	183	247	219	225	180	86	121	50	151	50	220	82	105	97	44	81	118	84	208	119	282	91	396	194	233	265									
8	Число бюллетеней в стационарных ящиках для голосования	19203	990	458	660	893	1174	1106	359	678	725	565	1000	465	273	126	262	634	1042	1186	551	509	810	512	549	529	173	152	46	77	123	663	59	46	184	59	173	49	122	275	81	179	120	142	90	205	129									
9	Число недействительных избирательных бюллетеней	233	9	19	0	18	17	16	3	6	10	3	10	2	14	0	2	5	11	12	6	4	13	4	3	4	1	2	0	0	2	18	0	1	3	0	1	1	0	7	2	3	0	1	0	0	0									
10	Число действительных избирательных бюллетеней	25962	1120	534	806	1035	1307	1308	538	899	851	737	1121	605	536	183	345	744	1109	1353	714	688	1044	727	771	705	258	271	96	228	171	865	141	150	278	103	253	166	206	476	198	458	211	537	284	438	394									
11	Число полученных открепительных  удостоверений	1041	47	35	27	42	55	47	25	29	40	27	48	31	20	7	13	25	35	50	20	22	35	30	35	30	29	8	4	15	3	24	4	10	20	1	15	1	16	35	6	20	7	18	3	18	9									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1027	47	35	27	39	52	47	25	26	40	27	48	31	20	7	13	25	35	50	20	22	35	30	31	30	29	8	4	15	3	24	4	10	20	1	14	1	16	35	6	20	7	18	3	18	9									
13	Число избирателей, проголосовавших по открепительным удостоверениям	463	11	7	23	25	20	26	9	15	18	16	22	12	6	9	7	12	17	21	8	14	7	16	14	12	10	4	5	5	5	5	5	4	7	4	3	1	11	8	2	4	10	4	8	9	2									
14	Число неиспользованных открепительных удостоверений	14	0	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	170	7	5	6	18	24	14	0	4	4	2	9	7	4	3	0	5	6	14	6	2	3	5	3	5	1	1	0	0	0	1	0	1	3	2	0	0	1	2	0	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	Жириновский Владимир Вольфович	1904	101	50	48	75	104	80	34	61	76	67	90	43	38	17	32	53	55	92	48	51	72	65	64	51	20	17	5	15	14	71	10	12	32	6	26	9	17	48	17	37	9	17	7	18	30									
