Выборы Президента Российской Федерации																																											
Дата голосования: 04.03.2012																																											
																																											
Наименование Избирательной комиссии:    Донская																																											
																																											
Сводная таблица итогов голосования																																											
																																											
	Число участковых избирательных комиссий	32																																									
	Число участковых избирательных комиссий, приступивших к передаче сведений	32																																									
																																											
		Сумма	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235									
1	Число избирателей, включенных в список избирателей	48352	2204	1697	1740	2343	2438	1394	1137	2407	1274	1253	1445	838	1021	556	285	1654	1416	557	1684	2432	2315	1794	2173	764	1064	1279	1644	1565	1147	1481	763	2588									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	48050	2200	1700	1800	2400	2500	1400	1100	2400	1300	1200	1400	800	1000	500	350	1600	1400	500	1700	2500	2300	1800	2200	700	1000	1200	1600	1600	1100	1500	700	2600									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	31000	1382	958	916	1672	1617	792	771	1593	1010	1034	915	610	563	401	151	840	1206	184	1145	1868	1484	1200	1567	510	627	772	1012	1191	714	818	270	1207									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	5249	191	212	574	152	191	182	44	262	21	65	193	119	203	98	134	103	70	267	54	120	141	180	96	158	183	279	259	86	168	118	175	151									
6	Число погашенных избирательных бюллетеней	11801	627	530	310	576	692	426	285	545	269	101	292	71	234	1	65	657	124	49	501	512	675	420	537	32	190	149	329	323	218	564	255	1242									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5249	191	212	574	152	191	182	44	262	21	65	193	119	203	98	134	103	70	267	54	120	141	180	96	158	183	279	259	86	168	118	175	151									
8	Число бюллетеней в стационарных ящиках для голосования	31000	1382	958	916	1672	1617	792	771	1593	1010	1034	915	610	563	401	151	840	1206	184	1145	1868	1484	1200	1567	510	627	772	1012	1191	714	818	270	1207									
9	Число недействительных избирательных бюллетеней	251	10	0	15	21	7	6	16	0	4	11	23	7	11	11	7	0	8	0	15	18	10	8	5	4	0	0	8	0	7	10	0	9									
10	Число действительных избирательных бюллетеней	35998	1563	1170	1475	1803	1801	968	799	1855	1027	1088	1085	722	755	488	278	943	1268	451	1184	1970	1615	1372	1658	664	810	1051	1263	1277	875	926	445	1349									
11	Число полученных открепительных  удостоверений	1456	65	50	35	55	77	30	45	90	35	48	41	40	20	20	0	40	50	20	60	70	70	65	55	30	30	45	50	50	35	50	20	65									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1367	65	50	35	54	77	28	40	72	32	48	41	32	20	20	0	40	50	7	55	70	68	65	49	27	22	45	50	50	35	50	12	58									
13	Число избирателей, проголосовавших по открепительным удостоверениям	846	14	35	24	26	28	27	82	36	18	24	30	29	25	3	34	40	49	11	45	35	34	34	39	13	5	16	11	4	43	14	3	15									
14	Число неиспользованных открепительных удостоверений	89	0	0	0	1	0	2	5	18	3	0	0	8	0	0	0	0	0	13	5	0	2	0	6	3	8	0	0	0	0	0	8	7									
15	Число открепительных удостоверений, выданных избирателям ТИК	297	14	13	8	29	19	6	7	14	14	4	6	7	5	2	0	11	13	1	12	18	20	14	18	1	7	6	2	4	4	5	4	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	Жириновский Владимир Вольфович	1775	109	40	98	90	113	50	42	85	10	50	61	41	33	24	17	59	47	14	52	106	96	67	83	28	30	42	66	19	17	33	24	129									
		4.90%	6.93%	3.42%	6.58%	4.93%	6.25%	5.13%	5.15%	4.58%	0.97%	4.55%	5.51%	5.62%	4.31%	4.81%	5.96%	6.26%	3.68%	3.10%	4.34%	5.33%	5.91%	4.86%	4.99%	4.19%	3.70%	3.99%	5.19%	1.49%	1.93%	3.53%	5.39%	9.50%									
20	Зюганов Геннадий Андреевич	6977	267	246	345	366	331	205	161	371	206	185	223	87	162	76	51	208	206	49	240	344	325	320	332	61	162	203	180	304	232	193	79	257									
		19.25%	16.97%	21.03%	23.15%	20.07%	18.31%	21.05%	19.75%	20.00%	19.98%	16.83%	20.13%	11.93%	21.15%	15.23%	17.89%	22.06%	16.14%	10.86%	20.02%	17.30%	20.00%	23.19%	19.96%	9.13%	20.00%	19.31%	14.16%	23.81%	26.30%	20.62%	17.75%	18.92%									
21	Миронов Сергей Михайлович	893	65	12	9	53	50	54	32	32	17	32	19	8	12	12	9	36	36	11	25	44	36	43	66	10	20	9	36	15	14	14	15	47									
		2.46%	4.13%	1.03%	0.60%	2.91%	2.77%	5.54%	3.93%	1.73%	1.65%	2.91%	1.71%	1.10%	1.57%	2.40%	3.16%	3.82%	2.82%	2.44%	2.09%	2.21%	2.22%	3.12%	3.97%	1.50%	2.47%	0.86%	2.83%	1.17%	1.59%	1.50%	3.37%	3.46%									
22	Прохоров Михаил Дмитриевич	779	43	9	5	6	62	33	33	17	8	24	48	19	8	21	14	63	20	7	17	69	15	36	19	15	7	8	41	18	10	7	10	67									
		2.15%	2.73%	0.77%	0.34%	0.33%	3.43%	3.39%	4.05%	0.92%	0.78%	2.18%	4.33%	2.61%	1.04%	4.21%	4.91%	6.68%	1.57%	1.55%	1.42%	3.47%	0.92%	2.61%	1.14%	2.25%	0.86%	0.76%	3.23%	1.41%	1.13%	0.75%	2.25%	4.93%									
23	Путин Владимир Владимирович	25574	1079	863	1018	1288	1245	626	531	1350	786	797	734	567	540	355	187	577	959	370	850	1407	1143	906	1158	550	591	789	940	921	602	679	317	849									
		70.55%	68.60%	73.76%	68.32%	70.61%	68.86%	64.27%	65.15%	72.78%	76.24%	72.52%	66.25%	77.78%	70.50%	71.14%	65.61%	61.19%	75.16%	82.04%	70.89%	70.77%	70.34%	65.65%	69.63%	82.34%	72.96%	75.07%	73.96%	72.12%	68.25%	72.54%	71.24%	62.52%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
