Выборы Президента Российской Федерации																																																										
Дата голосования: 02.03.2008																																																										
																																																										
Наименование Избирательной комиссии:    Кимовская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
	Число участковых избирательных комиссий	51																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	51																																																								
																																																										
		Сумма	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №1134	УИК №1135					
1	"Число избирателей, включенных в списки избирателей"	35473	943	1440	1391	1297	1089	1192	1010	1187	1160	1043	1835	1547	1788	1252	156	1088	1187	1209	649	136	487	426	823	247	163	447	248	206	199	196	706	426	225	146	300	303	523	326	128	165	538	221	426	288	136	257	440	373	486	1253	1766					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37410	1050	1500	1450	1350	1100	1200	1050	1300	1200	1050	1900	1650	1850	1300	200	1150	1200	1250	650	147	550	450	900	275	184	500	250	245	200	200	775	450	250	164	300	275	600	350	145	170	600	240	490	275	175	300	500	400	550	1300	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	20252	406	655	665	624	629	675	644	787	545	515	1491	908	1233	785	156	621	570	577	186	93	313	214	501	115	88	218	153	105	100	115	326	204	90	70	224	143	390	181	83	91	327	139	179	170	100	187	277	165	250	791	1178					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4688	153	69	176	70	71	53	60	60	82	65	40	161	114	92	0	98	96	135	126	13	65	52	100	38	43	180	77	77	77	78	245	184	123	64	26	66	80	126	37	66	159	65	211	92	22	27	89	145	91	132	117					
6	Число погашенных избирательных бюллетеней	12470	491	776	609	656	400	472	346	453	573	470	369	581	503	423	44	431	534	538	338	41	172	184	299	122	53	102	20	63	23	7	204	62	37	30	50	66	130	43	25	13	114	36	100	13	53	86	134	90	209	377	505					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4688	153	69	176	70	71	53	60	60	82	65	40	161	114	92	0	98	96	135	126	13	65	52	100	38	43	180	77	77	77	78	245	184	123	64	26	66	80	126	37	66	159	65	211	92	22	27	89	145	91	132	117					
8	Число бюллетеней в стационарных ящиках для голосования	20251	406	655	665	624	629	675	644	787	545	515	1491	908	1233	785	156	621	570	577	186	92	313	214	501	115	88	218	153	105	100	115	326	204	90	70	224	143	390	181	83	91	327	139	179	170	100	187	277	165	250	791	1178					
9	Число недействительных избирательных бюллетеней	442	10	8	11	8	8	10	32	12	8	5	5	15	12	26	0	12	7	5	5	0	2	3	8	0	1	0	1	2	0	20	4	0	0	1	2	0	30	2	17	0	0	44	2	22	3	0	2	1	3	70	3					
10	Число действительных избирательных бюллетеней	24497	549	716	830	686	692	718	672	835	619	575	1526	1054	1335	851	156	707	659	707	307	105	376	263	593	153	130	398	229	180	177	173	567	388	213	133	248	209	440	305	103	157	486	160	388	240	119	214	364	309	338	853	1292					
11	Число полученных открепительных  удостоверений	1990	100	69	45	39	30	40	45	80	35	38	51	105	66	50	0	55	31	20	22	13	60	30	50	20	25	35	10	40	12	20	25	65	30	15	15	50	81	36	20	0	45	25	12	5	30	35	45	35	65	85	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1990	100	69	45	39	30	40	45	80	35	38	51	105	66	50	0	55	31	20	22	13	60	30	50	20	25	35	10	40	12	20	25	65	30	15	15	50	81	36	20	0	45	25	12	5	30	35	45	35	65	85	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	624	20	9	22	22	15	18	18	13	17	20	21	31	16	17	22	20	15	10	8	6	10	24	10	1	10	33	5	6	10	10	16	12	4	3	8	12	14	0	8	1	8	5	4	11	3	7	9	4	9	10	17					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	610	14	33	19	15	10	10	10	21	21	15	20	36	21	19	0	6	17	25	4	3	5	29	24	2	5	5	1	1	3	12	60	11	3	1	0	5	2	4	1	1	7	2	50	2	8	4	17	9	7	2	8					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	Богданов Андрей Владимирович	213	4	8	6	5	13	5	4	9	4	4	22	10	12	3	0	2	12	3	3	0	4	1	4	1	0	0	2	0	2	2	7	3	3	0	2	0	2	1	1	3	2	1	3	0	0	1	3	5	2	13	16					
		0.85%	0.72%	1.10%	0.71%	0.72%	1.86%	0.69%	0.57%	1.06%	0.64%	0.69%	1.44%	0.94%	0.89%	0.34%	0.00%	0.28%	1.80%	0.42%	0.96%	0.00%	1.06%	0.38%	0.67%	0.65%	0.00%	0.00%	0.87%	0.00%	1.13%	1.04%	1.23%	0.77%	1.41%	0.00%	0.80%	0.00%	0.43%	0.33%	0.83%	1.91%	0.41%	0.49%	0.77%	0.00%	0.00%	0.47%	0.82%	1.61%	0.59%	1.41%	1.24%					
