Выборы Президента Российской Федерации																																																																					
Дата голосования: 02.03.2008																																																																					
																																																																					
Наименование Избирательной комиссии:    Киреевская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
	Число участковых избирательных комиссий	62																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	62																																																																			
																																																																					
		Сумма	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №1136	УИК №1137	УИК №1138					
1	"Число избирателей, включенных в списки избирателей"	60148	628	1342	1241	1581	1724	1135	1222	1902	1961	1319	1079	1178	1228	1515	952	228	1590	1229	1082	1157	1569	443	1302	1325	1301	1372	1602	1174	2531	2291	349	1482	1323	998	1235	359	395	361	229	247	575	243	237	351	665	719	695	479	583	361	312	479	290	322	476	1522	368	176	702	991	1300	1121					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	62010	640	1360	1250	1590	1750	1150	2000	1940	1980	1330	1090	1170	1250	1540	980	250	1590	1250	1050	1140	1550	560	1300	1320	1300	1420	1620	1150	2560	2290	350	1560	1480	1070	1230	360	390	350	230	240	600	260	240	370	650	730	700	500	600	450	320	470	290	340	490	1560	420	180	750	990	1320	1150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	34627	307	618	633	767	1094	684	1159	924	1092	849	601	575	662	682	765	228	846	800	703	644	911	298	771	623	690	792	820	623	1616	1590	211	804	832	552	527	182	241	258	70	169	240	140	126	172	336	465	445	309	355	311	221	189	107	148	290	819	224	117	355	577	794	674					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	8040	66	127	125	144	78	63	63	473	107	96	57	111	81	200	98	0	303	115	142	151	174	35	132	104	119	175	134	189	187	165	36	315	75	79	304	75	119	64	131	24	267	57	56	75	266	197	211	132	118	50	16	148	176	69	118	100	59	38	328	90	117	116					
6	Число погашенных избирательных бюллетеней	19343	267	615	492	679	578	403	778	543	781	385	432	484	507	658	117	22	441	335	205	345	465	227	397	593	491	453	666	338	757	535	103	441	573	439	399	103	30	28	29	47	93	63	58	123	48	68	44	59	127	89	83	133	7	123	82	641	137	25	67	323	409	360					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8040	66	127	125	144	78	63	63	473	107	96	57	111	81	200	98	0	303	115	142	151	174	35	132	104	119	175	134	189	187	165	36	315	75	79	304	75	119	64	131	24	267	57	56	75	266	197	211	132	118	50	16	148	176	69	118	100	59	38	328	90	117	116					
8	Число бюллетеней в стационарных ящиках для голосования	34626	307	618	633	767	1094	684	1159	924	1092	849	601	575	662	682	765	228	846	800	703	644	911	298	771	623	690	792	820	623	1616	1590	211	804	832	552	526	182	241	258	70	169	240	140	126	172	336	465	445	309	355	311	221	189	107	148	290	819	224	117	355	577	794	674					
9	Число недействительных избирательных бюллетеней	466	7	8	7	12	12	10	24	26	7	7	5	6	10	6	36	19	12	4	5	6	4	4	4	7	10	11	8	3	28	23	1	13	17	4	7	0	3	0	0	0	0	1	0	1	1	3	3	3	4	0	1	3	0	0	0	8	5	1	0	32	15	9					
10	Число действительных избирательных бюллетеней	42200	366	737	751	899	1160	737	1198	1371	1192	938	653	680	733	876	827	209	1137	911	840	789	1081	329	899	720	799	956	946	809	1775	1732	246	1106	890	627	823	257	357	322	201	193	507	196	182	246	601	659	653	438	469	361	236	334	283	217	408	911	278	154	683	635	896	781					
11	Число полученных открепительных  удостоверений	1599	15	10	20	30	34	30	55	46	27	30	25	35	20	25	38	0	30	30	20	20	23	10	20	20	25	40	31	20	70	45	10	70	150	70	14	5	5	10	5	5	25	10	6	15	13	22	11	30	25	15	5	10	15	10	16	22	39	10	50	20	20	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1589	15	10	20	30	34	30	55	46	27	30	25	35	20	25	38	0	30	30	20	20	23	10	20	20	25	40	31	20	70	45	10	70	150	60	14	5	5	10	5	5	25	10	6	15	13	22	11	30	25	15	5	10	15	10	16	22	39	10	50	20	20	22					
