Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Плавская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787					
1	"Число избирателей, внесенных в список"	20992	287	1666	154	387	404	728	207	215	223	303	526	450	412	312	1236	197	290	386	284	179	944	1140	1322	2114	2447	1582	2051	546					
2	Число полученных избирательных бюллетеней	19530	280	1530	140	360	380	680	190	200	210	280	500	410	400	300	1150	190	270	350	260	180	910	1050	1210	1950	2300	1450	1900	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11581	183	901	95	296	269	392	133	126	121	211	365	243	242	164	730	114	130	230	144	97	446	496	598	1083	1572	816	1049	335					
5	"Число избирательных бюллетеней, выданных вне помещения"	1620	35	102	17	55	69	139	27	37	57	66	59	73	37	70	30	22	52	59	50	38	90	86	126	48	68	13	84	11					
6	Число погашенных избирательных бюллетеней	6329	62	527	28	9	42	149	30	37	32	3	76	94	121	66	390	54	88	61	66	45	374	468	486	819	660	621	767	154					
7	Число избирательных бюллетеней в переносных ящиках	1620	35	102	17	55	69	139	27	37	57	66	59	73	37	70	30	22	52	59	50	38	90	86	126	48	68	13	84	11					
8	Число бюллетеней в стационарных ящиках для голосования	11581	183	901	95	296	269	392	133	126	121	211	365	243	242	164	730	114	130	230	144	97	446	496	598	1083	1572	816	1049	335					
9	Число недействительных избирательных бюллетеней	63	3	11	1	2	1	5	0	1	0	0	2	3	1	0	3	0	0	2	2	0	1	7	1	2	7	3	2	3					
10	Число действительных избирательных бюллетеней	13138	215	992	111	349	337	526	160	162	178	277	422	313	278	234	757	136	182	287	192	135	535	575	723	1129	1633	826	1131	343					
11	Число полученных открепительных  удостоверений	309	10	10	5	7	13	22	5	5	10	10	6	5	5	5	23	5	5	5	5	5	10	10	15	20	40	20	21	7					
12	Число выданных открепительных удостоверений	234	6	8	4	5	13	22	4	3	8	8	5	1	5	0	23	0	5	1	5	2	5	6	10	17	32	9	21	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	1	2	2	3	5	1	2	1	3	2	1	1	2	0	2	1	4	7	2	0	9	10	5	15	8	2	5	5					
