Выборы Президента Российской Федерации																																						
Дата голосования: 18.03.2018																																						
																																						
Наименование Избирательной комиссии:    Аромашевская																																						
																																						
Сводная таблица итогов голосования																																						
																																						
	Число участковых избирательных комиссий	27																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	27																																				
																																						
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №325	УИК №326	УИК №327	УИК №328									
1	"Число избирателей, включенных в список избирателей"	9335	891	862	937	997	90	890	268	89	347	78	68	391	200	102	393	76	241	124	100	115	175	349	374	141	295	289	453									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9324	886	860	937	1000	90	890	266	89	348	78	68	392	200	101	393	75	242	123	98	115	174	348	374	141	295	289	452									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7657	748	794	567	608	84	788	223	88	310	72	66	346	176	83	340	74	189	114	97	95	112	300	301	121	275	274	412									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	748	77	36	70	72	0	31	37	0	28	4	0	39	16	13	41	0	43	9	0	10	51	40	62	10	15	10	34									
6	Число погашенных избирательных бюллетеней	919	61	30	300	320	6	71	6	1	10	2	2	7	8	5	12	1	10	0	1	10	11	8	11	10	5	5	6									
7	Число избирательных бюллетеней в переносных ящиках для голосования	748	77	36	70	72	0	31	37	0	28	4	0	39	16	13	41	0	43	9	0	10	51	40	62	10	15	10	34									
8	Число бюллетеней в стационарных ящиках для голосования	7657	748	794	567	608	84	788	223	88	310	72	66	346	176	83	340	74	189	114	97	95	112	300	301	121	275	274	412									
9	Число недействительных избирательных бюллетеней	31	4	9	12	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0									
10	Число действительных избирательных бюллетеней	8374	821	821	625	680	84	819	257	88	338	76	66	385	192	96	381	74	230	123	97	105	163	340	362	131	290	284	446									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
13	Бабурин Сергей Николаевич	31	2	4	13	1	0	1	3	0	1	0	0	0	1	0	2	0	0	0	0	1	1	0	1	0	0	0	0									
		0.37%	0.24%	0.48%	2.04%	0.15%	0.00%	0.12%	1.15%	0.00%	0.30%	0.00%	0.00%	0.00%	0.52%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.95%	0.61%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%									
14	Грудинин Павел Николаевич	244	25	10	32	47	1	14	10	4	5	3	2	10	3	3	23	2	1	0	2	2	2	4	10	5	3	9	12									
		2.90%	3.03%	1.20%	5.02%	6.91%	1.19%	1.71%	3.85%	4.55%	1.48%	3.95%	3.03%	2.60%	1.56%	3.13%	6.04%	2.70%	0.43%	0.00%	2.06%	1.90%	1.23%	1.18%	2.75%	3.82%	1.03%	3.17%	2.69%									
15	Жириновский Владимир Вольфович	294	27	18	73	7	4	16	15	5	10	4	3	9	6	3	15	2	7	5	2	2	4	5	15	7	6	10	14									
		3.50%	3.27%	2.17%	11.46%	1.03%	4.76%	1.95%	5.77%	5.68%	2.96%	5.26%	4.55%	2.34%	3.13%	3.13%	3.94%	2.70%	3.02%	4.07%	2.06%	1.90%	2.45%	1.47%	4.13%	5.34%	2.07%	3.52%	3.14%									
16	Путин Владимир Владимирович	7716	755	774	494	614	78	775	227	77	320	69	61	364	181	89	340	70	221	118	92	99	156	330	331	118	280	265	418									
		91.80%	91.52%	93.25%	77.55%	90.29%	92.86%	94.63%	87.31%	87.50%	94.67%	90.79%	92.42%	94.55%	94.27%	92.71%	89.24%	94.59%	95.26%	95.93%	94.85%	94.29%	95.71%	97.06%	91.18%	90.08%	96.55%	93.31%	93.72%									
17	Собчак Ксения Анатольевна	28	5	6	2	2	1	2	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	2									
		0.33%	0.61%	0.72%	0.31%	0.29%	1.19%	0.24%	0.00%	0.00%	0.30%	0.00%	0.00%	0.26%	0.00%	0.00%	0.26%	0.00%	0.43%	0.00%	1.03%	0.95%	0.00%	0.29%	0.28%	0.00%	0.00%	0.00%	0.45%									
18	Сурайкин Максим Александрович	21	3	2	5	1	0	4	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0									
		0.25%	0.36%	0.24%	0.78%	0.15%	0.00%	0.49%	0.00%	2.27%	0.30%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.34%	0.00%	0.00%									
19	Титов Борис Юрьевич	30	2	5	6	5	0	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0									
		0.36%	0.24%	0.60%	0.94%	0.74%	0.00%	0.73%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.76%	0.00%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	10	2	2	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.12%	0.24%	0.24%	0.00%	0.44%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
