Выборы Президента Российской Федерации																																													
Дата голосования: 18.03.2018																																													
																																													
Наименование Избирательной комиссии:    Викуловская																																													
																																													
Сводная таблица итогов голосования																																													
																																													
	Число участковых избирательных комиссий	34																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	34																																											
																																													
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634									
1	"Число избирателей, включенных в список избирателей"	11548	486	135	140	278	276	1546	1069	1164	1332	288	240	346	78	38	533	465	107	103	284	78	537	107	379	101	57	155	92	330	79	78	97	329	92	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11964	492	135	149	280	287	1581	1086	1236	1390	318	251	352	81	43	560	467	108	105	310	87	541	107	391	112	65	157	90	331	101	82	101	345	95	128									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8183	330	84	86	220	229	985	695	827	906	199	194	293	68	31	437	324	66	75	240	65	339	64	273	74	41	113	76	225	71	62	81	250	71	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1087	42	16	22	37	28	75	82	115	45	40	33	36	9	7	71	64	21	13	27	9	82	14	29	10	2	12	9	72	4	5	14	24	5	13									
6	Число погашенных избирательных бюллетеней	2694	120	35	41	23	30	521	309	294	439	79	24	23	4	5	52	79	21	17	43	13	120	29	89	28	22	32	5	34	26	15	6	71	19	26									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1087	42	16	22	37	28	75	82	115	45	40	33	36	9	7	71	64	21	13	27	9	82	14	29	10	2	12	9	72	4	5	14	24	5	13									
8	Число бюллетеней в стационарных ящиках для голосования	8183	330	84	86	220	229	985	695	827	906	199	194	293	68	31	437	324	66	75	240	65	339	64	273	74	41	113	76	225	71	62	81	250	71	89									
9	Число недействительных избирательных бюллетеней	81	3	1	0	0	0	11	7	13	7	0	4	2	0	0	1	2	0	0	6	0	3	0	4	5	1	2	0	4	0	1	0	2	1	1									
