Выборы Президента Российской Федерации																																																																											
Дата голосования: 02.03.2008																																																																											
																																																																											
Наименование Избирательной комиссии:    Тюменская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
	Число участковых избирательных комиссий	68																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	68																																																																									
																																																																											
		Сумма	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744					
1	"Число избирателей, включенных в списки избирателей"	76875	1260	211	950	2449	619	106	200	2687	560	326	374	366	1033	517	1013	1650	1442	1041	447	1890	1159	199	2509	2609	2468	2521	2520	1328	1594	1435	1349	570	1725	2177	1888	516	1157	305	405	2424	2706	668	416	1633	946	1236	3017	179	332	612	766	2011	500	798	239	241	182	256	2238	264	271	2777	1202	509	119	1497	387	874					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75564	1231	193	1007	2386	621	105	201	2553	567	333	373	362	1037	477	1019	1600	1401	1069	468	1828	1174	204	2417	2525	2397	2434	2465	1313	1538	1287	1433	561	1701	2116	1814	508	1154	330	398	2335	2590	671	418	1620	1096	1170	2866	170	323	602	750	1949	556	819	242	246	187	258	2229	257	280	2756	1196	508	114	1489	388	879					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	64184	1048	157	841	1878	529	80	168	2089	432	271	295	305	939	458	947	1290	1174	947	394	1482	981	176	1846	2092	2050	1983	1796	1072	1375	1014	799	518	1478	1855	1652	429	824	242	376	2100	2276	578	382	1380	927	1075	2787	164	248	477	571	1803	493	755	210	218	160	220	2046	236	231	2545	1074	489	114	1187	371	785					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2007	64	33	23	90	12	0	0	69	22	28	45	7	10	6	13	10	26	2	0	48	12	8	49	33	34	33	52	32	40	230	345	24	18	17	17	6	49	23	1	12	14	12	8	23	19	38	56	3	24	12	20	31	7	10	7	1	0	7	35	9	4	11	26	15	0	25	7	40					
6	Число погашенных избирательных бюллетеней	9373	119	3	143	418	80	25	33	395	113	34	33	50	88	13	59	300	201	120	74	298	181	20	522	400	313	418	617	209	123	43	289	19	205	244	145	73	281	65	21	223	300	81	28	217	150	57	23	3	51	113	159	115	56	54	25	27	27	31	148	12	45	200	96	4	0	277	10	54					
