Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Тюмень, Центральная"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973					
1	"Число избирателей, внесенных в список"	111403	2656	1562	2184	2441	2598	2460	2074	1474	917	903	813	1864	2278	1557	1061	1279	838	1257	2213	2116	2059	2234	1917	2292	1200	990	998	1040	1548	1967	2176	1808	1806	2403	1985	1347	1638	2312	1410	1967	2026	2274	2289	2004	1836	1503	2071	1910	1566	1662	1899	1833	1687	2126	1242	1778	2198	1627	2020	1535	1471	1639	1381	184					
2	Число полученных избирательных бюллетеней	109983	2657	1544	2175	2468	2574	2465	2034	1476	885	872	805	1839	2271	1555	941	1230	805	1324	2224	2116	2050	2231	1926	2293	1172	963	980	1029	1605	1925	2191	1809	1809	2161	2004	1348	1634	2287	1373	1949	2035	2282	2307	1995	1747	1507	2067	1894	1511	1656	1877	1816	1658	2092	1169	1795	2193	1612	1986	1511	1304	1596	1174	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	79295	1877	1094	1539	1819	1676	1923	1281	973	673	711	548	1269	1525	848	677	692	543	893	1659	1521	1504	1642	1478	1679	655	604	607	600	889	1433	1602	1334	1329	1580	1435	887	1213	1756	978	1442	1461	1632	1683	1472	1381	1105	1528	1438	1198	1261	1380	1329	1224	1580	963	1378	1630	1233	1435	1143	1157	1259	1032	5					
5	"Число избирательных бюллетеней, выданных вне помещения"	1751	25	32	39	32	35	15	21	26	16	21	21	22	32	17	13	49	19	17	29	10	8	22	11	17	34	18	9	33	25	17	53	18	27	26	30	18	24	16	19	24	11	16	25	50	23	15	28	35	14	21	23	25	14	28	36	54	38	17	38	7	56	33	25	179					
6	Число погашенных избирательных бюллетеней	28937	755	418	597	617	863	527	732	477	196	140	236	548	714	690	251	489	243	414	536	585	538	567	437	597	483	341	364	396	691	475	536	457	453	555	539	443	397	515	376	483	563	634	599	473	343	387	511	421	299	374	474	462	420	484	170	363	525	362	513	361	91	304	117	16					
7	Число избирательных бюллетеней в переносных ящиках	1751	25	32	39	32	35	15	21	26	16	21	21	22	32	17	13	49	19	17	29	10	8	22	11	17	34	18	9	33	25	17	53	18	27	26	30	18	24	16	19	24	11	16	25	50	23	15	28	35	14	21	23	25	14	28	36	54	38	17	38	7	56	33	25	179					
8	Число бюллетеней в стационарных ящиках для голосования	79214	1877	1094	1537	1819	1676	1923	1281	971	671	711	547	1269	1523	848	677	692	543	893	1659	1521	1502	1642	1478	1678	655	603	607	600	889	1433	1549	1332	1329	1580	1435	887	1211	1756	978	1442	1461	1632	1683	1472	1381	1105	1526	1438	1197	1261	1380	1325	1224	1580	962	1378	1630	1233	1435	1143	1157	1256	1032	5					
9	Число недействительных избирательных бюллетеней	588	18	15	7	15	13	20	20	6	9	15	1	14	15	13	14	6	4	6	7	17	17	14	11	9	14	12	9	6	3	12	0	8	7	8	8	6	3	6	12	8	0	17	12	9	11	6	8	7	4	5	16	12	14	5	2	7	5	3	5	7	5	13	5	2					
10	Число действительных избирательных бюллетеней	80377	1884	1111	1569	1836	1698	1918	1282	991	678	717	567	1277	1540	852	676	735	558	904	1681	1514	1493	1650	1478	1686	675	609	607	627	911	1438	1602	1342	1349	1598	1457	899	1232	1766	985	1458	1472	1631	1696	1513	1393	1114	1546	1466	1207	1277	1387	1338	1224	1603	996	1425	1663	1247	1468	1143	1208	1276	1052	182					
