Выборы Президента Российской Федерации																																																		
Дата голосования: 18.03.2018																																																		
																																																		
Наименование Избирательной комиссии:    Упоровская																																																		
																																																		
Сводная таблица итогов голосования																																																		
																																																		
	Число участковых избирательных комиссий	39																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	39																																																
																																																		
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439									
1	"Число избирателей, включенных в список избирателей"	14982	447	213	141	68	484	111	88	670	214	108	136	88	643	531	126	215	62	170	449	144	127	443	199	119	255	331	480	897	178	463	829	195	171	1548	1464	1410	517	135	113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15063	449	215	142	71	483	112	88	691	214	110	138	98	639	560	139	215	65	173	443	145	129	436	200	117	254	336	477	900	177	462	833	191	174	1533	1462	1400	537	140	115									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12563	348	176	126	63	422	87	46	595	197	98	119	74	556	482	116	191	60	151	405	129	114	342	139	101	225	287	319	790	150	340	731	156	141	1316	1170	1206	387	116	92									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1132	77	27	10	4	35	6	30	42	11	6	12	11	58	24	4	13	0	11	12	4	5	70	47	13	18	24	61	37	8	68	56	27	12	93	59	83	30	14	10									
6	Число погашенных избирательных бюллетеней	1368	24	12	6	4	26	19	12	54	6	6	7	13	25	54	19	11	5	11	26	12	10	24	14	3	11	25	97	73	19	54	46	8	21	124	233	111	120	10	13									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1132	77	27	10	4	35	6	30	42	11	6	12	11	58	24	4	13	0	11	12	4	5	70	47	13	18	24	61	37	8	68	56	27	12	93	59	83	30	14	10									
8	Число бюллетеней в стационарных ящиках для голосования	12563	348	176	126	63	422	87	46	595	197	98	119	74	556	482	116	191	60	151	405	129	114	342	139	101	225	287	319	790	150	340	731	156	141	1316	1170	1206	387	116	92									
9	Число недействительных избирательных бюллетеней	23	0	0	0	0	7	0	0	1	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	13672	425	203	136	67	450	93	76	636	208	104	131	85	609	506	120	204	60	162	414	133	119	412	186	114	242	311	374	827	158	408	787	183	153	1409	1229	1289	417	130	102									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
13	Бабурин Сергей Николаевич	18	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	5	0	0	0	2	0	0	1	2	1	1	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.24%	0.54%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.07%	0.16%	0.08%	0.24%	0.00%	0.00%									
14	Грудинин Павел Николаевич	605	27	12	3	2	36	11	4	13	4	3	8	2	13	16	2	6	1	3	7	4	2	16	7	4	6	10	66	29	5	57	45	2	4	41	34	38	49	8	5									
		4.42%	6.35%	5.91%	2.21%	2.99%	7.88%	11.83%	5.26%	2.04%	1.92%	2.88%	6.11%	2.35%	2.12%	3.16%	1.67%	2.94%	1.67%	1.85%	1.68%	3.01%	1.68%	3.88%	3.76%	3.51%	2.47%	3.22%	17.37%	3.51%	3.16%	13.97%	5.72%	1.09%	2.61%	2.91%	2.77%	2.95%	11.75%	6.15%	4.90%									
15	Жириновский Владимир Вольфович	553	12	11	3	1	17	9	6	19	1	4	1	1	19	15	3	5	1	5	12	6	8	15	6	4	9	12	34	44	10	19	9	8	6	61	54	57	41	3	2									
		4.04%	2.82%	5.42%	2.21%	1.49%	3.72%	9.68%	7.89%	2.98%	0.48%	3.85%	0.76%	1.18%	3.09%	2.96%	2.50%	2.45%	1.67%	3.09%	2.88%	4.51%	6.72%	3.64%	3.23%	3.51%	3.70%	3.86%	8.95%	5.32%	6.33%	4.66%	1.14%	4.37%	3.92%	4.33%	4.39%	4.42%	9.83%	2.31%	1.96%									
16	Путин Владимир Владимирович	12392	386	180	130	64	394	69	63	599	203	97	121	82	570	471	114	190	58	151	389	122	107	379	171	105	223	289	259	754	143	331	725	173	139	1301	1130	1185	313	118	94									
		90.49%	90.82%	88.67%	95.59%	95.52%	86.21%	74.19%	82.89%	94.03%	97.60%	93.27%	92.37%	96.47%	92.83%	93.08%	95.00%	93.14%	96.67%	93.21%	93.29%	91.73%	89.92%	91.99%	91.94%	92.11%	91.77%	92.93%	68.16%	91.17%	90.51%	81.13%	92.12%	94.54%	90.85%	92.33%	91.94%	91.93%	75.06%	90.77%	92.16%									
17	Собчак Ксения Анатольевна	33	0	0	0	0	1	3	0	1	0	0	1	0	3	0	0	1	0	2	2	0	0	1	0	1	2	0	6	0	0	1	2	0	2	1	2	0	1	0	0									
		0.24%	0.00%	0.00%	0.00%	0.00%	0.22%	3.23%	0.00%	0.16%	0.00%	0.00%	0.76%	0.00%	0.49%	0.00%	0.00%	0.49%	0.00%	1.23%	0.48%	0.00%	0.00%	0.24%	0.00%	0.88%	0.82%	0.00%	1.58%	0.00%	0.00%	0.25%	0.25%	0.00%	1.31%	0.07%	0.16%	0.00%	0.24%	0.00%	0.00%									
18	Сурайкин Максим Александрович	31	0	0	0	0	1	1	0	1	0	0	0	0	4	1	1	1	0	0	1	1	2	0	1	0	1	0	2	0	0	0	2	0	0	1	3	1	5	0	1									
		0.23%	0.00%	0.00%	0.00%	0.00%	0.22%	1.08%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.65%	0.20%	0.83%	0.49%	0.00%	0.00%	0.24%	0.75%	1.68%	0.00%	0.54%	0.00%	0.41%	0.00%	0.53%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.07%	0.24%	0.08%	1.20%	0.00%	0.98%									
19	Титов Борис Юрьевич	21	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	3	4	0	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.95%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	1.31%	0.07%	0.24%	0.23%	0.96%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	19	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	2	1	4	3	1	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.49%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.53%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.14%	0.08%	0.31%	0.72%	0.77%	0.00%									
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
