Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Балезинская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156					
1	"Число избирателей, внесенных в список"	28163	1316	1030	1673	919	1640	1058	945	792	1627	370	474	282	441	115	674	112	452	172	179	406	358	127	397	120	247	457	377	596	403	225	457	397	134	431	207	412	143	287	409	352	747	559	295	296	216	465	167	1835	170	80	173	108	834	738	90	177					
2	Число полученных избирательных бюллетеней	27604	1200	1000	1500	900	1500	1000	1200	800	1500	360	450	280	500	120	650	120	420	180	185	400	350	135	390	123	250	500	350	600	400	230	450	390	140	420	210	400	145	280	400	355	700	570	300	300	220	450	167	1830	180	85	180	117	700	750	90	182					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21234	799	616	1138	534	1098	705	922	522	962	324	413	236	430	109	566	98	340	153	137	320	273	119	319	103	241	359	244	384	265	131	382	321	124	392	194	348	116	248	358	235	636	455	203	256	156	361	115	1786	131	70	147	87	556	465	88	144					
5	"Число избирательных бюллетеней, выданных вне помещения"	1544	16	22	24	30	30	8	23	21	12	32	17	20	11	0	13	0	37	9	10	33	35	1	51	9	0	34	55	122	90	50	44	30	0	28	8	12	14	23	38	98	42	61	69	16	48	44	31	28	38	5	14	4	4	10	0	20					
6	Число погашенных избирательных бюллетеней	4826	385	362	338	336	372	287	255	257	526	4	20	24	59	11	71	22	43	18	38	47	42	15	20	11	9	107	51	94	45	49	24	39	16	0	8	40	15	9	4	22	22	54	28	28	16	45	21	16	11	10	19	26	140	275	2	18					
7	Число избирательных бюллетеней в переносных ящиках	1544	16	22	24	30	30	8	23	21	12	32	17	20	11	0	13	0	37	9	10	33	35	1	51	9	0	34	55	122	90	50	44	30	0	28	8	12	14	23	38	98	42	61	69	16	48	44	31	28	38	5	14	4	4	10	0	20					
8	Число бюллетеней в стационарных ящиках для голосования	21233	799	616	1138	534	1097	705	922	522	962	324	413	236	430	109	566	98	340	153	137	320	273	119	319	103	241	359	244	384	265	131	382	321	124	392	194	348	116	248	358	235	636	455	203	256	156	361	115	1786	131	70	147	87	556	465	88	144					
9	Число недействительных избирательных бюллетеней	196	14	4	21	3	21	6	3	6	13	3	2	4	1	0	10	0	0	3	0	1	3	0	1	0	2	3	1	3	2	2	2	0	3	5	3	2	0	0	7	2	6	5	1	0	0	1	0	4	8	2	2	4	0	7	0	0					
10	Число действительных избирательных бюллетеней	22581	801	634	1141	561	1106	707	942	537	961	353	428	252	440	109	569	98	377	159	147	352	305	120	369	112	239	390	298	503	353	179	424	351	121	415	199	358	130	271	389	331	672	511	271	272	204	404	146	1810	161	73	159	87	560	468	88	164					
11	Число полученных открепительных  удостоверений	419	17	10	16	4	11	7	7	1	11	24	15	10	9	0	7	0	5	3	1	5	3	0	10	1	2	29	1	27	10	11	21	2	0	5	4	14	2	1	6	19	8	6	2	4	3	20	1	24	0	0	3	0	10	4	1	2					
12	Число выданных открепительных удостоверений	390	17	8	12	4	9	7	7	1	11	22	15	10	9	0	7	0	5	2	1	5	3	0	10	1	2	29	1	22	7	11	21	2	0	5	4	11	2	1	5	19	8	6	2	3	2	20	1	22	0	0	3	0	8	4	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	319	19	25	19	9	20	6	11	0	16	18	8	4	6	0	8	1	9	5	0	3	5	0	6	3	0	3	4	2	3	5	6	9	3	5	2	4	2	1	0	1	8	0	2	3	1	3	0	9	16	4	2	2	9	6	2	1					
14	Число неиспользованных открепительных удостоверений	29	0	2	4	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	2	0	0	0					
