Выборы Президента Российской Федерации																																																										
Дата голосования: 02.03.2008																																																										
																																																										
Наименование Избирательной комиссии:    Воткинская городская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
	Число участковых избирательных комиссий	51																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	51																																																								
																																																										
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651					
1	"Число избирателей, включенных в списки избирателей"	78421	1489	1527	1546	1734	1743	1330	1764	1768	1229	2026	1804	1819	1429	1644	1702	1451	1323	1769	1711	1602	1647	1670	1863	1672	1834	1591	1382	1829	2049	1183	1885	1421	1822	1677	1461	1530	1463	1680	1477	862	311	329	1533	1470	1761	1448	1902	1526	1482	1742	509					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76000	1400	1500	1500	1700	1700	1300	1700	1700	1200	2000	1800	1800	1400	1600	1700	1400	1300	1700	1700	1600	1600	1600	1700	1600	1800	1500	1300	1800	2000	1100	1800	1400	1800	1600	1400	1500	1400	1600	1400	800	300	300	1500	1400	1700	1400	1900	1500	1400	1700	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	44742	924	948	849	1001	1058	781	1129	1057	729	1003	1048	995	899	1087	1108	659	637	854	1050	1031	972	862	1053	942	1073	886	880	1122	1184	678	1117	916	1044	940	838	921	959	945	852	525	193	198	1013	857	823	696	801	766	749	805	285					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1525	97	68	40	25	40	37	18	23	11	45	16	18	58	13	77	33	25	31	16	16	25	28	33	43	37	10	19	21	29	25	32	18	27	26	24	17	9	16	19	16	3	3	20	22	37	31	66	36	72	48	6					
6	Число погашенных избирательных бюллетеней	29733	379	484	611	674	602	482	553	620	460	952	736	787	443	500	515	708	638	815	634	553	603	710	614	615	690	604	401	657	787	397	651	466	729	634	538	562	432	639	529	259	104	99	467	521	840	673	1033	698	579	847	209					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1525	97	68	40	25	40	37	18	23	11	45	16	18	58	13	77	33	25	31	16	16	25	28	33	43	37	10	19	21	29	25	32	18	27	26	24	17	9	16	19	16	3	3	20	22	37	31	66	36	72	48	6					
8	Число бюллетеней в стационарных ящиках для голосования	44735	924	948	848	1001	1058	781	1129	1057	729	1002	1048	995	899	1087	1108	659	637	854	1050	1029	972	862	1053	942	1073	886	880	1122	1184	678	1117	915	1044	940	838	921	959	944	852	525	193	198	1013	856	823	696	801	766	749	805	285					
9	Число недействительных избирательных бюллетеней	524	16	11	9	7	14	11	14	13	6	11	10	19	10	15	16	10	3	3	16	13	7	11	13	8	12	6	6	15	12	5	7	15	14	7	10	12	15	15	10	9	3	3	4	11	12	1	13	8	16	12	5					
10	Число действительных избирательных бюллетеней	45736	1005	1005	879	1019	1084	807	1133	1067	734	1036	1054	994	947	1085	1169	682	659	882	1050	1032	990	879	1073	977	1098	890	893	1128	1201	698	1142	918	1057	959	852	926	953	945	861	532	193	198	1029	867	848	726	854	794	805	841	286					
11	Число полученных открепительных  удостоверений	750	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	10	10	15	15	15	15	15	15	15	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	208	5	6	5	2	5	1	8	3	4	8	6	8	7	4	7	8	0	4	7	8	6	6	2	1	3	5	4	6	2	5	4	2	5	3	3	3	3	5	3	3	5	0	4	2	5	1	6	0	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	238	11	4	4	1	7	8	3	8	6	15	4	6	4	9	2	4	7	8	14	9	3	4	3	0	0	7	5	3	2	4	7	6	3	4	4	3	5	8	3	6	2	1	2	2	2	7	2	4	2	0	0					
14	Число неиспользованных открепительных удостоверений	542	10	9	10	13	10	14	7	12	11	7	9	7	8	11	8	7	15	11	8	7	9	9	13	14	12	10	11	9	13	10	11	13	10	12	12	12	12	10	12	12	5	10	11	13	10	14	9	15	12	14	9					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	16	0	1	0	2	0	0	0	0	0	1	0	1	2	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	Богданов Андрей Владимирович	617	17	14	9	18	17	10	18	13	11	19	15	15	16	16	23	7	13	16	7	10	7	12	12	14	19	11	13	18	18	6	14	10	22	9	9	9	15	10	7	7	3	8	12	7	9	11	6	9	9	15	2					
		1.33%	1.67%	1.38%	1.01%	1.75%	1.55%	1.22%	1.57%	1.20%	1.49%	1.81%	1.41%	1.48%	1.67%	1.45%	1.94%	1.01%	1.96%	1.81%	0.66%	0.96%	0.70%	1.35%	1.10%	1.42%	1.71%	1.23%	1.45%	1.57%	1.48%	0.85%	1.22%	1.07%	2.05%	0.93%	1.04%	0.96%	1.55%	1.04%	0.80%	1.29%	1.53%	3.98%	1.16%	0.80%	1.05%	1.51%	0.69%	1.12%	1.10%	1.76%	0.69%					
