Выборы Президента Российской Федерации																																																														
Дата голосования: 18.03.2018																																																														
																																																														
Наименование Избирательной комиссии:    Воткинская городская																																																														
																																																														
Сводная таблица итогов голосования																																																														
																																																														
	Число участковых избирательных комиссий	51																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	51																																																												
																																																														
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651									
1	"Число избирателей, включенных в список избирателей"	72368	1285	1344	1372	1501	1568	1176	1741	1471	1127	1932	1712	1551	1211	1401	1504	1530	1440	1631	1884	1403	1475	1588	1797	1367	1552	1298	1176	1493	1875	1039	1582	1206	1503	1380	1216	1273	1622	1550	1284	772	324	420	1377	1368	1859	1812	1725	1558	1594	1886	613									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70600	1200	1300	1300	1500	1600	1100	1700	1400	1100	1900	1700	1500	1200	1400	1500	1500	1400	1600	1800	1400	1400	1600	1700	1300	1500	1300	1100	1500	1900	1000	1600	1200	1500	1300	1200	1200	1600	1500	1300	700	300	400	1400	1300	1800	1800	1700	1500	1500	1800	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44813	818	867	762	945	983	725	1215	972	706	1102	1094	874	813	988	1048	907	852	963	1358	997	1014	958	1035	871	972	761	786	960	1173	615	1037	842	999	835	764	684	1051	888	779	490	187	277	907	865	988	978	899	882	937	1037	353									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1239	62	32	47	43	29	37	13	20	17	24	14	23	32	19	33	19	13	36	13	6	11	18	30	31	42	22	13	28	17	16	20	26	19	28	22	20	15	14	22	11	9	6	14	30	31	24	51	40	37	25	15									
6	Число погашенных избирательных бюллетеней	24548	320	401	491	512	588	338	472	408	377	774	592	603	355	393	419	574	535	601	429	397	375	624	635	398	486	517	301	512	710	369	543	332	482	437	414	496	534	598	499	199	104	117	479	405	781	798	750	578	526	738	232									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1239	62	32	47	43	29	37	13	20	17	24	14	23	32	19	33	19	13	36	13	6	11	18	30	31	42	22	13	28	17	16	20	26	19	28	22	20	15	14	22	11	9	6	14	30	31	24	51	40	37	25	15									
8	Число бюллетеней в стационарных ящиках для голосования	44803	817	867	762	945	983	724	1214	972	706	1102	1094	873	813	987	1048	907	852	963	1357	995	1014	958	1033	871	972	761	786	960	1173	615	1037	842	999	835	764	684	1051	888	779	490	187	277	907	865	988	978	899	882	937	1037	353									
9	Число недействительных избирательных бюллетеней	564	12	10	10	8	14	14	15	13	9	20	15	9	10	9	10	9	13	11	16	7	12	12	20	8	12	13	5	9	8	6	14	24	12	17	7	7	14	10	9	8	0	3	14	3	10	12	15	20	10	10	6									
10	Число действительных избирательных бюллетеней	45478	867	889	799	980	998	747	1212	979	714	1106	1093	887	835	997	1071	917	852	988	1354	994	1013	964	1043	894	1002	770	794	979	1182	625	1043	844	1006	846	779	697	1052	892	792	493	196	280	907	892	1009	990	935	902	964	1052	362									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
13	Бабурин Сергей Николаевич	283	8	8	4	6	6	6	7	7	3	4	13	7	5	5	9	5	5	9	8	5	7	6	5	7	5	3	5	5	4	3	11	4	6	4	2	2	11	4	9	5	1	1	5	8	4	7	4	3	7	3	2									
		0.61%	0.91%	0.89%	0.49%	0.61%	0.59%	0.79%	0.57%	0.71%	0.41%	0.36%	1.17%	0.78%	0.59%	0.50%	0.83%	0.54%	0.58%	0.90%	0.58%	0.50%	0.68%	0.61%	0.47%	0.78%	0.49%	0.38%	0.63%	0.51%	0.34%	0.48%	1.04%	0.46%	0.59%	0.46%	0.25%	0.28%	1.03%	0.44%	1.12%	0.99%	0.51%	0.35%	0.54%	0.89%	0.39%	0.70%	0.42%	0.33%	0.72%	0.28%	0.54%									
14	Грудинин Павел Николаевич	3990	61	85	84	100	85	71	133	96	56	108	89	70	100	90	115	97	72	99	125	80	97	69	63	79	88	61	80	88	98	59	114	69	72	91	74	37	90	78	49	38	9	29	71	70	87	80	68	67	85	82	32									
		8.67%	6.94%	9.45%	10.38%	10.12%	8.40%	9.33%	10.84%	9.68%	7.75%	9.59%	8.03%	7.81%	11.83%	8.95%	10.64%	10.48%	8.32%	9.91%	9.12%	7.99%	9.46%	7.07%	5.93%	8.76%	8.68%	7.79%	10.01%	8.91%	8.24%	9.35%	10.79%	7.95%	7.07%	10.54%	9.41%	5.26%	8.44%	8.65%	6.12%	7.58%	4.59%	10.25%	7.71%	7.82%	8.54%	7.98%	7.16%	7.27%	8.73%	7.72%	8.70%									
15	Жириновский Владимир Вольфович	2763	51	55	48	64	65	43	59	37	41	86	68	61	25	46	53	82	49	59	57	55	57	53	81	38	59	55	57	74	62	29	68	54	47	42	46	58	75	68	56	37	14	16	46	75	66	56	64	62	56	69	19									
		6.00%	5.80%	6.12%	5.93%	6.48%	6.42%	5.65%	4.81%	3.73%	5.67%	7.64%	6.14%	6.81%	2.96%	4.57%	4.90%	8.86%	5.66%	5.91%	4.16%	5.49%	5.56%	5.43%	7.62%	4.21%	5.82%	7.02%	7.13%	7.49%	5.21%	4.60%	6.43%	6.22%	4.62%	4.87%	5.85%	8.24%	7.04%	7.54%	6.99%	7.39%	7.14%	5.65%	4.99%	8.38%	6.48%	5.59%	6.74%	6.72%	5.75%	6.50%	5.16%									
16	Путин Владимир Владимирович	37072	718	713	637	781	800	608	955	808	588	873	895	729	675	830	862	706	698	796	1135	814	821	814	868	745	823	633	631	784	974	513	820	698	850	683	638	580	840	714	648	401	166	220	744	721	826	817	779	739	795	864	302									
