Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Воткинская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327					
1	"Число избирателей, внесенных в список"	16040	459	422	671	349	383	1437	708	1694	566	368	623	343	848	546	365	405	112	1174	284	549	1052	154	884	230	741	293	380					
2	Число полученных избирательных бюллетеней	14766	440	370	605	330	355	1345	682	1580	550	320	530	300	790	506	330	390	133	1075	258	515	920	157	825	211	654	253	342					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11068	378	247	489	221	313	1033	463	1134	408	234	458	177	657	431	208	302	82	726	198	394	741	102	569	153	488	200	262					
5	"Число избирательных бюллетеней, выданных вне помещения"	1009	32	101	62	34	8	20	29	33	25	14	27	71	13	12	76	28	15	80	12	46	40	11	119	19	46	13	23					
6	Число погашенных избирательных бюллетеней	2689	30	22	54	75	34	292	190	413	117	72	45	52	120	63	46	60	36	269	48	75	139	44	137	39	120	40	57					
7	Число избирательных бюллетеней в переносных ящиках	1009	32	101	62	34	8	20	29	33	25	14	27	71	13	12	76	28	15	80	12	46	40	11	119	19	46	13	23					
8	Число бюллетеней в стационарных ящиках для голосования	11067	378	247	489	221	312	1033	463	1134	408	234	458	177	657	431	208	302	82	726	198	394	741	102	569	153	488	200	262					
9	Число недействительных избирательных бюллетеней	152	2	2	5	3	2	8	5	15	9	3	2	3	5	14	4	6	5	11	3	8	16	1	4	3	7	4	2					
10	Число действительных избирательных бюллетеней	11924	408	346	546	252	318	1045	487	1152	424	245	483	245	665	429	280	324	92	795	207	432	765	112	684	169	527	209	283					
11	Число полученных открепительных  удостоверений	695	34	10	45	25	20	55	45	60	50	5	15	5	45	30	20	44	30	40	10	30	15	5	30	10	9	4	4					
12	Число выданных открепительных удостоверений	626	30	2	19	11	15	55	45	60	48	1	15	5	45	30	20	44	30	36	10	30	15	5	30	10	8	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	259	28	7	16	1	6	13	14	20	7	6	8	4	19	13	13	11	11	17	10	6	5	3	3	6	5	4	3					
14	Число неиспользованных открепительных удостоверений	69	4	8	26	14	5	0	0	0	2	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	382	10	5	14	2	9	46	18	64	9	10	14	6	30	23	10	10	3	36	2	10	23	3	6	5	7	4	3					
		3.16%	2.44%	1.44%	2.54%	0.78%	2.81%	4.37%	3.66%	5.48%	2.08%	4.03%	2.89%	2.42%	4.48%	5.19%	3.52%	3.03%	3.09%	4.47%	0.95%	2.27%	2.94%	2.65%	0.87%	2.91%	1.31%	1.88%	1.05%					
19	. Малышкин Олег Александрович	365	8	8	7	11	15	41	20	56	17	10	13	7	22	11	10	10	3	25	8	5	10	3	12	3	14	12	4					
		3.02%	1.95%	2.30%	1.27%	4.31%	4.69%	3.89%	4.07%	4.80%	3.93%	4.03%	2.68%	2.82%	3.28%	2.48%	3.52%	3.03%	3.09%	3.10%	3.81%	1.14%	1.28%	2.65%	1.74%	1.74%	2.62%	5.63%	1.40%					
20	. Миронов Сергей Михайлович	82	4	2	3	1	3	4	4	12	2	2	4	7	3	5	1	0	0	11	2	3	3	0	4	1	0	1	0					
		0.68%	0.98%	0.57%	0.54%	0.39%	0.94%	0.38%	0.81%	1.03%	0.46%	0.81%	0.82%	2.82%	0.45%	1.13%	0.35%	0.00%	0.00%	1.36%	0.95%	0.68%	0.38%	0.00%	0.58%	0.58%	0.00%	0.47%	0.00%					
21	. Путин Владимир Владимирович	9506	346	288	446	211	256	775	371	823	326	191	394	182	538	331	236	268	79	604	168	370	624	99	590	147	426	173	244					
