Выборы Президента Российской Федерации																																																																			
Дата голосования: 04.03.2012																																																																			
																																																																			
Наименование Избирательной комиссии:    Завьяловская																																																																			
																																																																			
Сводная таблица итогов голосования																																																																			
																																																																			
	Число участковых избирательных комиссий	56																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	56																																																																	
																																																																			
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756									
1	Число избирателей, включенных в список избирателей	48143	1569	420	255	84	272	982	340	174	154	2275	2344	1424	1872	1451	667	1022	1414	669	369	1279	1299	271	202	282	221	638	624	255	885	223	1467	1394	2194	571	2427	835	251	1254	198	182	408	917	740	689	270	944	296	979	2565	862	801	1313	550	257	376	1467									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	47950	1500	450	250	100	300	950	350	200	150	2250	2300	1400	1800	1400	700	1000	1400	700	400	1250	1300	300	200	300	200	650	600	250	950	250	1400	1400	2150	600	2400	800	250	1250	200	200	400	950	750	700	300	1000	350	950	2450	850	800	1250	550	250	400	1500									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	30129	916	244	154	52	161	577	210	83	76	1468	1580	899	1185	838	359	631	1069	462	250	765	824	140	105	179	148	353	424	137	558	159	964	908	1507	327	1457	589	187	841	82	106	229	638	464	457	182	551	156	459	1701	501	383	812	300	127	195	1000									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1270	36	9	8	4	8	39	9	30	21	28	36	7	24	27	11	9	2	8	18	51	8	5	10	7	5	20	28	7	26	8	7	16	35	10	79	30	12	48	35	10	21	29	44	23	9	31	35	104	15	14	30	68	17	12	4	23									
6	Число погашенных избирательных бюллетеней	16551	548	197	88	44	131	334	131	87	53	754	684	494	591	535	330	360	329	230	132	434	468	155	85	114	47	277	148	106	366	83	429	476	608	263	864	181	51	361	83	84	150	283	242	220	109	418	159	387	734	335	387	370	233	111	201	477									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1270	36	9	8	4	8	39	9	30	21	28	36	7	24	27	11	9	2	8	18	51	8	5	10	7	5	20	28	7	26	8	7	16	35	10	79	30	12	48	35	10	21	29	44	23	9	31	35	104	15	14	30	68	17	12	4	23									
8	Число бюллетеней в стационарных ящиках для голосования	30121	916	244	154	52	161	577	210	83	76	1468	1580	899	1184	837	359	631	1068	462	250	765	824	140	105	179	148	353	424	137	557	159	964	908	1505	327	1457	589	187	841	82	106	229	638	464	456	182	551	156	459	1700	501	383	812	300	127	195	1000									
9	Число недействительных избирательных бюллетеней	355	10	1	2	0	3	2	2	2	1	19	13	12	15	8	3	7	13	8	1	9	14	2	1	1	3	10	10	0	4	1	8	8	13	5	16	10	1	3	4	0	1	10	8	5	2	7	1	12	16	5	8	16	2	2	4	11									
10	Число действительных избирательных бюллетеней	31036	942	252	160	56	166	614	217	111	96	1477	1603	894	1193	856	367	633	1057	462	267	807	818	143	114	185	150	363	442	144	579	166	963	916	1527	332	1520	609	198	886	113	116	249	657	500	474	189	575	190	551	1699	510	405	864	315	137	195	1012									
11	Число полученных открепительных  удостоверений	901	20	10	5	5	5	20	10	10	5	25	30	30	10	10	5	23	30	16	5	20	15	5	5	8	5	15	30	9	45	10	28	20	35	10	33	15	5	20	8	8	5	30	20	20	14	25	24	35	20	10	10	20	15	5	15	10									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	691	17	7	1	4	3	16	8	5	0	17	29	19	9	10	3	21	17	10	3	13	12	1	0	7	0	10	21	6	40	7	25	16	28	8	31	14	0	20	4	5	1	29	20	9	14	25	23	30	15	10	6	12	10	1	9	10									
13	Число избирателей, проголосовавших по открепительным удостоверениям	610	15	3	2	1	2	16	12	6	7	17	27	11	15	13	4	8	15	1	7	18	14	4	2	3	5	11	23	16	13	7	15	9	20	2	10	13	9	16	5	6	4	15	14	16	8	11	3	10	48	14	9	27	11	4	3	10									
14	Число неиспользованных открепительных удостоверений	210	3	3	4	1	2	4	2	5	5	8	1	11	1	0	2	2	13	6	2	7	3	4	5	1	5	5	9	3	5	3	3	4	7	2	2	1	5	0	4	3	4	1	0	11	0	0	1	5	5	0	4	8	5	4	6	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	6	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	Жириновский Владимир Вольфович	2318	59	36	10	7	9	73	10	10	8	104	104	80	70	74	27	48	69	29	19	55	68	5	6	7	7	26	25	11	63	12	83	80	139	26	119	36	14	52	8	5	16	38	36	37	4	36	15	31	141	33	30	88	26	9	22	63									
		7.38%	6.20%	14.23%	6.17%	12.50%	5.33%	11.85%	4.57%	8.85%	8.25%	6.95%	6.44%	8.83%	5.79%	8.56%	7.30%	7.50%	6.45%	6.17%	7.09%	6.74%	8.17%	3.45%	5.22%	3.76%	4.58%	6.97%	5.53%	7.64%	10.81%	7.19%	8.55%	8.66%	9.03%	7.72%	7.75%	5.82%	7.04%	5.85%	6.84%	4.31%	6.40%	5.70%	7.09%	7.72%	2.09%	6.19%	7.85%	5.51%	8.22%	6.41%	7.26%	10.00%	8.20%	6.47%	11.06%	6.16%									
20	Зюганов Геннадий Андреевич	4139	138	49	30	2	20	93	21	12	6	198	298	145	213	160	42	111	126	47	44	97	89	22	8	28	15	25	57	16	49	9	130	168	227	34	216	130	21	78	13	11	13	90	59	46	33	69	22	46	214	40	33	105	33	21	19	98									
		13.19%	14.50%	19.37%	18.52%	3.57%	11.83%	15.10%	9.59%	10.62%	6.19%	13.24%	18.44%	16.00%	17.63%	18.52%	11.35%	17.34%	11.78%	10.00%	16.42%	11.89%	10.70%	15.17%	6.96%	15.05%	9.80%	6.70%	12.61%	11.11%	8.40%	5.39%	13.39%	18.18%	14.74%	10.09%	14.06%	21.00%	10.55%	8.77%	11.11%	9.48%	5.20%	13.49%	11.61%	9.60%	17.28%	11.86%	11.52%	8.17%	12.48%	7.77%	7.99%	11.93%	10.41%	15.11%	9.55%	9.58%									
21	Миронов Сергей Михайлович	1036	33	7	9	0	7	21	6	0	3	50	54	39	46	24	6	26	35	19	2	17	24	5	4	5	3	10	24	4	16	1	36	47	68	4	49	12	3	23	1	3	3	21	21	11	7	11	6	19	102	6	9	25	1	2	4	42									
		3.30%	3.47%	2.77%	5.56%	0.00%	4.14%	3.41%	2.74%	0.00%	3.09%	3.34%	3.34%	4.30%	3.81%	2.78%	1.62%	4.06%	3.27%	4.04%	0.75%	2.08%	2.88%	3.45%	3.48%	2.69%	1.96%	2.68%	5.31%	2.78%	2.74%	0.60%	3.71%	5.09%	4.42%	1.19%	3.19%	1.94%	1.51%	2.59%	0.85%	2.59%	1.20%	3.15%	4.13%	2.30%	3.66%	1.89%	3.14%	3.37%	5.95%	1.17%	2.18%	2.84%	0.32%	1.44%	2.01%	4.11%									
22	Прохоров Михаил Дмитриевич	2402	59	6	6	5	5	39	19	3	3	128	192	87	96	62	24	66	78	40	12	65	59	7	8	9	10	15	27	12	40	8	123	96	148	23	133	40	8	44	6	7	5	36	28	14	13	38	3	37	148	31	20	91	30	20	6	64									
		7.65%	6.20%	2.37%	3.70%	8.93%	2.96%	6.33%	8.68%	2.65%	3.09%	8.56%	11.88%	9.60%	7.95%	7.18%	6.49%	10.31%	7.29%	8.51%	4.48%	7.97%	7.09%	4.83%	6.96%	4.84%	6.54%	4.02%	5.97%	8.33%	6.86%	4.79%	12.67%	10.39%	9.61%	6.82%	8.66%	6.46%	4.02%	4.95%	5.13%	6.03%	2.00%	5.40%	5.51%	2.92%	6.81%	6.53%	1.57%	6.57%	8.63%	6.02%	4.84%	10.34%	9.46%	14.39%	3.02%	6.26%									
23	Путин Владимир Владимирович	21141	653	154	105	42	125	388	161	86	76	997	955	543	768	536	268	382	749	327	190	573	578	104	88	136	115	287	309	101	411	136	591	525	945	245	1003	391	152	689	85	90	212	472	356	366	132	421	144	418	1094	400	313	555	225	85	144	745									
		67.35%	68.59%	60.87%	64.81%	75.00%	73.96%	62.99%	73.52%	76.11%	78.35%	66.64%	59.10%	59.93%	63.58%	62.04%	72.43%	59.69%	70.00%	69.57%	70.90%	70.22%	69.47%	71.72%	76.52%	73.12%	75.16%	76.94%	68.36%	70.14%	70.50%	81.44%	60.87%	56.82%	61.36%	72.70%	65.30%	63.17%	76.38%	77.50%	72.65%	77.59%	84.80%	70.76%	70.08%	76.41%	69.11%	72.34%	75.39%	74.25%	63.79%	77.67%	75.79%	63.07%	70.98%	61.15%	72.36%	72.83%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
