Выборы Президента Российской Федерации																																																																
Дата голосования: 04.03.2012																																																																
																																																																
Наименование Избирательной комиссии:    Ижевск, Ленинская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	Число участковых избирательных комиссий, приступивших к передаче сведений	53																																																														
																																																																
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253									
1	Число избирателей, включенных в список избирателей	97479	1455	2102	1911	1811	2648	1154	2441	1556	2183	2095	2757	2271	2874	2022	2742	2030	1313	1936	1612	2404	2185	2146	1996	1839	1343	2211	2681	2150	2027	1296	92	2647	2374	2012	1374	1814	2244	2155	121	134	1765	909	318	1995	2366	2365	1886	2465	1117	2226	1166	770	1973									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	86275	1300	1800	1700	1600	2400	1000	2200	1300	1900	1800	2400	2000	2600	1800	2500	1800	1100	1700	1400	2100	1900	1900	1800	1600	1200	2000	2400	1900	1800	1100	92	2300	2100	1800	1200	1600	2000	1900	119	154	1500	800	310	1800	2100	2100	1700	2200	1000	2000	1000	700	1800									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	56127	938	1130	1055	928	1425	706	1379	829	1168	1149	1550	1221	1525	1123	1453	1086	739	1230	1011	1360	1225	1389	1076	1216	871	1378	1718	1291	1169	796	92	1244	1271	1154	672	991	1390	1241	119	84	1157	434	212	1166	1513	1577	1199	1251	610	1303	731	412	1170									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1273	6	14	32	22	30	4	31	20	27	66	48	32	21	32	25	35	51	21	9	25	24	14	7	12	13	8	29	20	19	13	0	18	22	29	21	38	15	22	0	50	18	15	98	18	30	21	16	25	18	48	12	12	17									
6	Число погашенных избирательных бюллетеней	28875	356	656	613	650	945	290	790	451	705	585	802	747	1054	645	1022	679	310	449	380	715	651	497	717	372	316	614	653	589	612	291	0	1038	807	617	507	571	595	637	0	20	325	351	0	616	557	502	485	924	372	649	257	276	613									
