Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Сарапульская городская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
1	"Число избирателей, внесенных в список"	80187	1793	1913	940	1872	1109	1118	1544	1649	1904	1239	1338	1944	1803	1584	1743	1535	1374	1704	1464	1768	1580	1191	833	1541	1311	1264	1581	1619	1484	901	1357	920	1820	1913	1755	1458	1860	1836	1737	1660	1833	1574	1794	1841	1868	1901	1869	1177	1450	1204	717	1424	423	153					
2	Число полученных избирательных бюллетеней	74053	1650	1750	850	1700	1000	1000	1400	1500	1750	1150	1200	1800	1650	1450	1600	1400	1300	1650	1350	1650	1450	1100	800	1400	1250	1200	1500	1500	1400	850	1250	850	1700	1750	1600	1300	1700	1700	1600	1550	1700	1500	1650	1700	1750	1750	1750	1100	1300	1100	650	1300	400	153					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47157	992	964	537	1111	599	571	867	1008	937	618	710	1077	1027	998	1061	1049	838	1056	855	1071	895	694	428	910	767	752	925	868	934	486	697	449	1064	962	1069	783	1209	1052	1147	1002	1225	798	1030	1168	1332	1243	1255	736	949	751	419	864	258	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	1203	24	29	37	95	16	17	22	35	35	14	24	23	21	26	44	17	22	37	17	45	15	7	7	18	8	14	15	9	12	7	8	7	25	4	21	17	27	21	7	47	24	29	28	20	29	25	6	13	39	15	19	30	30	0					
6	Число погашенных избирательных бюллетеней	25693	634	757	276	494	385	412	511	457	778	518	466	700	602	426	495	334	440	557	478	534	540	399	365	472	475	434	560	623	454	357	545	394	611	784	510	500	464	627	446	501	451	673	592	512	389	482	489	351	312	334	212	406	112	63					
7	Число избирательных бюллетеней в переносных ящиках	1203	24	29	37	95	16	17	22	35	35	14	24	23	21	26	44	17	22	37	17	45	15	7	7	18	8	14	15	9	12	7	8	7	25	4	21	17	27	21	7	47	24	29	28	20	29	25	6	13	39	15	19	30	30	0					
8	Число бюллетеней в стационарных ящиках для голосования	47145	992	964	537	1111	599	571	867	1008	937	618	710	1077	1027	998	1061	1049	838	1056	855	1071	895	693	428	910	767	752	925	868	932	486	697	449	1062	962	1069	783	1208	1051	1146	1002	1225	798	1030	1168	1332	1242	1255	736	949	751	419	861	258	90					
9	Число недействительных избирательных бюллетеней	496	17	8	10	41	8	4	17	2	7	9	5	9	7	4	11	5	0	8	17	7	11	7	5	14	10	10	3	9	14	10	16	5	10	15	14	6	4	10	11	7	13	12	13	8	7	5	6	6	3	2	10	18	3	3					
10	Число действительных избирательных бюллетеней	47852	999	985	564	1165	607	584	872	1041	965	623	729	1091	1041	1020	1094	1061	860	1085	855	1109	899	693	430	914	765	756	937	868	930	483	689	451	1077	951	1076	794	1231	1062	1142	1042	1236	815	1045	1180	1354	1262	1255	743	985	764	428	873	285	87					
11	Число полученных открепительных  удостоверений	1250	15	15	15	40	15	15	20	20	15	20	20	50	20	15	20	15	50	20	20	20	20	15	10	15	25	15	20	15	20	15	15	15	20	20	25	15	15	20	20	20	20	15	15	15	20	20	20	150	20	100	10	15	20	15					
12	Число выданных открепительных удостоверений	500	5	12	4	8	4	8	9	8	10	11	11	37	14	7	19	9	13	18	9	11	4	2	2	3	10	8	8	4	10	4	4	6	6	15	14	3	12	16	9	4	13	5	4	11	5	4	8	51	4	11	0	10	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	503	13	8	30	16	10	12	13	9	4	8	22	9	17	6	7	5	17	9	9	8	11	5	2	8	3	3	2	3	7	4	5	10	6	6	9	10	6	9	6	8	10	16	9	10	4	4	7	14	34	24	6	4	3	3					
14	Число неиспользованных открепительных удостоверений	750	10	3	11	32	11	7	11	12	5	9	9	13	6	8	1	6	37	2	11	9	16	13	8	12	15	7	12	11	10	11	11	9	14	5	11	12	3	4	11	16	7	10	11	4	15	16	12	99	16	89	10	5	18	14					
15	"Число открепительных удостоверений, выданных в ТИК"	32	1	1	0	1	1	1	1	2	2	0	1	0	2	1	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	2	1	1	3	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	2349	35	30	18	44	32	32	45	62	31	26	23	66	42	64	48	57	39	59	44	73	65	30	14	44	33	42	52	45	50	17	24	32	43	29	49	29	68	54	72	78	71	46	36	73	80	79	48	41	44	36	15	28	3	9					
		4.86%	3.44%	3.02%	3.14%	3.65%	5.20%	5.44%	5.06%	5.94%	3.19%	4.11%	3.13%	6.00%	4.01%	6.25%	4.34%	5.35%	4.53%	5.40%	5.05%	6.54%	7.14%	4.29%	3.22%	4.74%	4.26%	5.48%	5.53%	5.13%	5.30%	3.45%	3.40%	7.02%	3.96%	3.00%	4.50%	3.62%	5.51%	5.04%	6.24%	7.44%	5.68%	5.56%	3.40%	6.14%	5.88%	6.24%	3.81%	5.47%	4.45%	4.70%	3.42%	3.14%	1.04%	10.00%					
19	. Малышкин Олег Александрович	1709	36	36	15	67	19	33	38	40	30	29	44	25	37	26	33	35	24	41	32	29	22	24	16	23	27	16	25	54	31	38	20	19	34	33	46	51	30	27	30	26	42	26	51	36	36	41	57	36	38	22	12	44	6	1					
		3.53%	3.54%	3.63%	2.61%	5.56%	3.09%	5.61%	4.27%	3.84%	3.09%	4.59%	5.99%	2.27%	3.53%	2.54%	2.99%	3.28%	2.79%	3.75%	3.67%	2.60%	2.42%	3.43%	3.68%	2.48%	3.48%	2.09%	2.66%	6.16%	3.28%	7.71%	2.84%	4.17%	3.13%	3.42%	4.22%	6.38%	2.43%	2.52%	2.60%	2.48%	3.36%	3.14%	4.82%	3.03%	2.65%	3.24%	4.52%	4.81%	3.85%	2.87%	2.74%	4.94%	2.08%	1.11%					
20	. Миронов Сергей Михайлович	485	5	11	4	12	6	10	8	11	8	4	10	7	11	7	15	7	7	12	10	12	6	5	5	7	13	11	9	9	11	3	6	8	13	7	14	13	10	11	11	10	12	7	13	15	16	9	12	7	13	7	2	9	3	1					
		1.00%	0.49%	1.11%	0.70%	1.00%	0.98%	1.70%	0.90%	1.05%	0.82%	0.63%	1.36%	0.64%	1.05%	0.68%	1.36%	0.66%	0.81%	1.10%	1.15%	1.08%	0.66%	0.71%	1.15%	0.75%	1.68%	1.44%	0.96%	1.03%	1.17%	0.61%	0.85%	1.75%	1.20%	0.72%	1.28%	1.62%	0.81%	1.03%	0.95%	0.95%	0.96%	0.85%	1.23%	1.26%	1.18%	0.71%	0.95%	0.93%	1.32%	0.91%	0.46%	1.01%	1.04%	1.11%					
21	. Путин Владимир Владимирович	33946	717	705	430	841	451	407	632	726	733	455	546	783	741	754	791	790	615	767	588	775	661	494	317	648	563	551	650	592	697	339	503	324	768	722	711	550	843	682	756	667	823	571	686	799	924	871	876	525	705	573	338	650	252	68					
		70.21%	70.57%	71.00%	74.91%	69.73%	73.33%	69.22%	71.09%	69.61%	75.41%	71.99%	74.39%	71.18%	70.71%	73.63%	71.58%	74.11%	71.51%	70.17%	67.43%	69.44%	72.64%	70.57%	72.87%	69.83%	72.65%	71.93%	69.15%	67.50%	73.83%	68.76%	71.35%	71.05%	70.65%	74.74%	65.23%	68.75%	68.26%	63.62%	65.57%	63.58%	65.89%	69.04%	64.84%	67.26%	67.89%	68.75%	69.47%	70.09%	71.36%	74.80%	77.17%	72.95%	87.50%	75.56%					
22	. Хакамада Ирина Муцуовна	1624	17	23	12	37	23	12	34	46	28	20	24	57	45	35	50	46	38	38	40	46	24	24	11	33	19	20	43	33	22	10	22	5	39	31	33	17	32	48	57	56	49	36	24	36	53	32	40	23	27	23	10	17	3	1					
		3.36%	1.67%	2.32%	2.09%	3.07%	3.74%	2.04%	3.82%	4.41%	2.88%	3.16%	3.27%	5.18%	4.29%	3.42%	4.52%	4.32%	4.42%	3.48%	4.59%	4.12%	2.64%	3.43%	2.53%	3.56%	2.45%	2.61%	4.57%	3.76%	2.33%	2.03%	3.12%	1.10%	3.59%	3.21%	3.03%	2.12%	2.59%	4.48%	4.94%	5.34%	3.92%	4.35%	2.27%	3.03%	3.89%	2.53%	3.17%	3.07%	2.73%	3.00%	2.28%	1.91%	1.04%	1.11%					
23	. Харитонов Николай Михайлович	6295	160	165	78	122	65	74	84	124	103	69	57	118	133	94	138	93	110	147	118	140	92	85	50	127	84	90	120	116	93	58	92	47	146	99	192	117	208	212	188	172	187	99	213	186	206	179	186	90	121	77	44	107	15	5					
		13.02%	15.75%	16.62%	13.59%	10.12%	10.57%	12.59%	9.45%	11.89%	10.60%	10.92%	7.77%	10.73%	12.69%	9.18%	12.49%	8.72%	12.79%	13.45%	13.53%	12.54%	10.11%	12.14%	11.49%	13.69%	10.84%	11.75%	12.77%	13.23%	9.85%	11.76%	13.05%	10.31%	13.43%	10.25%	17.61%	14.62%	16.84%	19.78%	16.31%	16.40%	14.97%	11.97%	20.13%	15.66%	15.14%	14.13%	14.75%	12.02%	12.25%	10.05%	10.05%	12.01%	5.21%	5.56%					
																																																													
24	Против всех	1444	29	15	7	42	11	16	31	32	32	20	25	35	32	40	19	33	27	21	23	34	29	31	17	32	26	26	38	19	26	18	22	16	34	30	31	17	40	28	28	33	52	30	22	35	39	51	36	21	37	26	7	18	3	2					
		2.99%	2.85%	1.51%	1.22%	3.48%	1.79%	2.72%	3.49%	3.07%	3.29%	3.16%	3.41%	3.18%	3.05%	3.91%	1.72%	3.10%	3.14%	1.92%	2.64%	3.05%	3.19%	4.43%	3.91%	3.45%	3.35%	3.39%	4.04%	2.17%	2.75%	3.65%	3.12%	3.51%	3.13%	3.11%	2.84%	2.12%	3.24%	2.61%	2.43%	3.15%	4.16%	3.63%	2.08%	2.95%	2.87%	4.03%	2.85%	2.80%	3.74%	3.39%	1.60%	2.02%	1.04%	2.22%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
