Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Селтинская 																							
																							
Итоги голосования 																							
																							
		Сумма	УИК  2801	УИК  2802	УИК  2803	УИК  2804	УИК  2805	УИК  2806	УИК  2807	УИК  2808	УИК  2809	УИК  2810	УИК  2811	УИК  2812	УИК  2813	УИК  2814	УИК  2815	УИК  2816					
1	"Число избирателей, внесенных в список"	9922	289	718	560	776	343	273	578	404	342	2366	2237	196	172	86	400	182					
2	Число полученных избирательных бюллетеней	9745	290	700	550	750	350	270	550	400	330	2300	2200	200	180	85	400	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6920	194	488	368	471	255	242	475	309	223	1658	1452	142	121	63	353	106					
5	"Число избирательных бюллетеней, выданных вне помещения"	670	51	51	98	96	32	11	26	29	75	36	57	17	8	7	27	49					
6	Число погашенных избирательных бюллетеней	2155	45	161	84	183	63	17	49	62	32	606	691	41	51	15	20	35					
7	Число избирательных бюллетеней в переносных ящиках	670	51	51	98	96	32	11	26	29	75	36	57	17	8	7	27	49					
8	Число бюллетеней в стационарных ящиках для голосования	6920	194	488	368	471	255	242	475	309	223	1658	1452	142	121	63	353	106					
9	Число недействительных избирательных бюллетеней	92	5	13	5	5	3	3	0	5	4	23	15	1	1	3	5	1					
10	Число действительных избирательных бюллетеней	7498	240	526	461	562	284	250	501	333	294	1671	1494	158	128	67	375	154					
11	Число полученных открепительных  удостоверений	243	10	15	15	20	20	20	18	17	20	29	20	7	0	0	22	10					
12	Число выданных открепительных удостоверений	242	10	15	15	20	19	20	18	17	20	29	20	7	0	0	22	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	0	0	3	1	2	24	1	1	1	6	6	1	0	0	0	1					
14	Число неиспользованных открепительных удостоверений	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	1	0	1	0	0	0	1	1	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	78	0	8	2	7	4	1	2	2	1	27	17	1	0	0	3	3					
		1.03%	0.00%	1.48%	0.43%	1.23%	1.39%	0.40%	0.40%	0.59%	0.34%	1.59%	1.13%	0.63%	0.00%	0.00%	0.79%	1.94%					
19	. Малышкин Олег Александрович	208	11	14	14	11	4	3	15	6	11	51	45	9	1	1	6	6					
		2.74%	4.49%	2.60%	3.00%	1.94%	1.39%	1.19%	2.99%	1.78%	3.69%	3.01%	2.98%	5.66%	0.78%	1.43%	1.58%	3.87%					
20	. Миронов Сергей Михайлович	44	3	0	1	8	6	1	6	2	0	5	3	4	3	1	0	1					
		0.58%	1.22%	0.00%	0.21%	1.41%	2.09%	0.40%	1.20%	0.59%	0.00%	0.30%	0.20%	2.52%	2.33%	1.43%	0.00%	0.65%					
21	. Путин Владимир Владимирович	6328	188	452	375	464	249	223	440	284	249	1377	1279	121	109	56	341	121					
		83.37%	76.73%	83.86%	80.47%	81.83%	86.76%	88.14%	87.82%	84.02%	83.56%	81.29%	84.76%	76.10%	84.50%	80.00%	89.74%	78.06%					
22	. Хакамада Ирина Муцуовна	110	4	5	9	5	1	5	6	6	1	35	23	2	1	1	5	1					
		1.45%	1.63%	0.93%	1.93%	0.88%	0.35%	1.98%	1.20%	1.78%	0.34%	2.07%	1.52%	1.26%	0.78%	1.43%	1.32%	0.65%					
23	. Харитонов Николай Михайлович	639	28	41	52	59	16	16	23	30	31	158	114	21	10	7	14	19					
		8.42%	11.43%	7.61%	11.16%	10.41%	5.57%	6.32%	4.59%	8.88%	10.40%	9.33%	7.55%	13.21%	7.75%	10.00%	3.68%	12.26%					
																							
24	Против всех	91	6	6	8	8	4	1	9	3	1	18	13	0	4	1	6	3					
		1.20%	2.45%	1.11%	1.72%	1.41%	1.39%	0.40%	1.80%	0.89%	0.34%	1.06%	0.86%	0.00%	3.10%	1.43%	1.58%	1.94%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
