Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Павловская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481					
1	"Число избирателей, внесенных в список"	12867	1099	1363	1370	863	261	487	521	224	147	501	78	576	378	462	111	583	590	140	95	852	553	249	366	93	622	283					
2	Число полученных избирательных бюллетеней	12295	1059	1311	1320	817	250	464	509	213	140	479	75	550	360	436	105	550	565	132	90	812	528	240	344	88	590	268					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9574	682	756	808	603	193	383	423	193	116	416	60	506	314	349	82	516	465	117	72	663	420	230	316	76	563	252					
5	"Число избирательных бюллетеней, выданных вне помещения"	729	60	53	57	32	15	27	51	15	16	58	12	22	10	34	23	13	37	10	13	79	36	6	14	10	10	16					
6	Число погашенных избирательных бюллетеней	1992	317	502	455	182	42	54	35	5	8	5	3	22	36	53	0	21	63	5	5	70	72	4	14	2	17	0					
7	Число избирательных бюллетеней в переносных ящиках	729	60	53	57	32	15	27	51	15	16	58	12	22	10	34	23	13	37	10	13	79	36	6	14	10	10	16					
8	Число бюллетеней в стационарных ящиках для голосования	9573	681	756	808	603	193	383	423	193	116	416	60	506	314	349	82	516	465	117	72	663	420	230	316	76	563	252					
9	Число недействительных избирательных бюллетеней	182	6	10	10	1	0	7	0	1	0	6	1	7	0	3	8	31	3	0	0	64	4	0	0	0	8	12					
10	Число действительных избирательных бюллетеней	10120	735	799	855	634	208	403	474	207	132	468	71	521	324	380	97	498	499	127	85	678	452	236	330	86	565	256					
11	Число полученных открепительных  удостоверений	295	25	31	31	20	6	11	12	5	3	12	2	13	10	10	3	13	13	3	2	20	13	6	8	2	15	6					
12	Число выданных открепительных удостоверений	92	10	10	17	6	1	0	5	0	3	7	2	1	2	3	0	2	6	3	2	8	1	2	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	1	4	4	13	0	0	1	3	2	4	2	1	1	5	1	0	2	3	3	5	2	1	1	0	1	1					
14	Число неиспользованных открепительных удостоверений	203	15	21	14	14	5	11	7	5	0	5	0	12	8	7	3	11	7	0	0	12	12	4	8	2	14	6					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	267	28	46	39	22	1	7	8	0	1	1	9	6	3	5	2	3	13	3	4	12	4	2	29	1	17	1					
		2.59%	3.78%	5.69%	4.51%	3.46%	0.48%	1.71%	1.69%	0.00%	0.76%	0.21%	12.50%	1.14%	0.93%	1.31%	1.90%	0.57%	2.59%	2.36%	4.71%	1.62%	0.88%	0.85%	8.79%	1.16%	2.97%	0.37%					
19	. Малышкин Олег Александрович	154	17	17	18	3	7	1	7	2	2	11	1	7	0	12	0	2	11	1	2	8	2	2	9	2	9	1					
		1.49%	2.29%	2.10%	2.08%	0.47%	3.37%	0.24%	1.48%	0.96%	1.52%	2.32%	1.39%	1.33%	0.00%	3.13%	0.00%	0.38%	2.19%	0.79%	2.35%	1.08%	0.44%	0.85%	2.73%	2.33%	1.57%	0.37%					
20	. Миронов Сергей Михайлович	21	0	2	1	0	0	4	0	0	0	1	0	1	0	0	0	0	4	1	0	1	1	5	0	0	0	0					
		0.20%	0.00%	0.25%	0.12%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.21%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.80%	0.79%	0.00%	0.13%	0.22%	2.12%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7447	503	571	611	518	148	308	323	180	99	380	52	367	244	297	67	323	380	104	65	495	347	161	238	71	373	222					
		72.29%	67.88%	70.58%	70.64%	81.57%	71.15%	75.12%	68.14%	86.54%	75.00%	80.17%	72.22%	69.51%	75.31%	77.55%	63.81%	61.06%	75.70%	81.89%	76.47%	66.71%	76.10%	68.22%	72.12%	82.56%	65.10%	82.84%					
22	. Хакамада Ирина Муцуовна	82	6	9	9	3	3	3	6	0	0	4	0	6	2	3	0	2	7	0	0	3	3	1	3	0	9	0					
		0.80%	0.81%	1.11%	1.04%	0.47%	1.44%	0.73%	1.27%	0.00%	0.00%	0.84%	0.00%	1.14%	0.62%	0.78%	0.00%	0.38%	1.39%	0.00%	0.00%	0.40%	0.66%	0.42%	0.91%	0.00%	1.57%	0.00%					
23	. Харитонов Николай Михайлович	2039	161	135	162	80	44	79	128	22	30	71	9	132	74	62	25	168	79	15	13	149	93	62	48	11	156	31					
		19.79%	21.73%	16.69%	18.73%	12.60%	21.15%	19.27%	27.00%	10.58%	22.73%	14.98%	12.50%	25.00%	22.84%	16.19%	23.81%	31.76%	15.74%	11.81%	15.29%	20.08%	20.39%	26.27%	14.55%	12.79%	27.23%	11.57%					
																																	
24	Против всех	110	20	19	15	8	5	1	2	3	0	0	0	2	1	1	3	0	5	3	1	10	2	3	3	1	1	1					
		1.07%	2.70%	2.35%	1.73%	1.26%	2.40%	0.24%	0.42%	1.44%	0.00%	0.00%	0.00%	0.38%	0.31%	0.26%	2.86%	0.00%	1.00%	2.36%	1.18%	1.35%	0.44%	1.27%	0.91%	1.16%	0.17%	0.37%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
