Выборы Президента Российской Федерации																																																										
Дата голосования: 04.03.2012																																																										
																																																										
Наименование Избирательной комиссии:    Ульяновск, Засвияжская N1																																																										
																																																										
Сводная таблица итогов голосования																																																										
																																																										
	Число участковых избирательных комиссий	47																																																								
	Число участковых избирательных комиссий, приступивших к передаче сведений	47																																																								
																																																										
		Сумма	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894									
1	Число избирателей, включенных в список избирателей	83453	1780	1674	1686	1581	1261	1589	1690	2018	2373	2249	2230	1727	1449	1883	2660	2653	1693	1663	2354	1554	1841	1732	1401	1706	928	1717	1708	1450	2095	2563	1852	1570	1781	1822	1553	1483	2418	1369	1203	1072	1546	2224	1715	1994	1572	1485	1886									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	76200	1800	1600	1600	1500	1200	1500	1650	1900	1900	2100	2000	1650	1350	1750	2200	2200	1550	1550	2000	1450	1750	1650	1200	1400	1000	1500	1500	1300	2000	2400	1700	1400	1700	1600	1400	1200	2400	1200	1000	950	1300	2000	1700	1900	1400	1400	1800									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	46992	979	1081	1084	999	703	1003	879	1124	1506	1229	1355	996	974	1158	1465	1487	903	1015	1292	913	980	978	708	891	503	999	990	738	1150	1380	983	790	810	1044	880	819	1382	727	689	587	853	1299	877	937	876	829	1148									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2041	40	56	25	33	20	32	10	18	36	62	37	37	28	37	39	50	106	35	53	33	51	38	22	32	417	48	51	33	28	51	33	38	27	88	29	24	15	24	40	14	22	18	12	27	20	22	30									
6	Число погашенных избирательных бюллетеней	27167	781	463	491	468	477	465	761	758	358	809	608	617	348	555	696	663	541	500	655	504	719	634	470	477	80	453	459	529	822	969	684	572	863	468	491	357	1003	449	271	349	425	683	811	936	504	549	622									
