Выборы Президента Российской Федерации																																																													
Дата голосования: 18.03.2018																																																													
																																																													
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N2"																																																													
																																																													
Сводная таблица итогов голосования																																																													
																																																													
	Число участковых избирательных комиссий	50																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																											
																																																													
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850									
1	"Число избирателей, включенных в список избирателей"	97903	2113	1676	1742	1600	1376	1695	1621	2716	2482	2265	1429	2425	1949	2424	1999	1745	2370	2005	1995	2482	2343	1999	2541	1756	1554	2225	2040	1956	1982	2138	1885	2128	1425	2114	2598	2361	1813	2250	2429	2578	2122	2294	2509	1604	115	2222	1387	500	709	2217									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95840	2000	1600	1700	1600	1300	1600	1650	2600	2500	2200	1400	2400	1900	2400	2000	1700	2400	2000	2000	2400	2100	1900	2300	1700	1500	2300	2000	2000	2000	2100	1800	2000	1400	2100	2600	2400	1800	2200	2500	2500	2100	2300	2500	1500	90	2200	1300	500	700	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	56017	1264	970	1148	1007	866	1077	923	1494	1468	1421	910	1455	1181	1459	1182	1035	1223	1196	1160	1362	1209	1182	1209	1039	838	1191	1210	1140	1093	1320	1176	1336	821	1293	1492	1169	899	979	1377	1460	1258	1354	1431	791	54	1206	792	251	388	1258									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1735	45	45	19	30	20	25	37	35	47	41	31	47	21	32	44	41	82	42	46	33	25	53	6	40	51	47	54	45	69	45	41	25	23	28	20	35	34	43	50	38	25	21	22	23	1	31	18	9	25	25									
6	Число погашенных избирательных бюллетеней	38088	691	585	533	563	414	498	690	1071	985	738	459	898	698	909	774	624	1095	762	794	1005	866	665	1085	621	611	1062	736	815	838	735	583	639	556	779	1088	1196	867	1178	1073	1002	817	925	1047	686	35	963	490	240	287	817									
