Выборы Президента Российской Федерации																															
Дата голосования: 18.03.2018																															
																															
Наименование Избирательной комиссии:    Лангепасская городская																															
																															
Сводная таблица итогов голосования																															
																															
	Число участковых избирательных комиссий	20																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	20																													
																															
		Сумма	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
1	"Число избирателей, включенных в список избирателей"	27055	1451	1253	1330	1281	1249	1169	1439	1917	1374	1213	1305	1460	1153	1152	1385	1303	1244	1379	1388	1610									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27500	1410	1315	1375	1335	1320	1225	1445	1555	1440	1265	1260	1520	1220	1220	1455	1355	1325	1445	1450	1565									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18199	905	807	854	867	777	779	995	1403	909	798	847	985	765	793	937	874	847	958	947	1152									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	280	10	13	11	15	15	12	20	25	20	5	11	20	12	15	13	12	10	11	17	13									
6	Число погашенных избирательных бюллетеней	9021	495	495	510	453	528	434	430	127	511	462	402	515	443	412	505	469	468	476	486	400									
7	Число избирательных бюллетеней в переносных ящиках для голосования	280	10	13	11	15	15	12	20	25	20	5	11	20	12	15	13	12	10	11	17	13									
8	Число бюллетеней в стационарных ящиках для голосования	18195	905	807	854	867	777	779	995	1402	909	797	847	985	765	793	936	874	846	958	947	1152									
9	Число недействительных избирательных бюллетеней	363	24	23	8	19	15	8	21	32	19	18	20	18	13	23	21	16	14	14	20	17									
10	Число действительных избирательных бюллетеней	18112	891	797	857	863	777	783	994	1395	910	784	838	987	764	785	928	870	842	955	944	1148									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
13	Бабурин Сергей Николаевич	99	3	3	3	2	6	7	3	7	6	4	5	5	3	7	8	9	4	5	3	6									
		0.54%	0.33%	0.37%	0.35%	0.23%	0.76%	0.88%	0.30%	0.49%	0.65%	0.50%	0.58%	0.50%	0.39%	0.87%	0.84%	1.02%	0.47%	0.52%	0.31%	0.52%									
14	Грудинин Павел Николаевич	2586	144	110	122	114	100	112	131	242	119	104	130	160	89	94	140	132	127	129	151	136									
		13.99%	15.74%	13.41%	14.10%	12.93%	12.63%	14.16%	12.91%	16.96%	12.81%	12.97%	15.15%	15.92%	11.45%	11.63%	14.75%	14.90%	14.84%	13.31%	15.66%	11.67%									
15	Жириновский Владимир Вольфович	1441	77	45	66	64	71	68	67	135	58	53	82	89	64	58	63	64	69	68	80	100									
		7.80%	8.42%	5.49%	7.63%	7.26%	8.96%	8.60%	6.60%	9.46%	6.24%	6.61%	9.56%	8.86%	8.24%	7.18%	6.64%	7.22%	8.06%	7.02%	8.30%	8.58%									
16	Путин Владимир Владимирович	13449	650	614	638	661	586	577	761	963	696	598	606	707	584	605	693	634	609	719	675	873									
		72.80%	71.04%	74.88%	73.76%	74.94%	73.99%	72.95%	74.98%	67.48%	74.92%	74.56%	70.63%	70.35%	75.16%	74.88%	73.02%	71.56%	71.14%	74.20%	70.02%	74.94%									
17	Собчак Ксения Анатольевна	241	7	10	12	10	6	9	17	20	10	7	11	8	15	10	11	18	10	19	14	17									
		1.30%	0.77%	1.22%	1.39%	1.13%	0.76%	1.14%	1.67%	1.40%	1.08%	0.87%	1.28%	0.80%	1.93%	1.24%	1.16%	2.03%	1.17%	1.96%	1.45%	1.46%									
18	Сурайкин Максим Александрович	100	4	5	9	3	2	2	7	10	7	7	2	8	3	4	5	3	5	5	4	5									
		0.54%	0.44%	0.61%	1.04%	0.34%	0.25%	0.25%	0.69%	0.70%	0.75%	0.87%	0.23%	0.80%	0.39%	0.50%	0.53%	0.34%	0.58%	0.52%	0.41%	0.43%									
19	Титов Борис Юрьевич	95	4	6	3	6	1	3	5	12	8	6	1	6	0	3	2	3	11	4	8	3									
		0.51%	0.44%	0.73%	0.35%	0.68%	0.13%	0.38%	0.49%	0.84%	0.86%	0.75%	0.12%	0.60%	0.00%	0.37%	0.21%	0.34%	1.29%	0.41%	0.83%	0.26%									
20	Явлинский Григорий Алексеевич	101	2	4	4	3	5	5	3	6	6	5	1	4	6	4	6	7	7	6	9	8									
		0.55%	0.22%	0.49%	0.46%	0.34%	0.63%	0.63%	0.30%	0.42%	0.65%	0.62%	0.12%	0.40%	0.77%	0.50%	0.63%	0.79%	0.82%	0.62%	0.93%	0.69%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
