Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Еткульская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК  2195					
1	"Число избирателей, внесенных в список"	21422	1476	2924	843	341	258	108	121	531	565	329	176	174	2661	504	242	145	210	950	280	181	122	107	2542	301	282	367	86	496	284	180	253	300	516	161	1051	96	78	174	98	170	739					
2	Число полученных избирательных бюллетеней	21690	1600	3000	850	350	260	115	115	520	580	340	180	180	2700	470	250	190	235	980	285	190	130	120	2400	300	300	365	85	500	290	170	250	300	540	170	1025	95	80	180	105	175	720					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15240	1120	2002	623	265	200	93	104	391	448	304	141	150	1628	298	153	111	147	702	231	160	120	107	1615	223	240	284	81	312	204	144	189	225	404	149	751	87	71	123	91	130	419					
5	"Число избирательных бюллетеней, выданных вне помещения"	970	56	165	29	18	0	8	0	41	9	5	14	21	84	35	51	5	13	74	0	8	0	0	46	0	9	16	0	52	7	5	8	18	51	0	45	0	0	13	0	6	58					
6	Число погашенных избирательных бюллетеней	5480	424	833	198	67	60	14	11	88	123	31	25	9	988	137	46	74	75	204	54	22	10	13	739	77	51	65	4	136	79	21	53	57	85	21	229	8	9	44	14	39	243					
7	Число избирательных бюллетеней в переносных ящиках	970	56	165	29	18	0	8	0	41	9	5	14	21	84	35	51	5	13	74	0	8	0	0	46	0	9	16	0	52	7	5	8	18	51	0	45	0	0	13	0	6	58					
8	Число бюллетеней в стационарных ящиках для голосования	15230	1120	2001	623	265	200	93	104	391	448	304	141	150	1628	298	153	111	143	702	231	160	120	107	1611	223	240	284	81	312	203	144	189	225	404	149	751	87	71	123	91	130	419					
9	Число недействительных избирательных бюллетеней	170	10	25	8	2	7	0	0	2	7	1	2	0	24	3	0	1	0	8	3	0	1	1	13	8	2	1	1	4	2	4	2	4	2	1	7	0	0	3	0	0	11					
10	Число действительных избирательных бюллетеней	16030	1166	2141	644	281	193	101	104	430	450	308	153	171	1688	330	204	115	156	768	228	168	119	106	1644	215	247	299	80	360	208	145	195	239	453	148	789	87	71	133	91	136	466					
11	Число полученных открепительных  удостоверений	499	29	65	11	5	4	7	3	12	12	7	3	8	60	10	5	3	14	25	4	3	3	3	60	5	5	6	2	11	5	3	5	4	30	3	10	3	2	8	8	3	30					
12	Число выданных открепительных удостоверений	211	13	27	7	2	0	5	0	8	12	7	3	8	10	0	1	0	4	15	0	3	0	0	14	0	0	5	0	3	0	2	1	2	30	3	8	0	0	8	6	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	12	23	6	1	1	0	7	6	3	2	0	2	13	11	7	0	1	14	0	5	1	0	7	3	2	7	5	6	2	0	10	6	3	1	13	4	0	4	2	4	0					
14	Число неиспользованных открепительных удостоверений	288	16	38	4	3	4	2	3	4	0	0	0	0	50	10	4	3	10	10	4	0	3	3	46	5	5	1	2	8	5	1	4	2	0	0	2	3	2	0	2	0	29					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	380	25	54	31	6	0	5	1	9	18	7	6	1	39	20	6	1	1	9	0	2	0	2	37	3	3	13	2	8	5	1	6	1	10	1	13	6	0	14	3	5	6					
		2.35%	2.13%	2.49%	4.75%	2.12%	0.00%	4.95%	0.96%	2.08%	3.94%	2.27%	3.87%	0.58%	2.28%	6.01%	2.94%	0.86%	0.64%	1.16%	0.00%	1.19%	0.00%	1.87%	2.23%	1.35%	1.20%	4.33%	2.47%	2.20%	2.38%	0.67%	3.05%	0.41%	2.20%	0.67%	1.63%	6.90%	0.00%	10.29%	3.30%	3.68%	1.26%					
19	. Малышкин Олег Александрович	615	25	65	27	19	7	8	6	22	28	10	13	10	55	10	4	0	5	17	20	11	2	3	92	11	11	4	1	21	7	3	11	9	20	6	16	0	1	6	3	2	24					
		3.80%	2.13%	3.00%	4.14%	6.71%	3.50%	7.92%	5.77%	5.09%	6.13%	3.24%	8.39%	5.85%	3.21%	3.00%	1.96%	0.00%	3.21%	2.19%	8.66%	6.55%	1.67%	2.80%	5.55%	4.93%	4.42%	1.33%	1.23%	5.77%	3.33%	2.01%	5.58%	3.70%	4.40%	4.03%	2.01%	0.00%	1.41%	4.41%	3.30%	1.47%	5.03%					
20	. Миронов Сергей Михайлович	128	16	16	9	3	1	0	1	4	4	0	2	0	10	3	5	2	2	2	4	1	0	0	9	1	1	0	3	4	0	1	2	4	1	2	2	1	1	0	1	1	9					
		0.79%	1.36%	0.74%	1.38%	1.06%	0.50%	0.00%	0.96%	0.93%	0.88%	0.00%	1.29%	0.00%	0.58%	0.90%	2.45%	1.72%	1.28%	0.26%	1.73%	0.60%	0.00%	0.00%	0.54%	0.45%	0.40%	0.00%	3.70%	1.10%	0.00%	0.67%	1.02%	1.65%	0.22%	1.34%	0.25%	1.15%	1.41%	0.00%	1.10%	0.74%	1.89%					
21	. Путин Владимир Владимирович	11043	760	1417	393	215	118	48	81	278	303	227	109	113	1186	211	170	87	137	585	177	124	82	86	1116	173	195	184	59	232	151	115	151	189	262	102	529	60	41	77	73	115	312					
		68.17%	64.63%	65.42%	60.28%	75.97%	59.00%	47.52%	77.88%	64.35%	66.30%	73.46%	70.32%	66.08%	69.28%	63.36%	83.33%	75.00%	87.82%	75.39%	76.62%	73.81%	68.33%	80.37%	67.35%	77.58%	78.31%	61.33%	72.84%	63.74%	71.90%	77.18%	76.65%	77.78%	57.58%	68.46%	66.46%	68.97%	57.75%	56.62%	80.22%	84.56%	65.41%					
22	. Хакамада Ирина Муцуовна	437	38	87	18	2	1	3	2	11	28	8	3	9	27	11	1	4	5	16	7	0	4	3	46	5	4	6	0	17	5	5	4	3	13	2	22	1	4	1	1	2	8					
