Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Каслинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК  919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962					
1	"Число избирателей, внесенных в список"	30900	1184	1149	1810	1790	1746	750	1173	898	1286	761	503	1199	109	1222	827	2174	83	462	136	572	720	698	707	228	94	105	926	1158	217	88	231	127	623	311	100	122	1298	1383	343	237	202	656	235	257					
2	Число полученных избирательных бюллетеней	28437	1113	1042	1616	1620	1571	642	1038	798	1249	731	468	1107	108	1113	773	1988	74	424	152	552	720	627	628	198	87	106	831	1076	226	88	234	117	554	277	93	127	1095	1294	326	238	205	633	231	247					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18410	740	690	1080	1094	1153	392	580	499	798	435	272	625	63	688	419	1157	55	272	84	322	462	442	418	136	85	89	486	750	155	82	162	84	370	197	81	89	713	904	208	155	130	448	147	199					
5	"Число избирательных бюллетеней, выданных вне помещения"	1982	53	61	83	53	64	57	91	47	51	41	29	96	11	57	46	82	5	49	12	98	49	82	100	37	0	0	115	40	19	0	33	20	75	35	0	15	83	18	45	28	14	47	34	7					
6	Число погашенных избирательных бюллетеней	8045	320	291	453	473	354	193	367	252	400	255	167	386	34	368	308	749	14	103	56	132	209	103	110	25	2	17	230	286	52	6	39	13	109	45	12	23	299	372	73	55	61	138	50	41					
7	Число избирательных бюллетеней в переносных ящиках	1982	53	61	83	53	64	57	91	47	51	41	29	96	11	57	46	82	5	49	12	98	49	82	100	37	0	0	115	40	19	0	33	20	75	35	0	15	83	18	45	28	14	47	34	7					
8	Число бюллетеней в стационарных ящиках для голосования	18398	740	690	1080	1091	1153	392	580	490	798	435	272	625	63	688	419	1157	55	272	84	322	462	442	418	136	85	89	486	750	155	82	162	84	370	197	81	89	713	904	208	155	130	448	147	199					
9	Число недействительных избирательных бюллетеней	196	17	15	4	5	4	3	14	6	7	3	0	1	0	5	4	11	1	6	0	4	7	4	10	1	0	0	7	12	0	1	2	0	1	0	0	0	11	15	7	3	2	0	2	1					
10	Число действительных избирательных бюллетеней	20184	776	736	1159	1139	1213	446	657	531	842	473	301	720	74	740	461	1228	59	315	96	416	504	520	508	172	85	89	594	778	174	81	193	104	444	232	81	104	785	907	246	180	142	495	179	205					
