Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Озерская городская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250					
1	"Число избирателей, внесенных в список"	79246	2798	2683	2765	2649	2408	2562	2948	315	2340	2747	2694	2472	2464	2834	2828	3015	3031	2070	2796	2525	2634	2906	1767	1588	2782	2984	2033	2982	2002	2652	3116	287	569					
2	Число полученных избирательных бюллетеней	72903	2598	2500	2500	2496	2200	2400	2593	602	2000	2506	2490	2300	2300	2500	2500	2851	2800	1900	2790	2295	2396	2694	1590	1499	2500	2749	1796	2400	2108	2400	2800	250	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49108	1769	1593	1764	1709	1422	1692	1696	315	1530	1345	1683	1541	1590	1781	1799	1923	1911	1304	1590	1604	1733	1751	1101	953	1803	1912	1266	1911	899	1790	1848	111	469					
5	"Число избирательных бюллетеней, выданных вне помещения"	1314	70	40	60	53	34	49	21	0	77	55	69	43	91	12	14	15	43	26	30	23	25	27	25	39	26	41	76	13	46	77	32	35	27					
6	Число погашенных избирательных бюллетеней	21809	759	867	676	734	744	659	876	287	393	1106	738	716	619	707	687	913	846	570	1170	668	638	916	464	507	671	796	454	476	491	533	920	104	104					
7	Число избирательных бюллетеней в переносных ящиках	1986	70	40	60	53	34	49	21	0	77	55	69	43	91	12	14	15	43	26	30	23	25	27	25	39	26	41	76	13	718	77	32	35	27					
8	Число бюллетеней в стационарных ящиках для голосования	49068	1766	1589	1764	1708	1422	1687	1695	315	1529	1345	1683	1541	1590	1779	1789	1920	1909	1303	1590	1604	1732	1751	1101	953	1801	1909	1265	1911	899	1790	1848	111	469					
9	Число недействительных избирательных бюллетеней	330	8	14	9	13	11	10	12	2	10	21	12	12	5	4	6	14	8	8	11	5	19	14	15	6	10	10	7	6	7	22	19	0	0					
10	Число действительных избирательных бюллетеней	50724	1828	1615	1815	1748	1445	1726	1704	313	1596	1379	1740	1572	1676	1787	1797	1921	1944	1321	1609	1622	1738	1764	1111	986	1817	1940	1334	1918	1610	1845	1861	146	496					
