Выборы Президента Российской Федерации																																																																										
Дата голосования: 02.03.2008																																																																										
																																																																										
"Наименование Избирательной комиссии:    Челябинск, Ленинская"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
	Число участковых избирательных комиссий	67																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	67																																																																								
																																																																										
		Сумма	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053					
1	"Число избирателей, включенных в списки избирателей"	148210	2475	2770	2802	2470	2794	2514	2104	2623	2385	2441	2402	2168	1729	2643	2340	2080	2031	2161	2255	1735	2335	2354	2340	2406	2421	1818	1280	2420	1805	1890	1640	1740	2259	2141	2367	1646	2025	2096	2302	1685	1751	1333	2544	1728	1419	2507	2304	2102	2456	2572	2635	2582	2551	2015	1752	2126	1630	2034	2068	2019	2535	2945	2234	3022	2410	2683	2361					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	119400	2000	2200	2200	2000	2200	2000	1700	2000	2000	1900	1900	1700	1300	2000	2000	1500	1700	1700	1800	1500	2000	2000	2000	2000	2000	1500	1000	2000	1500	1400	1300	1300	2000	1700	1900	1500	1700	1600	1800	1300	1500	1000	2200	1500	1100	2000	2200	2000	2000	2000	2000	2000	2000	1600	1500	1600	1300	1600	1500	1500	2000	2200	1800	2500	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	89666	1460	1537	1639	1467	1686	1570	1322	1579	1444	1331	1378	1344	987	1477	1428	1344	1560	1191	1353	967	1333	1269	1406	1360	1561	1038	698	1415	1233	901	987	1063	1352	1304	1358	1064	1430	1396	1487	927	969	789	1851	1151	936	1592	1452	1226	1582	1703	1692	1591	1649	1123	942	1220	1093	1338	1344	1242	1526	1825	1330	1668	1215	1545	1426					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4235	44	21	111	30	33	39	44	44	78	126	18	112	134	77	78	137	79	67	44	83	64	99	50	57	48	25	44	116	33	279	30	44	44	38	72	44	56	67	27	39	28	52	15	35	44	77	75	43	52	44	46	303	45	24	36	48	32	39	22	53	59	97	84	72	32	46	57					
6	Число погашенных избирательных бюллетеней	25496	496	642	450	503	481	391	334	377	478	443	504	244	179	446	494	19	61	442	403	450	603	632	544	583	391	437	258	469	234	220	283	193	604	358	470	392	214	137	286	334	503	159	334	313	120	331	673	731	366	253	262	106	304	453	522	332	175	223	134	205	415	278	386	760	753	409	517					
