Выборы Президента Российской Федерации																																																																		
Дата голосования: 02.03.2008																																																																		
																																																																		
"Наименование Избирательной комиссии:    Челябинск, Тракторозаводская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
	Число участковых избирательных комиссий	59																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	59																																																																
																																																																		
		Сумма	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783					
1	"Число избирателей, включенных в списки избирателей"	126059	2252	2333	2681	1568	1911	1689	1827	1531	1431	1773	2733	1628	1826	1836	1892	2177	1625	2515	1658	1604	1963	1725	2942	2558	2835	2214	2383	2395	1178	2269	1259	2290	2689	1830	2751	2394	1593	1618	1971	2483	2450	2646	2670	2120	2645	2662	2748	2567	2421	2472	2445	2838	2625	2614	2514	2045	1850	1300	597					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	113850	2050	1900	2450	1400	1700	1550	1550	1400	1300	1600	2450	1500	1650	1700	1750	1850	1500	2300	1550	1450	1750	1500	2600	2300	2550	2000	2150	2200	1100	1950	1100	2100	2450	1650	2500	2150	1450	1450	1800	2250	2250	2400	2400	1900	2450	2350	2500	2300	2250	2250	2200	2650	2400	2400	2300	1850	1650	1150	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	77542	1444	1401	1665	913	1255	1058	1132	912	798	1228	1678	1024	1120	1176	1189	1391	1034	1629	981	904	1195	1089	1803	1546	1680	1383	1461	1527	757	1324	797	1488	1745	1159	1803	1444	1000	962	1332	1585	1481	1618	1478	1251	1497	1510	2080	1577	1529	1599	1467	1724	1583	1591	1496	1252	990	718	89					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4180	58	53	72	50	33	68	54	57	66	65	32	32	37	73	17	22	14	18	77	27	59	125	8	72	65	70	116	100	48	112	60	52	62	61	66	58	45	28	77	40	59	81	105	71	58	44	116	71	41	55	63	85	73	218	63	61	90	69	508					
6	Число погашенных избирательных бюллетеней	32128	548	446	713	437	412	424	364	431	436	307	740	444	493	451	544	437	452	653	492	519	496	286	789	682	805	547	573	573	295	514	243	560	643	430	631	648	405	460	391	625	710	701	817	578	895	796	304	652	680	596	670	841	744	591	741	537	570	363	3					
