Выборы Президента Российской Федерации																																										
Дата голосования: 18.03.2018																																										
																																										
Наименование Избирательной комиссии:    Веденская																																										
																																										
Сводная таблица предварительных итогов голосования																																										
																																										
	Число участковых избирательных комиссий	31																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	31																																								
																																										
		Сумма	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64									
1	"Число избирателей, включенных в список избирателей"	19232	1736	719	227	230	1135	1149	1014	462	615	418	249	133	310	245	536	62	465	238	1411	1364	1331	2455	534	208	489	743	264	146	67	229	48									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18700	1689	699	221	224	1104	1117	986	449	598	406	242	129	301	238	521	60	452	231	1372	1327	1294	2388	519	202	475	722	257	142	65	223	47									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17837	1662	669	199	209	1068	1090	952	421	583	379	216	104	252	218	482	51	426	215	1294	1299	1241	2313	477	190	446	699	247	132	57	206	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	501	14	18	9	8	15	18	28	20	11	19	11	9	31	10	17	2	12	5	63	20	43	59	23	2	20	12	2	0	0	0	0									
6	Число погашенных избирательных бюллетеней	362	13	12	13	7	21	9	6	8	4	8	15	16	18	10	22	7	14	11	15	8	10	16	19	10	9	11	8	10	8	17	7									
7	Число избирательных бюллетеней в переносных ящиках для голосования	501	14	18	9	8	15	18	28	20	11	19	11	9	31	10	17	2	12	5	63	20	43	59	23	2	20	12	2	0	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	17837	1662	669	199	209	1068	1090	952	421	583	379	216	104	252	218	482	51	426	215	1294	1299	1241	2313	477	190	446	699	247	132	57	206	40									
9	Число недействительных избирательных бюллетеней	63	3	1	0	2	3	5	2	2	1	3	2	4	2	1	1	1	2	2	5	1	2	4	3	2	2	1	3	1	0	1	1									
10	Число действительных избирательных бюллетеней	18275	1673	686	208	215	1080	1103	978	439	593	395	225	109	281	227	498	52	436	218	1352	1318	1282	2368	497	190	464	710	246	131	57	205	39									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
13	Бабурин Сергей Николаевич	182	9	3	5	7	21	2	6	4	2	8	2	3	7	6	5	2	1	5	11	4	11	16	7	5	4	5	1	7	2	3	8									
		0.99%	0.54%	0.44%	2.40%	3.23%	1.94%	0.18%	0.61%	0.91%	0.34%	2.01%	0.88%	2.65%	2.47%	2.63%	1.00%	3.77%	0.23%	2.27%	0.81%	0.30%	0.86%	0.67%	1.40%	2.60%	0.86%	0.70%	0.40%	5.30%	3.51%	1.46%	20.00%									
14	Грудинин Павел Николаевич	603	33	17	10	25	19	27	14	11	15	11	12	8	19	32	12	5	30	7	36	25	40	56	9	11	30	25	26	4	9	14	11									
		3.29%	1.97%	2.47%	4.81%	11.52%	1.75%	2.44%	1.43%	2.49%	2.53%	2.76%	5.29%	7.08%	6.71%	14.04%	2.40%	9.43%	6.85%	3.18%	2.65%	1.90%	3.12%	2.36%	1.80%	5.73%	6.44%	3.52%	10.44%	3.03%	15.79%	6.80%	27.50%									
15	Жириновский Владимир Вольфович	74	2	4	5	0	2	4	1	6	4	2	1	3	4	5	1	0	4	3	5	2	1	2	1	1	3	2	1	1	0	1	3									
