Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Наурская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
1	"Число избирателей, внесенных в список"	29479	1140	1107	740	1656	1860	691	1424	1285	1180	2084	1323	1978	2312	2638	1414	1631	1435	2825	756					
2	Число полученных избирательных бюллетеней	28634	1100	1100	733	1600	1750	680	1390	1250	1130	2050	1230	1890	2100	2636	1414	1600	1400	2825	756					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27144	1100	1065	733	1600	1750	680	1185	1250	1130	2050	880	1836	1718	2286	1414	1500	1400	2825	742					
5	"Число избирательных бюллетеней, выданных вне помещения"	1217	0	35	0	0	0	0	205	0	0	0	350	54	212	350	0	0	0	0	11					
6	Число погашенных избирательных бюллетеней	273	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	100	0	0	3					
7	Число избирательных бюллетеней в переносных ящиках	1217	0	35	0	0	0	0	205	0	0	0	350	54	212	350	0	0	0	0	11					
8	Число бюллетеней в стационарных ящиках для голосования	27144	1100	1065	733	1600	1750	680	1185	1250	1130	2050	880	1836	1718	2286	1414	1500	1400	2825	742					
9	Число недействительных избирательных бюллетеней	284	6	27	0	18	4	8	0	0	0	9	1	10	3	3	1	59	23	112	0					
10	Число действительных избирательных бюллетеней	28077	1094	1073	733	1582	1746	672	1390	1250	1130	2041	1229	1880	1927	2633	1413	1441	1377	2713	753					
11	Число полученных открепительных  удостоверений	260	5	5	5	5	10	5	5	5	5	10	5	10	25	25	5	5	5	60	60					
12	Число выданных открепительных удостоверений	52	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	0	0	0	0	0	0	0	0	0	0	44	1	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	208	5	5	5	5	10	5	5	5	5	10	4	7	25	25	5	5	5	60	12					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	201	9	6	8	22	23	10	4	0	7	20	10	14	23	2	9	23	8	0	3					
		0.71%	0.82%	0.55%	1.09%	1.38%	1.31%	1.47%	0.29%	0.00%	0.62%	0.98%	0.81%	0.74%	1.19%	0.08%	0.64%	1.53%	0.57%	0.00%	0.40%					
19	. Малышкин Олег Александрович	123	3	0	4	9	11	9	3	0	0	12	10	20	18	1	4	11	3	0	5					
		0.43%	0.27%	0.00%	0.55%	0.56%	0.63%	1.32%	0.22%	0.00%	0.00%	0.59%	0.81%	1.06%	0.93%	0.04%	0.28%	0.73%	0.21%	0.00%	0.66%					
20	. Миронов Сергей Михайлович	96	2	0	3	8	21	4	3	0	0	13	4	4	10	7	2	13	0	0	2					
		0.34%	0.18%	0.00%	0.41%	0.50%	1.20%	0.59%	0.22%	0.00%	0.00%	0.63%	0.33%	0.21%	0.52%	0.27%	0.14%	0.87%	0.00%	0.00%	0.27%					
21	. Путин Владимир Владимирович	25434	915	1041	662	1449	1375	517	1340	1237	1083	1867	977	1720	1588	2491	1279	1159	1292	2713	729					
		89.68%	83.18%	94.64%	90.31%	90.56%	78.57%	76.03%	96.40%	98.96%	95.84%	91.07%	79.43%	91.01%	82.28%	94.50%	90.45%	77.27%	92.29%	96.04%	96.81%					
22	. Хакамада Ирина Муцуовна	1267	96	13	37	42	210	96	10	9	30	31	118	94	172	69	80	118	36	0	6					
		4.47%	8.73%	1.18%	5.05%	2.62%	12.00%	14.12%	0.72%	0.72%	2.65%	1.51%	9.59%	4.97%	8.91%	2.62%	5.66%	7.87%	2.57%	0.00%	0.80%					
23	. Харитонов Николай Михайлович	753	53	9	10	19	100	24	21	4	10	80	89	6	96	63	26	100	35	0	8					
		2.66%	4.82%	0.82%	1.36%	1.19%	5.71%	3.53%	1.51%	0.32%	0.88%	3.90%	7.24%	0.32%	4.97%	2.39%	1.84%	6.67%	2.50%	0.00%	1.06%					
																										
24	Против всех	203	16	4	9	33	6	12	9	0	0	18	21	22	20	0	13	17	3	0	0					
		0.72%	1.45%	0.36%	1.23%	2.06%	0.34%	1.76%	0.65%	0.00%	0.00%	0.88%	1.71%	1.16%	1.04%	0.00%	0.92%	1.13%	0.21%	0.00%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
