Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Ножай-Юртовская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239					
1	"Число избирателей, внесенных в список"	24089	3022	449	2339	743	655	265	686	555	668	649	2154	590	583	746	315	534	151	204	508	1508	381	203	451	522	152	1793	372	770	878	1243					
2	Число полученных избирательных бюллетеней	23700	3027	443	2268	717	635	265	667	555	650	629	2154	590	532	723	315	518	151	204	508	1508	381	203	448	506	152	1739	372	746	851	1243					
3	"Число избирательных бюллетеней, выданных  досрочно"	678	0	0	0	221	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22408	2941	423	2244	487	625	256	667	547	610	629	2151	565	75	706	315	507	151	204	497	1498	368	202	433	498	152	1734	364	727	591	1241					
5	"Число избирательных бюллетеней, выданных вне помещения"	435	0	4	24	9	10	9	0	8	40	0	0	0	0	17	0	0	0	0	0	0	12	0	15	8	0	0	0	19	260	0					
6	Число погашенных избирательных бюллетеней	179	86	16	0	0	0	0	0	0	0	0	3	25	0	0	0	11	0	0	11	10	1	1	0	0	0	5	8	0	0	2					
7	Число избирательных бюллетеней в переносных ящиках	1113	0	4	24	230	10	9	0	8	40	0	0	0	457	17	0	0	0	0	0	0	12	0	15	8	0	0	0	19	260	0					
8	Число бюллетеней в стационарных ящиках для голосования	22404	2941	423	2244	487	625	256	667	547	610	629	2147	565	75	706	315	507	151	204	497	1498	368	202	433	498	152	1734	364	727	591	1241					
9	Число недействительных избирательных бюллетеней	40	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	4	0	0	2	6	0	0	2	0	0	8	0	0	0	0					
10	Число действительных избирательных бюллетеней	23477	2941	427	2268	717	635	265	667	555	650	629	2147	555	532	715	315	503	151	204	495	1492	380	202	446	506	152	1726	364	746	851	1241					
11	Число полученных открепительных  удостоверений	450	27	12	25	12	19	12	19	12	19	12	25	0	0	12	12	19	0	12	19	19	12	12	19	12	12	19	12	19	19	27					
12	Число выданных открепительных удостоверений	12	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	438	26	12	25	12	19	12	19	12	19	12	22	0	0	12	12	18	0	12	19	19	12	12	17	9	12	19	12	19	19	25					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	47	16	0	0	0	0	0	0	0	1	0	0	5	3	3	0	0	0	0	1	11	0	1	0	2	0	0	0	2	0	2					
		0.20%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.88%	0.56%	0.41%	0.00%	0.00%	0.00%	0.00%	0.20%	0.73%	0.00%	0.50%	0.00%	0.40%	0.00%	0.00%	0.00%	0.27%	0.00%	0.16%					
19	. Малышкин Олег Александрович	21	0	0	0	5	0	0	0	0	0	0	1	0	3	2	0	1	0	0	1	8	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.56%	0.28%	0.00%	0.20%	0.00%	0.00%	0.20%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	48	10	0	0	1	0	0	0	0	0	0	1	1	2	3	1	5	3	4	0	4	0	0	5	3	0	0	0	4	0	1					
		0.20%	0.34%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.18%	0.38%	0.41%	0.32%	0.99%	1.99%	1.96%	0.00%	0.27%	0.00%	0.00%	1.12%	0.59%	0.00%	0.00%	0.00%	0.54%	0.00%	0.08%					
21	. Путин Владимир Владимирович	23036	2876	427	2254	711	629	259	665	555	644	626	2143	537	518	701	304	404	144	198	488	1434	370	194	431	499	150	1713	364	734	835	1229					
