Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Шалинская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №422	УИК №423					
1	"Число избирателей, внесенных в список"	47162	1390	1630	1840	1170	1360	2067	2354	1200	1819	1750	1987	1892	2581	2278	1960	2417	1691	1345	551	1550	1790	1590	1560	1850	2800	1100	1640					
2	Число полученных избирательных бюллетеней	43519	1200	1378	1440	1170	1360	1597	2354	1200	1750	1500	1987	1892	2366	2273	1930	2372	1691	1345	551	1450	1760	1160	1143	1850	2500	1100	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42244	1200	1378	1440	1170	1360	1597	2300	1200	1614	1500	1987	1892	2366	2273	1930	2372	1691	1325	551	1450	1760	1048	1093	1550	1967	1100	1130					
5	"Число избирательных бюллетеней, выданных вне помещения"	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0					
6	Число погашенных избирательных бюллетеней	1049	0	0	0	0	0	0	54	0	136	0	0	0	0	0	0	0	0	20	0	0	0	112	50	300	307	0	70					
7	Число избирательных бюллетеней в переносных ящиках	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	42244	1200	1378	1440	1170	1360	1597	2300	1200	1614	1500	1987	1892	2366	2273	1930	2372	1691	1325	551	1450	1760	1048	1093	1550	1967	1100	1130					
9	Число недействительных избирательных бюллетеней	69	0	13	0	0	0	0	28	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	12					
10	Число действительных избирательных бюллетеней	42401	1200	1365	1440	1170	1360	1597	2272	1200	1606	1500	1987	1892	2366	2273	1930	2372	1691	1325	551	1450	1760	1040	1093	1550	2193	1100	1118					
11	Число полученных открепительных  удостоверений	368	14	14	20	15	13	15	13	0	13	15	13	14	13	13	15	13	15	13	14	15	15	20	15	0	0	26	22					
12	Число выданных открепительных удостоверений	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	367	14	13	20	15	13	15	13	0	13	15	13	14	13	13	15	13	15	13	14	15	15	20	15	0	0	26	22					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	1023	0	22	4	115	307	36	17	9	16	22	11	21	86	149	76	6	3	11	5	0	19	7	16	0	0	17	48					
		2.41%	0.00%	1.60%	0.28%	9.83%	22.57%	2.25%	0.74%	0.75%	0.99%	1.47%	0.55%	1.11%	3.63%	6.56%	3.94%	0.25%	0.18%	0.83%	0.91%	0.00%	1.08%	0.67%	1.46%	0.00%	0.00%	1.55%	4.25%					
19	. Малышкин Олег Александрович	270	20	11	1	17	1	18	0	0	0	2	9	0	2	132	10	11	0	12	4	0	0	8	4	0	0	5	3					
		0.64%	1.67%	0.80%	0.07%	1.45%	0.07%	1.13%	0.00%	0.00%	0.00%	0.13%	0.45%	0.00%	0.08%	5.81%	0.52%	0.46%	0.00%	0.91%	0.73%	0.00%	0.00%	0.76%	0.37%	0.00%	0.00%	0.45%	0.27%					
20	. Миронов Сергей Михайлович	189	6	13	4	25	9	12	9	4	3	8	14	2	6	20	14	6	5	4	6	0	0	10	2	0	0	4	3					
		0.45%	0.50%	0.94%	0.28%	2.14%	0.66%	0.75%	0.39%	0.33%	0.19%	0.53%	0.70%	0.11%	0.25%	0.88%	0.73%	0.25%	0.30%	0.30%	1.09%	0.00%	0.00%	0.95%	0.18%	0.00%	0.00%	0.36%	0.27%					
21	. Путин Владимир Владимирович	36603	1010	1225	1343	752	968	1244	2090	1085	1468	1268	1757	1735	2028	1744	1614	2232	1559	1023	452	1350	1581	754	853	1550	2193	792	933					
