Выборы Президента Российской Федерации																												
																												
"Наименование Избирательной комиссии:    г. Грозный, Октябрьская"																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №302	УИК №303	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401					
1	"Число избирателей, внесенных в список"	40184	3000	2643	2004	2009	2017	2005	2128	2300	2252	1311	1610	1402	1172	2359	2410	1320	1084	1502	1503	1170	2983					
2	Число полученных избирательных бюллетеней	40021	3000	2643	2000	2000	1946	2000	2200	2300	2200	1300	1603	1402	1170	2300	2400	1320	1084	1500	1500	1170	2983					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36726	3000	2643	1912	1869	1893	1772	1973	2202	2064	1244	1545	1345	1072	1240	2251	1120	922	1350	1305	1021	2983					
5	"Число избирательных бюллетеней, выданных вне помещения"	734	0	0	0	0	0	0	0	6	0	0	0	0	0	728	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2561	0	0	88	131	53	228	227	92	136	56	58	57	98	332	149	200	162	150	195	149	0					
7	Число избирательных бюллетеней в переносных ящиках	734	0	0	0	0	0	0	0	6	0	0	0	0	0	728	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	36726	3000	2643	1912	1869	1893	1772	1973	2202	2064	1244	1545	1345	1072	1240	2251	1120	922	1350	1305	1021	2983					
9	Число недействительных избирательных бюллетеней	25	1	1	3	0	0	0	0	0	0	2	0	2	7	0	5	4	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	37435	2999	2642	1909	1869	1893	1772	1973	2208	2064	1242	1545	1343	1065	1968	2246	1116	922	1350	1305	1021	2983					
11	Число полученных открепительных  удостоверений	350	17	17	16	16	12	18	17	18	17	17	17	17	17	17	17	17	17	17	16	16	17					
12	Число выданных открепительных удостоверений	12	2	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	338	15	17	16	16	12	16	17	14	16	17	17	17	17	17	17	17	17	17	16	16	14					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	175	0	0	9	9	2	5	0	26	29	9	2	4	1	9	26	2	0	3	38	1	0					
		0.47%	0.00%	0.00%	0.47%	0.48%	0.11%	0.28%	0.00%	1.18%	1.41%	0.72%	0.13%	0.30%	0.09%	0.46%	1.16%	0.18%	0.00%	0.22%	2.91%	0.10%	0.00%					
19	. Малышкин Олег Александрович	66	0	0	2	2	0	1	0	5	14	3	4	0	1	2	2	1	0	1	28	0	0					
		0.18%	0.00%	0.00%	0.10%	0.11%	0.00%	0.06%	0.00%	0.23%	0.68%	0.24%	0.26%	0.00%	0.09%	0.10%	0.09%	0.09%	0.00%	0.07%	2.15%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	112	4	2	4	15	1	0	2	5	32	2	11	0	1	2	11	0	0	3	16	0	1					
		0.30%	0.13%	0.08%	0.21%	0.80%	0.05%	0.00%	0.10%	0.23%	1.55%	0.16%	0.71%	0.00%	0.09%	0.10%	0.49%	0.00%	0.00%	0.22%	1.23%	0.00%	0.03%					
21	. Путин Владимир Владимирович	35744	2995	2640	1762	1747	1848	1645	1903	2075	1938	1183	1452	1272	1025	1835	2162	1067	890	1298	1018	1007	2982					
		95.42%	99.83%	99.89%	92.15%	93.47%	97.62%	92.83%	96.45%	93.98%	93.90%	95.10%	93.98%	94.57%	95.62%	93.24%	96.05%	95.27%	96.53%	96.15%	78.01%	98.63%	99.97%					
22	. Хакамада Ирина Муцуовна	729	0	0	72	21	16	62	59	56	12	34	61	11	25	81	24	36	19	7	131	2	0					
		1.95%	0.00%	0.00%	3.77%	1.12%	0.85%	3.50%	2.99%	2.54%	0.58%	2.73%	3.95%	0.82%	2.33%	4.12%	1.07%	3.21%	2.06%	0.52%	10.04%	0.20%	0.00%					
23	. Харитонов Николай Михайлович	419	0	0	55	53	19	44	9	36	32	3	15	9	12	21	21	10	6	29	36	9	0					
		1.12%	0.00%	0.00%	2.88%	2.84%	1.00%	2.48%	0.46%	1.63%	1.55%	0.24%	0.97%	0.67%	1.12%	1.07%	0.93%	0.89%	0.65%	2.15%	2.76%	0.88%	0.00%					
																												
24	Против всех	190	0	0	5	22	7	15	0	5	7	8	0	47	0	18	0	0	7	9	38	2	0					
		0.51%	0.00%	0.00%	0.26%	1.18%	0.37%	0.85%	0.00%	0.23%	0.34%	0.64%	0.00%	3.49%	0.00%	0.91%	0.00%	0.00%	0.76%	0.67%	2.91%	0.20%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
