Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Оловяннинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705					
1	"Число избирателей, внесенных в список"	32587	848	1621	812	904	172	1105	191	2335	483	150	442	334	406	116	64	238	57	662	122	493	127	690	1663	563	1470	200	478	387	893	938	268	791	272	605	2368	2827	2116	2238	2138					
2	Число полученных избирательных бюллетеней	32375	939	1681	802	925	176	1132	203	2382	502	153	455	344	401	116	73	240	58	675	126	505	131	711	1580	570	1426	206	497	399	771	1016	251	837	260	615	2254	2460	2142	2236	2125					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17660	378	701	415	410	127	490	139	1274	294	101	301	198	285	92	64	212	40	357	104	296	90	283	933	376	732	182	271	317	531	318	172	422	133	466	1177	1951	985	1145	898					
5	"Число избирательных бюллетеней, выданных вне помещения"	982	51	74	33	44	19	36	0	49	56	10	28	40	12	9	0	0	0	52	7	33	4	101	31	26	56	0	23	29	18	2	0	1	20	0	0	0	33	43	42					
6	Число погашенных избирательных бюллетеней	13733	510	906	354	471	30	606	64	1059	152	42	126	106	104	15	9	28	18	266	15	176	37	327	616	168	638	24	203	53	222	696	79	414	107	149	1077	509	1124	1048	1185					
7	Число избирательных бюллетеней в переносных ящиках	982	51	74	33	44	19	36	0	49	56	10	28	40	12	9	0	0	0	52	7	33	4	101	31	26	56	0	23	29	18	2	0	1	20	0	0	0	33	43	42					
8	Число бюллетеней в стационарных ящиках для голосования	17654	378	701	415	410	127	490	139	1274	294	101	301	198	285	92	64	212	40	357	104	296	90	283	933	376	732	182	271	317	531	318	172	422	133	466	1177	1951	983	1145	894					
9	Число недействительных избирательных бюллетеней	176	3	7	6	7	0	9	0	8	7	2	4	4	1	0	1	1	0	12	0	6	1	2	7	2	5	2	4	1	3	7	0	7	2	4	15	7	9	11	9					
10	Число действительных избирательных бюллетеней	18460	426	768	442	447	146	517	139	1315	343	109	325	234	296	101	63	211	40	397	111	323	93	382	957	400	783	180	290	345	546	313	172	416	151	462	1162	1944	1007	1177	927					
11	Число полученных открепительных  удостоверений	345	13	20	12	12	4	14	3	28	6	2	4	2	3	1	1	3	1	7	2	4	2	6	18	5	18	3	4	4	7	7	4	6	8	4	20	20	22	22	23					
12	Число выданных открепительных удостоверений	153	3	11	2	1	0	7	0	13	6	0	1	0	1	0	0	3	0	2	0	1	0	6	1	2	3	0	1	0	0	4	2	1	4	4	12	13	15	16	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	83	2	2	2	1	3	1	1	5	3	0	2	0	0	0	0	3	0	2	0	3	0	0	1	0	1	0	1	0	1	1	1	3	0	1	5	11	9	6	12					
14	Число неиспользованных открепительных удостоверений	192	10	9	10	11	4	7	3	15	0	2	3	2	2	1	1	0	1	5	2	3	2	0	17	3	15	3	3	4	7	3	2	5	4	0	8	7	7	6	5					
15	"Число открепительных удостоверений, выданных в ТИК"	55	0	0	0	2	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	384	12	27	8	12	3	24	2	31	4	0	2	0	5	6	1	4	0	4	2	4	3	5	35	8	40	2	3	0	9	11	4	2	2	7	19	23	15	27	18					
		2.06%	2.80%	3.48%	1.79%	2.64%	2.05%	4.56%	1.44%	2.34%	1.14%	0.00%	0.61%	0.00%	1.68%	5.94%	1.56%	1.89%	0.00%	0.98%	1.80%	1.22%	3.19%	1.30%	3.63%	1.99%	5.08%	1.10%	1.02%	0.00%	1.64%	3.44%	2.33%	0.47%	1.31%	1.50%	1.61%	1.18%	1.48%	2.27%	1.92%					
19	. Малышкин Олег Александрович	420	11	20	12	12	2	13	5	26	6	1	3	4	2	0	0	9	0	5	1	7	1	5	28	6	12	4	5	0	13	16	7	12	10	26	22	26	33	36	19					
		2.25%	2.56%	2.58%	2.68%	2.64%	1.37%	2.47%	3.60%	1.97%	1.71%	0.90%	0.91%	1.68%	0.67%	0.00%	0.00%	4.25%	0.00%	1.22%	0.90%	2.13%	1.06%	1.30%	2.90%	1.49%	1.52%	2.20%	1.70%	0.00%	2.37%	5.00%	4.07%	2.84%	6.54%	5.58%	1.87%	1.33%	3.25%	3.03%	2.03%					
20	. Миронов Сергей Михайлович	122	5	11	3	1	1	5	1	4	6	1	1	2	0	1	0	2	0	4	0	2	1	1	16	1	8	0	3	4	5	4	1	2	0	2	6	5	1	10	2					
		0.65%	1.17%	1.42%	0.67%	0.22%	0.68%	0.95%	0.72%	0.30%	1.71%	0.90%	0.30%	0.84%	0.00%	0.99%	0.00%	0.94%	0.00%	0.98%	0.00%	0.61%	1.06%	0.26%	1.66%	0.25%	1.02%	0.00%	1.02%	1.16%	0.91%	1.25%	0.58%	0.47%	0.00%	0.43%	0.51%	0.26%	0.10%	0.84%	0.21%					
21	. Путин Владимир Владимирович	15055	339	601	358	345	120	394	123	1157	266	95	222	212	274	87	55	173	40	317	102	247	81	306	658	348	559	164	212	283	483	200	141	318	125	374	1016	1755	831	935	739					
		80.78%	79.02%	77.55%	79.91%	75.99%	82.19%	74.90%	88.49%	87.45%	76.00%	85.59%	67.48%	89.08%	92.26%	86.14%	85.94%	81.60%	100.00%	77.51%	91.89%	75.08%	86.17%	79.69%	68.26%	86.57%	70.94%	90.11%	72.11%	81.79%	87.98%	62.50%	81.98%	75.18%	81.70%	80.26%	86.32%	89.95%	81.79%	78.70%	78.95%					
22	. Хакамада Ирина Муцуовна	295	9	7	3	10	2	4	0	28	10	5	4	1	1	0	0	3	0	4	0	0	3	3	11	1	16	1	3	4	5	5	1	5	1	4	14	35	27	33	32					
		1.58%	2.10%	0.90%	0.67%	2.20%	1.37%	0.76%	0.00%	2.12%	2.86%	4.50%	1.22%	0.42%	0.34%	0.00%	0.00%	1.42%	0.00%	0.98%	0.00%	0.00%	3.19%	0.78%	1.14%	0.25%	2.03%	0.55%	1.02%	1.16%	0.91%	1.56%	0.58%	1.18%	0.65%	0.86%	1.19%	1.79%	2.66%	2.78%	3.42%					
23	. Харитонов Николай Михайлович	1895	46	92	53	63	15	69	7	42	47	4	90	14	14	6	7	19	0	61	6	58	4	57	203	34	135	9	63	52	26	73	15	69	10	38	62	60	79	106	87					
		10.17%	10.72%	11.87%	11.83%	13.88%	10.27%	13.12%	5.04%	3.17%	13.43%	3.60%	27.36%	5.88%	4.71%	5.94%	10.94%	8.96%	0.00%	14.91%	5.41%	17.63%	4.26%	14.84%	21.06%	8.46%	17.13%	4.95%	21.43%	15.03%	4.74%	22.81%	8.72%	16.31%	6.54%	8.15%	5.27%	3.08%	7.78%	8.92%	9.29%					
																																														
24	Против всех	289	4	10	5	4	3	8	1	27	4	3	3	1	0	1	0	1	0	2	0	5	0	5	6	2	13	0	1	2	5	4	3	8	3	11	23	40	21	30	30					
		1.55%	0.93%	1.29%	1.12%	0.88%	2.05%	1.52%	0.72%	2.04%	1.14%	2.70%	0.91%	0.42%	0.00%	0.99%	0.00%	0.47%	0.00%	0.49%	0.00%	1.52%	0.00%	1.30%	0.62%	0.50%	1.65%	0.00%	0.34%	0.58%	0.91%	1.25%	1.74%	1.89%	1.96%	2.36%	1.95%	2.05%	2.07%	2.53%	3.21%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
