Выборы Президента Российской Федерации																																																																															
Дата голосования: 02.03.2008																																																																															
																																																																															
Наименование Избирательной комиссии:    Канашская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
	Число участковых избирательных комиссий	72																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	72																																																																													
																																																																															
		Сумма	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298					
1	"Число избирателей, включенных в списки избирателей"	28360	776	830	611	129	259	285	472	193	148	210	411	262	111	562	343	265	2181	373	168	654	519	88	132	675	174	154	427	152	255	145	87	397	208	242	196	242	211	619	243	262	166	184	876	988	200	1041	451	297	883	351	302	358	188	659	446	705	274	248	321	257	521	233	738	210	492	242	385	367	481	216	539	70					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27717	740	795	579	111	233	270	454	188	146	206	398	257	104	536	336	262	2200	369	166	629	513	88	124	663	170	147	422	149	242	136	80	392	204	219	200	242	202	607	229	233	154	177	875	947	194	1037	451	302	890	350	306	338	177	664	444	706	259	244	316	250	516	239	724	211	496	238	373	357	468	193	519	61					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	21661	615	605	479	103	198	226	358	137	127	143	281	220	95	458	289	232	1618	295	115	515	451	87	113	501	145	114	325	124	209	104	68	265	126	172	169	179	171	406	194	208	141	130	603	666	179	897	338	179	695	274	248	216	132	456	358	572	197	201	248	203	398	167	554	162	379	154	318	315	390	168	428	55					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2525	52	48	40	8	14	28	22	24	11	20	47	20	6	43	37	14	166	25	4	30	50	0	11	100	14	27	18	14	13	13	9	28	36	39	17	28	26	33	17	25	13	38	95	203	9	30	48	55	43	36	38	50	20	27	18	64	49	27	41	40	35	27	58	14	45	42	35	27	51	25	39	6					
6	Число погашенных избирательных бюллетеней	3531	73	142	60	0	21	16	74	27	8	43	70	17	3	35	10	16	416	49	47	84	12	1	0	62	11	6	79	11	20	19	3	99	42	8	14	35	5	168	18	0	0	9	177	78	6	110	65	68	152	40	20	72	25	181	68	70	13	16	27	7	83	45	112	35	72	42	20	15	27	0	52	0					
