Выборы Президента Российской Федерации																																																										
Дата голосования: 02.03.2008																																																										
																																																										
Наименование Избирательной комиссии:    Моргаушская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
	Число участковых избирательных комиссий	51																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	51																																																								
																																																										
		Сумма	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571					
1	"Число избирателей, включенных в списки избирателей"	25253	1585	1456	664	1410	311	237	187	477	622	258	361	279	330	686	453	461	842	276	585	593	419	289	343	568	572	335	384	446	270	125	467	196	383	469	859	317	577	334	501	268	248	308	549	355	258	360	684	444	635	736	481					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26300	1700	1405	700	1380	310	235	190	510	650	265	370	280	370	700	460	430	895	265	610	615	445	300	355	595	600	370	410	460	280	135	500	205	390	505	900	330	635	365	615	280	265	325	595	370	275	380	725	460	605	780	505					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	17793	1318	988	432	858	213	163	151	305	405	181	222	233	297	486	291	318	570	149	379	407	305	212	241	395	431	220	245	283	195	89	312	147	237	379	659	224	453	216	385	218	153	227	409	284	226	220	502	314	294	595	357					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3992	96	238	130	101	37	29	22	100	136	31	97	22	26	120	110	37	116	79	130	105	92	42	74	83	69	69	73	79	35	16	52	24	146	89	128	63	79	70	87	25	59	55	128	22	15	94	94	66	156	78	68					
6	Число погашенных избирательных бюллетеней	4515	286	179	138	421	60	43	17	105	109	53	51	25	47	94	59	75	209	37	101	103	48	46	40	117	100	81	92	98	50	30	136	34	7	37	113	43	103	79	143	37	53	43	58	64	34	66	129	80	155	107	80					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3991	96	238	130	101	37	29	22	100	136	31	97	22	26	120	110	37	116	79	129	105	92	42	74	83	69	69	73	79	35	16	52	24	146	89	128	63	79	70	87	25	59	55	128	22	15	94	94	66	156	78	68					
8	Число бюллетеней в стационарных ящиках для голосования	17790	1318	988	432	858	213	163	151	305	405	181	222	233	297	486	291	318	570	149	379	407	305	212	241	395	431	220	245	283	195	89	312	147	237	379	659	224	453	216	385	218	153	227	409	284	226	220	502	314	291	595	357					
9	Число недействительных избирательных бюллетеней	364	18	17	13	9	5	2	0	7	4	1	3	17	2	0	6	3	3	5	9	2	8	4	3	3	9	3	10	8	1	3	6	3	29	30	2	1	12	1	9	3	1	3	3	5	6	2	2	5	6	26	31					
10	Число действительных избирательных бюллетеней	21417	1396	1209	549	950	245	190	173	398	537	211	316	238	321	606	395	352	683	223	499	510	389	250	312	475	491	286	308	354	229	102	358	168	354	438	785	286	520	285	463	240	211	279	534	301	235	312	594	375	441	647	394					
11	Число полученных открепительных  удостоверений	2117	193	70	55	110	25	20	15	40	50	20	30	20	50	55	35	15	70	3	45	50	48	25	19	45	50	40	35	35	20	15	40	15	30	20	75	35	50	25	45	20	20	25	90	25	28	30	55	35	45	66	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1957	193	70	55	59	8	11	11	40	50	15	19	5	50	30	12	15	70	3	45	50	48	25	19	45	50	40	35	35	20	15	40	15	30	20	75	35	50	25	45	20	20	25	90	25	28	30	55	35	45	66	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	501	63	26	15	21	8	4	5	2	12	4	5	3	7	8	3	35	7	2	1	7	10	2	9	11	9	2	5	3	3	3	4	2	24	16	14	9	16	9	11	8	6	9	24	5	2	0	2	12	9	11	13					
14	Число неиспользованных открепительных удостоверений	160	0	0	0	51	17	9	4	0	0	5	11	15	0	25	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	283	16	8	25	0	1	0	0	1	3	0	0	0	0	2	2	0	3	0	0	3	0	2	1	2	0	0	1	0	0	1	7	0	15	44	3	0	31	17	82	1	5	1	2	0	1	1	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	Богданов Андрей Владимирович	187	18	8	6	7	0	0	2	4	5	1	4	1	3	3	0	3	8	3	7	3	2	2	3	5	5	5	2	3	2	0	2	2	4	1	3	2	7	5	2	2	0	1	3	3	1	0	10	1	6	8	9					
		0.86%	1.27%	0.65%	1.07%	0.73%	0.00%	0.00%	1.16%	0.99%	0.92%	0.47%	1.25%	0.39%	0.93%	0.50%	0.00%	0.85%	1.17%	1.32%	1.38%	0.59%	0.50%	0.79%	0.95%	1.05%	1.00%	1.73%	0.63%	0.83%	0.87%	0.00%	0.55%	1.17%	1.04%	0.21%	0.38%	0.70%	1.32%	1.75%	0.42%	0.82%	0.00%	0.35%	0.56%	0.98%	0.41%	0.00%	1.68%	0.26%	1.34%	1.19%	2.12%					
19	Жириновский Владимир Вольфович	1945	149	120	23	74	15	18	13	36	39	8	13	13	32	84	38	65	75	15	46	34	28	20	17	56	44	36	35	11	26	12	27	20	12	12	71	15	53	25	59	21	24	30	48	31	23	28	64	32	46	72	37					
