Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Тунгусско-Чунская														
														
Итоги голосования 														
														
		Сумма	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32					
1	"Число избирателей, внесенных в список"	2810	1199	776	589	44	48	137	17					
2	Число полученных избирательных бюллетеней	2800	1120	770	610	65	50	165	20					
3	"Число избирательных бюллетеней, выданных  досрочно"	110	110	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1413	575	342	289	28	48	114	17					
5	"Число избирательных бюллетеней, выданных вне помещения"	203	81	83	32	0	0	7	0					
6	Число погашенных избирательных бюллетеней	1074	354	345	289	37	2	44	3					
7	Число избирательных бюллетеней в переносных ящиках	313	191	83	32	0	0	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	1413	575	342	289	28	48	114	17					
9	Число недействительных избирательных бюллетеней	13	1	7	3	0	0	2	0					
10	Число действительных избирательных бюллетеней	1713	765	418	318	28	48	119	17					
11	Число полученных открепительных  удостоверений	248	107	60	50	7	7	10	7					
12	Число выданных открепительных удостоверений	20	7	0	3	3	0	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	3	1	0	2	1	2	0					
14	Число неиспользованных открепительных удостоверений	228	100	60	47	4	7	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	89	43	29	10	1	1	3	2					
		5.16%	5.61%	6.82%	3.12%	3.57%	2.08%	2.48%	11.76%					
19	. Малышкин Олег Александрович	26	13	0	4	0	1	8	0					
		1.51%	1.70%	0.00%	1.25%	0.00%	2.08%	6.61%	0.00%					
20	. Миронов Сергей Михайлович	20	5	8	5	0	0	2	0					
		1.16%	0.65%	1.88%	1.56%	0.00%	0.00%	1.65%	0.00%					
21	. Путин Владимир Владимирович	1354	603	321	264	25	35	91	15					
		78.45%	78.72%	75.53%	82.24%	89.29%	72.92%	75.21%	88.24%					
22	. Хакамада Ирина Муцуовна	83	24	29	19	0	5	6	0					
		4.81%	3.13%	6.82%	5.92%	0.00%	10.42%	4.96%	0.00%					
23	. Харитонов Николай Михайлович	85	55	13	8	1	4	4	0					
		4.92%	7.18%	3.06%	2.49%	3.57%	8.33%	3.31%	0.00%					
														
24	Против всех	56	22	18	8	1	2	5	0					
		3.24%	2.87%	4.24%	2.49%	3.57%	4.17%	4.13%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
