Выборы Президента Российской Федерации																																																	
Дата голосования: 18.03.2018																																																	
																																																	
Наименование Избирательной комиссии:    Ярославская																																																	
																																																	
Сводная таблица итогов голосования																																																	
																																																	
	Число участковых избирательных комиссий	38																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	38																																															
																																																	
		Сумма	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870									
1	"Число избирателей, включенных в список избирателей"	47981	2343	864	764	1012	3065	1531	1000	1716	2833	1988	1800	1538	2668	1209	1619	2051	548	2257	548	722	2429	521	510	787	202	1126	1233	533	311	817	1807	656	563	1374	1473	922	347	294									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42000	2100	800	700	900	2500	1300	900	1500	2300	1700	1600	1400	2400	1000	1400	1700	500	1800	500	600	2200	500	400	800	150	1000	1100	500	300	800	1600	600	500	1300	1200	900	300	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27198	1501	408	452	385	1753	1019	593	858	1858	1022	1025	913	1600	682	822	1166	325	1171	351	377	1446	341	294	464	113	619	643	288	191	337	1143	280	273	726	931	543	169	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2414	55	112	46	34	65	36	80	161	28	124	83	57	63	80	74	39	34	114	20	47	55	18	56	32	15	93	79	97	27	93	72	55	69	85	58	27	77	54									
6	Число погашенных избирательных бюллетеней	12388	544	280	202	481	682	245	227	481	414	554	492	430	737	238	504	495	141	515	129	176	699	141	50	304	22	288	378	115	82	370	385	265	158	489	211	330	54	80									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2414	55	112	46	34	65	36	80	161	28	124	83	57	63	80	74	39	34	114	20	47	55	18	56	32	15	93	79	97	27	93	72	55	69	85	58	27	77	54									
8	Число бюллетеней в стационарных ящиках для голосования	27197	1501	408	452	385	1753	1019	593	858	1858	1022	1025	913	1600	682	822	1165	325	1171	351	377	1446	341	294	464	113	619	643	288	191	337	1143	280	273	726	931	543	169	116									
9	Число недействительных избирательных бюллетеней	299	20	4	2	2	13	9	4	6	15	15	20	13	22	7	6	17	2	18	2	8	19	6	1	0	1	4	7	3	1	6	14	3	2	9	6	7	5	0									
10	Число действительных избирательных бюллетеней	29312	1536	516	496	417	1805	1046	669	1013	1871	1131	1088	957	1641	755	890	1187	357	1267	369	416	1482	353	349	496	127	708	715	382	217	424	1201	332	340	802	983	563	241	170									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
13	Бабурин Сергей Николаевич	182	15	6	1	2	10	9	5	4	8	10	8	5	16	4	2	7	2	4	1	4	7	0	3	5	0	3	6	1	2	6	9	1	1	5	7	1	2	0									
		0.61%	0.96%	1.15%	0.20%	0.48%	0.55%	0.85%	0.74%	0.39%	0.42%	0.87%	0.72%	0.52%	0.96%	0.52%	0.22%	0.58%	0.56%	0.31%	0.27%	0.94%	0.47%	0.00%	0.86%	1.01%	0.00%	0.42%	0.83%	0.26%	0.92%	1.40%	0.74%	0.30%	0.29%	0.62%	0.71%	0.18%	0.81%	0.00%									
14	Грудинин Павел Николаевич	3724	216	87	44	65	255	99	66	131	267	137	126	113	197	71	102	161	41	213	43	59	207	43	48	56	15	83	103	46	21	76	175	38	47	83	109	56	16	9									
		12.58%	13.88%	16.73%	8.84%	15.51%	14.03%	9.38%	9.81%	12.86%	14.16%	11.95%	11.37%	11.65%	11.85%	9.32%	11.38%	13.37%	11.42%	16.58%	11.59%	13.92%	13.79%	11.98%	13.71%	11.29%	11.72%	11.66%	14.27%	11.95%	9.63%	17.67%	14.40%	11.34%	13.74%	10.23%	11.02%	9.82%	6.50%	5.29%									
15	Жириновский Владимир Вольфович	2298	118	34	49	19	122	99	59	76	135	97	86	78	133	60	74	99	27	78	36	21	115	23	25	30	3	77	77	25	27	37	74	37	22	70	65	59	21	11									
		7.76%	7.58%	6.54%	9.84%	4.53%	6.71%	9.38%	8.77%	7.46%	7.16%	8.46%	7.76%	8.04%	7.99%	7.87%	8.26%	8.22%	7.52%	6.07%	9.70%	4.95%	7.66%	6.41%	7.14%	6.05%	2.34%	10.81%	10.66%	6.49%	12.39%	8.60%	6.09%	11.04%	6.43%	8.63%	6.57%	10.35%	8.54%	6.47%									
16	Путин Владимир Владимирович	21833	1119	375	393	303	1296	782	519	763	1383	835	832	718	1232	581	667	857	262	908	271	304	1074	278	259	389	100	522	512	301	157	292	893	243	260	624	767	422	193	147									
		73.73%	71.92%	72.12%	78.92%	72.32%	71.29%	74.12%	77.12%	74.88%	73.33%	72.86%	75.09%	74.02%	74.08%	76.25%	74.44%	71.18%	72.98%	70.66%	73.05%	71.70%	71.55%	77.44%	74.00%	78.43%	78.13%	73.31%	70.91%	78.18%	72.02%	67.91%	73.50%	72.54%	76.02%	76.94%	77.55%	74.04%	78.46%	86.47%									
17	Собчак Ксения Анатольевна	573	27	4	5	13	59	24	10	17	36	22	15	18	24	14	25	33	13	24	9	9	42	3	1	9	5	6	8	6	5	6	25	5	4	7	18	18	2	2									
		1.94%	1.74%	0.77%	1.00%	3.10%	3.25%	2.27%	1.49%	1.67%	1.91%	1.92%	1.35%	1.86%	1.44%	1.84%	2.79%	2.74%	3.62%	1.87%	2.43%	2.12%	2.80%	0.84%	0.29%	1.81%	3.91%	0.84%	1.11%	1.56%	2.29%	1.40%	2.06%	1.49%	1.17%	0.86%	1.82%	3.16%	0.81%	1.18%									
18	Сурайкин Максим Александрович	146	9	6	0	2	8	10	1	5	4	6	3	2	10	4	4	6	3	7	4	4	12	0	2	2	0	7	1	3	3	1	2	3	0	5	3	3	1	0									
		0.49%	0.58%	1.15%	0.00%	0.48%	0.44%	0.95%	0.15%	0.49%	0.21%	0.52%	0.27%	0.21%	0.60%	0.52%	0.45%	0.50%	0.84%	0.54%	1.08%	0.94%	0.80%	0.00%	0.57%	0.40%	0.00%	0.98%	0.14%	0.78%	1.38%	0.23%	0.16%	0.90%	0.00%	0.62%	0.30%	0.53%	0.41%	0.00%									
19	Титов Борис Юрьевич	242	13	4	2	6	24	7	2	9	19	10	7	11	15	6	5	13	5	12	1	6	11	3	3	3	4	5	4	0	0	1	11	1	3	3	8	2	3	0									
		0.82%	0.84%	0.77%	0.40%	1.43%	1.32%	0.66%	0.30%	0.88%	1.01%	0.87%	0.63%	1.13%	0.90%	0.79%	0.56%	1.08%	1.39%	0.93%	0.27%	1.42%	0.73%	0.84%	0.86%	0.60%	3.13%	0.70%	0.55%	0.00%	0.00%	0.23%	0.91%	0.30%	0.88%	0.37%	0.81%	0.35%	1.22%	0.00%									
20	Явлинский Григорий Алексеевич	314	19	0	2	7	31	16	7	8	19	14	11	12	14	15	11	11	4	21	4	9	14	3	8	2	0	5	4	0	2	5	12	4	3	5	6	2	3	1									
		1.06%	1.22%	0.00%	0.40%	1.67%	1.71%	1.52%	1.04%	0.79%	1.01%	1.22%	0.99%	1.24%	0.84%	1.97%	1.23%	0.91%	1.11%	1.63%	1.08%	2.12%	0.93%	0.84%	2.29%	0.40%	0.00%	0.70%	0.55%	0.00%	0.92%	1.16%	0.99%	1.19%	0.88%	0.62%	0.61%	0.35%	1.22%	0.59%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
